symbol,asOfDate,periodType,currencyCode,AmortizationCashFlow,BeginningCashPosition,CapitalExpenditure,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,DeferredTax,Depreciation,DepreciationAndAmortization,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,GainLossOnSaleOfPPE,InvestingCashFlow,LongTermDebtPayments,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,OperatingCashFlow,OtherCashAdjustmentOutsideChangeinCash,OtherNonCashItems,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfPPE,RepaymentOfDebt,SaleOfIntangibles,SaleOfPPE,ShortTermDebtPayments,StockBasedCompensation
TSL.MI,2019-06-30,TTM,EUR,26229000.0,,,,4000.0,,,,,,,,,,,,,,,,,,,,,,-869000.0,,,,,,,,,,,,,,,,,-8382000.0,
TSL.MI,2019-12-31,TTM,EUR,,,,,,,,,,,,109000.0,,,,,,-10573000.0,-527000.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,5000.0
TSL.MI,2023-12-31,TTM,EUR,,8265000.0,-50690000.0,-627000.0,18267000.0,-121000.0,-9597000.0,1827000.0,-5976000.0,2933000.0,-627000.0,-908000.0,81569000.0,81569000.0,7711000.0,-9181000.0,-8438000.0,,,-33698000.0,-8723000.0,0.0,7828000.0,-62373000.0,-62204000.0,-33261000.0,-39000.0,-13016000.0,-8723000.0,-14000.0,-1701000.0,1303000.0,-4293000.0,42252000.0,73000.0,7338000.0,8774000.0,0.0,-33261000.0,-17429000.0,-13016000.0,0.0,18732000.0,-4293000.0,
