symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
CYB.MI,2018-12-31,TTM,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146000.0,114000.0,,,,,,,,,,,,,,
CYB.MI,2023-06-30,TTM,EUR,,39936030.0,0.08619,,,,39936030.0,0.08619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYB.MI,2023-12-31,TTM,EUR,2643723.0,41417294.0,0.095695,11004269.0,3132953.0,489230.0,41417294.0,0.095695,3963448.0,6169417.0,9302370.0,9280466.0,0.0,489446.0,489446.0,0.0,3963448.0,3963448.0,3963448.0,3963448.0,3963448.0,3963448.0,-394194.0,-394194.0,9373501.0,4013082.763925,3132953.0,6147513.0,20284735.0,,,0.0,5679971.0,11004269.0,3132953.0,-71131.0,-21496.236075,1716523.0,0.302206,14137222.0,-95252.0,20284735.0,-71131.0,-71131.0,71131.0
