asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AllowanceForDoubtfulAccountsReceivable,AmortizationCashFlow,AvailableForSaleSecurities,BeginningCashPosition,CapitalExpenditure,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockEquity,CostOfRevenue,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,DeferredTax,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DerivativeProductLiabilities,DilutedNIAvailtoComStockholders,DividendPaidCFO,DividendsReceivedCFI,EBIT,EBITDA,EndCashPosition,EnterpriseValue,FinancialAssets,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,GrossProfit,HedgingAssetsCurrent,HeldToMaturitySecurities,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InterestPaidCFO,Inventory,InvestedCapital,InvestingCashFlow,InvestmentinFinancialAssets,IssuanceOfDebt,LiabilitiesHeldforSaleNonCurrent,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtIssuance,LongTermDebtPayments,LongTermEquityInvestment,LongTermProvisions,MarketCap,MinorityInterest,MinorityInterests,NetBusinessPurchaseAndSale,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPE,NetPPEPurchaseAndSale,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentPensionAndOtherPostretirementBenefitPlans,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherIntangibleAssets,OtherInventories,OtherNonCashItems,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherOperatingExpenses,OtherPayable,OtherReceivables,OtherShortTermInvestments,OtherSpecialCharges,OtherunderPreferredStockDividend,Payables,PrepaidAssets,PretaxIncome,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfPPE,RawMaterials,ReconciledCostOfRevenue,ReconciledDepreciation,RepaymentOfDebt,RestrictedCash,RetainedEarnings,SaleOfPPE,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOperatingIncomeAsReported,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TreasurySharesNumber,TreasuryStock,WorkingCapital
2022-12-31,3M,EUR,5524000000.0,1404000000.0,-7950000000.0,-192000000.0,68000000.0,70000000.0,2664000000.0,-438000000.0,163000000.0,1629000000.0,2394000000.0,2408000000.0,-80000000.0,128000000.0,-69000000.0,1316000000.0,-616000000.0,759000000.0,-80000000.0,1629000000.0,3899000000.0,5632000000.0,11138000000.0,31000000.0,991000000.0,1022000000.0,9686000000.0,136000000.0,128000000.0,196000000.0,139000000.0,-94000000.0,0.0,-60000000.0,0.0,1000000.0,116000000.0,312000000.0,2584000000.0,8490467069.0,12000000.0,-765000000.0,534000000.0,0.0,844000000.0,3515000000.0,4872000000.0,14112000000.0,584000000.0,2861000000.0,,13000000.0,13000000.0,-8000000.0,-8000000.0,-30000000.0,536000000.0,10625000000.0,-287000000.0,70000000.0,-117000000.0,0.0,132000000.0,5735000000.0,5867000000.0,-117000000.0,-642000000.0,33000000.0,729000000.0,3900467069.0,568000000.0,-17000000.0,0.0,4332000000.0,-60000000.0,-60000000.0,-33000000.0,-10000000.0,-60000000.0,-50000000.0,-43000000.0,-43000000.0,-133000000.0,-40000000.0,-759000000.0,-759000000.0,-40000000.0,5000000.0,86000000.0,6162000000.0,-241000000.0,384000000.0,363000000.0,248000000.0,295000000.0,-62920000.0,972000000.0,464000000.0,120000000.0,6216000000.0,3132905277.0,1000000.0,3006000000.0,2671000000.0,2000000.0,33000000.0,74000000.0,370000000.0,202000000.0,342000000.0,3554000000.0,14000000.0,-14000000.0,0.0,6103000000.0,10000000.0,103000000.0,35000000.0,0.0,-133000000.0,-305000000.0,534000000.0,5632000000.0,196000000.0,-642000000.0,190000000.0,401000000.0,64000000.0,3132905277.0,12000000.0,3899000000.0,384000000.0,4080000.0,136000000.0,0.24,174000000.0,-122000000.0,21367000000.0,9634000000.0,6889000000.0,4467000000.0,6096000000.0,16900000000.0,10229000000.0,7214000000.0,136000000.0,6216000000.0,237000000.0,17000000.0,17000000.0,,0.0,1452000000.0
2023-06-30,3M,EUR,2981000000.0,1383000000.0,-8156000000.0,-218000000.0,,64000000.0,,,167000000.0,1629000000.0,2416000000.0,2448000000.0,,,,,,,,1629000000.0,3881000000.0,,7715000000.0,34000000.0,1286000000.0,1320000000.0,6734000000.0,,,,,,2000000.0,,,,,,,,4000000.0,,,,861000000.0,3456000000.0,2914000000.0,14397000000.0,,1751000000.0,,,,,,,290000000.0,10550000000.0,,64000000.0,,0.0,133000000.0,5383000000.0,5516000000.0,,,32000000.0,747000000.0,,562000000.0,,,4253000000.0,,,,,,,,,,,,,,,,6241000000.0,,425000000.0,430000000.0,236000000.0,,,,,,,3132905277.0,1000000.0,,2595000000.0,194000000.0,,83000000.0,390000000.0,,438000000.0,1681000000.0,32000000.0,,,3828000000.0,11000000.0,,,,,,96000000.0,,,,,280000000.0,,3132905277.0,,3881000000.0,425000000.0,,,,150000000.0,,18068000000.0,9264000000.0,6836000000.0,4443000000.0,,13625000000.0,10353000000.0,6891000000.0,,,409000000.0,,,,,981000000.0
2023-09-30,3M,EUR,,,,,67000000.0,,2416000000.0,-302000000.0,,,,,-261000000.0,-125000000.0,49000000.0,85000000.0,-61000000.0,-52000000.0,-261000000.0,,,2193000000.0,,,,,,55000000.0,131000000.0,198000000.0,291000000.0,421000000.0,,145000000.0,-6000000.0,,277000000.0,568000000.0,2155000000.0,9670078297.0,,-167000000.0,-87000000.0,,,,,,732000000.0,,,77000000.0,77000000.0,25000000.0,25000000.0,-42000000.0,,,-309000000.0,,-62000000.0,,,,,-62000000.0,-90000000.0,,,5282078297.0,,-1000000.0,-7000000.0,,145000000.0,145000000.0,145000000.0,1000000.0,145000000.0,144000000.0,146000000.0,146000000.0,-92000000.0,-34000000.0,-152000000.0,-152000000.0,-34000000.0,-16000000.0,0.0,,-210000000.0,,,,573000000.0,147625000.0,215000000.0,491000000.0,241000000.0,2925000000.0,,,,,,34000000.0,,,46000000.0,,,,5000000.0,0.0,,,200000000.0,41000000.0,-7000000.0,-92000000.0,-210000000.0,,2193000000.0,198000000.0,-90000000.0,,,0.0,,-5000000.0,,,-1375000.0,55000000.0,0.275,,-165000000.0,,,,,2684000000.0,,,,235000000.0,2925000000.0,,-5000000.0,-5000000.0,,,
2023-12-31,3M,EUR,4105000000.0,1807000000.0,-8452000000.0,,81000000.0,67000000.0,2155000000.0,-580000000.0,177000000.0,1629000000.0,1439000000.0,1472000000.0,-526000000.0,96000000.0,-411000000.0,1038000000.0,-829000000.0,-106000000.0,-526000000.0,1629000000.0,4240000000.0,,7826000000.0,35000000.0,740000000.0,775000000.0,7020000000.0,53000000.0,141000000.0,222000000.0,,,11000000.0,,-1000000.0,0.0,,,1629000000.0,,2000000.0,-371000000.0,-147000000.0,,846000000.0,3630000000.0,,15095000000.0,,1526000000.0,0.0,,,,,-8000000.0,319000000.0,10414000000.0,-588000000.0,67000000.0,38000000.0,0.0,142000000.0,5434000000.0,5576000000.0,38000000.0,-381000000.0,30000000.0,828000000.0,,562000000.0,,-13000000.0,4735000000.0,,,,,,,244000000.0,,-152000000.0,,-343000000.0,-343000000.0,,-28000000.0,0.0,6643000000.0,-423000000.0,610000000.0,464000000.0,237000000.0,,,433000000.0,,,,3132905277.0,1000000.0,,2784000000.0,2000000.0,36000000.0,136000000.0,324000000.0,,422000000.0,2328000000.0,33000000.0,,,4692000000.0,12000000.0,,58000000.0,-13000000.0,-152000000.0,-428000000.0,317000000.0,,,-381000000.0,190000000.0,659000000.0,5000000.0,3132905277.0,,4240000000.0,610000000.0,,,,171000000.0,-73000000.0,18798000000.0,9674000000.0,6351000000.0,4802000000.0,,13996000000.0,10972000000.0,6976000000.0,,,165000000.0,,,0.0,,806000000.0
