symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AvailableForSaleSecurities,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,DefinedPensionBenefit,DerivativeProductLiabilities,FinancialAssets,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinAssociatesatCost,InvestmentsinJointVenturesatCost,InvestmentsinSubsidiariesatCost,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,TradingSecurities,TreasurySharesNumber,WorkingCapital
IEG.MI,2019-12-31,12M,EUR,,,,,,,,,,,,,,,,,,,431000.0,,,,,,,,,,,,1752000.0,,,,,,,,,,,,1940000.0,,,,164000.0,,-1000.0,,,,,,,1152000.0,,1345000.0,,,,,,,,,,,,,,,,,222000.0,40000.0,,
IEG.MI,2020-12-31,12M,EUR,23445000.0,13676000.0,-246876000.0,13947000.0,472000.0,25333000.0,52215000.0,28108000.0,28108000.0,28108000.0,52215000.0,92300000.0,3732000.0,47309000.0,3359000.0,28837000.0,32196000.0,75089000.0,443000.0,11195000.0,,497000.0,21752000.0,35908000.0,441618000.0,783000.0,207123000.0,472000.0,11051000.0,2990000.0,625000.0,625000.0,21974000.0,85986000.0,107960000.0,14666000.0,1632000.0,78890000.0,752000.0,86715000.0,194742000.0,56392000.0,,4287000.0,6824000.0,30864197.0,2000.0,2577000.0,1000.0,14156000.0,2000.0,2106000.0,10088000.0,59046000.0,1397000.0,14000.0,35559000.0,1664000.0,1954000.0,299950000.0,286000.0,-2508000.0,30864197.0,92300000.0,56392000.0,1221000.0,299923000.0,178286000.0,140156000.0,93052000.0,206871000.0,252614000.0,131782000.0,2026000.0,1249000.0,25000.0,,-27780000.0
IEG.MI,2021-12-31,12M,EUR,33825000.0,23189000.0,-258070000.0,13947000.0,360000.0,27372000.0,52215000.0,52651000.0,52820000.0,52651000.0,52215000.0,94550000.0,3928000.0,82979000.0,3346000.0,22157000.0,25503000.0,100503000.0,331000.0,9295000.0,0.0,408000.0,22112000.0,34519000.0,449232000.0,731000.0,208984000.0,360000.0,10858000.0,2957000.0,440000.0,440000.0,24026000.0,92277000.0,116303000.0,14255000.0,1830000.0,79027000.0,-1172000.0,61783000.0,191162000.0,60031000.0,,3754000.0,6878000.0,30864197.0,,4384000.0,,12407000.0,-1000.0,2020000.0,6629000.0,60310000.0,1798000.0,169000.0,43959000.0,1281000.0,3401000.0,305967000.0,323000.0,-909000.0,30864197.0,94550000.0,60031000.0,856000.0,330311000.0,186827000.0,141806000.0,93378000.0,236933000.0,247332000.0,136430000.0,3505000.0,1263000.0,29000.0,,-17524000.0
IEG.MI,2022-12-31,12M,EUR,42807000.0,30131000.0,-268546000.0,13925000.0,334000.0,34295000.0,52110000.0,50586000.0,50586000.0,50586000.0,52110000.0,96254000.0,485000.0,89195000.0,4779000.0,18488000.0,23267000.0,124257000.0,309000.0,3299000.0,1945000.0,406000.0,24861000.0,38346000.0,459868000.0,852000.0,199588000.0,334000.0,9349000.0,8595000.0,330000.0,279000.0,29516000.0,84846000.0,114362000.0,18223000.0,2174000.0,81775000.0,-1936000.0,52748000.0,191322000.0,57908000.0,4885000.0,2959000.0,226000.0,30800197.0,7382000.0,8670000.0,-1000.0,13485000.0,46000.0,1807000.0,9242000.0,112587000.0,1595000.0,137000.0,54158000.0,1382000.0,4163000.0,265021000.0,446000.0,-214000.0,30864197.0,96254000.0,57908000.0,1671000.0,345253000.0,181100000.0,137629000.0,94318000.0,250935000.0,256058000.0,126678000.0,2109000.0,636000.0,25000.0,64000.0,-35062000.0
IEG.MI,2023-12-31,12M,EUR,43318000.0,31084000.0,-275331000.0,13759000.0,333000.0,40438000.0,51829000.0,65885000.0,65885000.0,65885000.0,51829000.0,106221000.0,1978000.0,106985000.0,4154000.0,19595000.0,23749000.0,133668000.0,,1446000.0,814000.0,335000.0,29245000.0,42814000.0,472001000.0,845000.0,199684000.0,333000.0,10581000.0,5125000.0,,262000.0,36284000.0,73868000.0,110152000.0,15968000.0,8017000.0,83429000.0,640000.0,27578000.0,196670000.0,63407000.0,1599000.0,3354000.0,829000.0,30635834.0,2000.0,11103000.0,,13569000.0,430000.0,1704000.0,10153000.0,118653000.0,1462000.0,,58909000.0,,6313000.0,267941000.0,510000.0,10654000.0,30864197.0,106221000.0,63407000.0,1192000.0,367057000.0,180089000.0,133901000.0,106861000.0,260196000.0,260072000.0,126528000.0,5438000.0,,,228363.0,-26683000.0
