symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AdditionalPaidInCapital,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesAssets,CurrentLiabilities,DerivativeProductLiabilities,FinancialAssets,FinishedGoods,FixedAssetsRevaluationReserve,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinSubsidiariesatCost,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,OrdinarySharesNumber,OtherCurrentLiabilities,OtherIntangibleAssets,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,Properties,RawMaterials,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,WorkInProcess,WorkingCapital
ECK.MI,2022-12-31,3M,EUR,555505.0,97623513.0,6393462.0,2856401.0,24433094.0,24535634.0,24316527.0,116567.0,2856401.0,11318952.0,456174.0,132291974.0,7211135.0,7211135.0,1150540.0,28265032.0,0.0,0.0,5344875.0,0.0,238627.0,2589791.0,18460454.0,0.0,5344875.0,31310172.0,939240.0,1574.0,12780085.0,12780085.0,940814.0,1484064.0,0.0,5892667.0,,18460454.0,8729161.0,,296266.0,305312.0,1713359.0,1584676.0,2351164.0,10774742.0,82333.0,1915520.0,102540.0,17040111.0,17921947.0,0.0,1046291.0,1713359.0,11318952.0,8729161.0,1721892.0,175297747.0,24099037.0,19991220.0,17211619.0,158086128.0,43005773.0,129821096.0,5709864.0,114955369.0,0.0,104026942.0
ECK.MI,2023-06-30,3M,EUR,50693362.0,41909230.0,6393462.0,2856401.0,28871803.0,38953156.0,28757197.0,114606.0,2856401.0,12814452.0,307108.0,90049819.0,6734892.0,6734892.0,810024.0,76246983.0,1075818.0,0.0,2011616.0,0.0,460086.0,2654568.0,21198568.0,0.0,2011616.0,56072448.0,1160549.0,1574.0,36523104.0,36523104.0,1162123.0,1595229.0,0.0,5915956.0,14386193.0,21198568.0,10159884.0,0.0,303765.0,395308.0,1713359.0,1142945.0,2194482.0,8939116.0,91772.0,1800914.0,10081353.0,68137110.0,20799688.0,0.0,2712580.0,1713359.0,12814452.0,10159884.0,4564879.0,136165223.0,49337556.0,43257996.0,18730408.0,117434815.0,46115404.0,41187832.0,8504632.0,1294608.0,0.0,13802836.0
