symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,GeneralAndAdministrativeExpense,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestIncome,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedIncome,OperatingRevenue,OtherIncomeExpense,OtherOperatingExpenses,OtherSpecialCharges,PretaxIncome,ReconciledDepreciation,RestructuringAndMergernAcquisition,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
G.MI,2022-06-30,TTM,EUR,362000000.0,,,804000000.0,442000000.0,,,2709000000.0,5224000000.0,3043000000.0,70000000.0,761000000.0,761000000.0,7606000000.0,-340000000.0,2709000000.0,2709000000.0,3049000000.0,0.0,2709000000.0,2709000000.0,3049000000.0,-761000000.0,-761000000.0,3252983867.353798,76761000000.0,79000000.0,-443000000.0,-20000000.0,4463000000.0,804000000.0,767000000.0,3043000000.0,-796000000.0,-252016132.646202,1413000000.0,0.316603,72297000000.0,76761000000.0,-796000000.0,-796000000.0,-21000000.0
G.MI,2023-09-30,TTM,EUR,,1542345040.0,,,,1542345040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.MI,2023-12-31,TTM,EUR,,,2.429417,,,,2.429417,3747000000.0,6367000000.0,966000000.0,298000000.0,793000000.0,793000000.0,7479000000.0,-375000000.0,3747000000.0,3747000000.0,4037000000.0,84000000.0,3747000000.0,3663000000.0,4122000000.0,-793000000.0,-793000000.0,3954756727.664155,66116000000.0,0.0,1113000000.0,0.0,5574000000.0,,,966000000.0,-342000000.0,-94243272.335845,1536000000.0,0.275565,60542000000.0,66116000000.0,-342000000.0,-342000000.0,
