symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,GeneralAndAdministrativeExpense,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestIncome,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedIncome,OperatingRevenue,OtherIncomeExpense,OtherOperatingExpenses,OtherSpecialCharges,PretaxIncome,ReconciledDepreciation,RestructuringAndMergernAcquisition,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
G.MI,2019-12-31,12M,EUR,379000000.0,1567927100.0,1.7,771000000.0,392000000.0,1592124829.0,1.68,2670000000.0,4611000000.0,2735000000.0,6000000.0,1024000000.0,1024000000.0,7839000000.0,-269000000.0,2670000000.0,2670000000.0,2465000000.0,475000000.0,2670000000.0,2195000000.0,2939000000.0,-1024000000.0,-1024000000.0,2513081000.0,88302000000.0,60000000.0,-92000000.0,-18000000.0,3587000000.0,771000000.0,488000000.0,2735000000.0,-463000000.0,-144919000.0,1122000000.0,0.313,84714000000.0,218000000.0,88302000000.0,-463000000.0,-463000000.0,-13000000.0
G.MI,2020-12-31,12M,EUR,389000000.0,1569448327.0,1.11,836000000.0,447000000.0,1594271155.0,1.09,1744000000.0,4227000000.0,2705000000.0,101000000.0,837000000.0,837000000.0,7467000000.0,-289000000.0,1744000000.0,1744000000.0,2215000000.0,-183000000.0,1744000000.0,1927000000.0,2032000000.0,-837000000.0,-837000000.0,2258724000.0,77683000000.0,-165000000.0,51000000.0,-33000000.0,3390000000.0,836000000.0,371000000.0,2705000000.0,-508000000.0,-176276000.0,1175000000.0,0.347,74293000000.0,,77683000000.0,-508000000.0,-508000000.0,69000000.0
G.MI,2021-12-31,12M,EUR,339000000.0,1573173478.0,1.81,776000000.0,437000000.0,1589405240.0,1.79,2847000000.0,5316000000.0,2835000000.0,92000000.0,736000000.0,736000000.0,7370000000.0,-348000000.0,2847000000.0,2847000000.0,3195000000.0,0.0,2847000000.0,2847000000.0,3195000000.0,-736000000.0,-736000000.0,3558262000.0,92819000000.0,75000000.0,-399000000.0,-28000000.0,4580000000.0,776000000.0,970000000.0,2835000000.0,-1019000000.0,-307738000.0,1384000000.0,0.302,88240000000.0,,92819000000.0,-1019000000.0,-1019000000.0,-15000000.0
G.MI,2022-06-30,TTM,EUR,362000000.0,,,804000000.0,442000000.0,,,2709000000.0,5224000000.0,3043000000.0,70000000.0,761000000.0,761000000.0,7606000000.0,-340000000.0,2709000000.0,2709000000.0,3049000000.0,0.0,2709000000.0,2709000000.0,3049000000.0,-761000000.0,-761000000.0,3252983867.353798,76761000000.0,79000000.0,-443000000.0,-20000000.0,4463000000.0,804000000.0,767000000.0,3043000000.0,-796000000.0,-252016132.646202,1413000000.0,0.316603,72297000000.0,,76761000000.0,-796000000.0,-796000000.0,-21000000.0
G.MI,2022-12-31,12M,EUR,602000000.0,1570223226.0,1.85,1072000000.0,470000000.0,1586454988.0,1.84,2912000000.0,,3347000000.0,138000000.0,,,7750000000.0,-277000000.0,2912000000.0,2912000000.0,3189000000.0,0.0,2912000000.0,2912000000.0,3189000000.0,,,3344739000.0,72637000000.0,59000000.0,-442000000.0,9000000.0,4738000000.0,1072000000.0,544000000.0,3347000000.0,-643000000.0,-210261000.0,1549000000.0,0.327,67902000000.0,,72637000000.0,-643000000.0,-643000000.0,-48000000.0
G.MI,2023-09-30,TTM,EUR,,1542345040.0,,,,1542345040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.MI,2023-12-31,TTM,EUR,,,2.429417,,,,2.429417,3747000000.0,6367000000.0,966000000.0,298000000.0,793000000.0,793000000.0,7479000000.0,-375000000.0,3747000000.0,3747000000.0,4037000000.0,84000000.0,3747000000.0,3663000000.0,4122000000.0,-793000000.0,-793000000.0,3954756727.664155,66116000000.0,0.0,1113000000.0,0.0,5574000000.0,,,966000000.0,-342000000.0,-94243272.335845,1536000000.0,0.275565,60542000000.0,,66116000000.0,-342000000.0,-342000000.0,
