symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditureReported,CashDividendsPaid,ChangeInOtherCurrentAssets,ChangeInWorkingCapital,ChangesInCash,CommonStockDividendPaid,EffectOfExchangeRateChanges,EndCashPosition,FinancingCashFlow,FreeCashFlow,InvestingCashFlow,NetBusinessPurchaseAndSale,NetIncome,NetIncomeFromContinuingOperations,NetInvestmentPropertiesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherFinancingCharges,NetOtherInvestingChanges,OperatingCashFlow,OtherCashAdjustmentOutsideChangeinCash,OtherNonCashItems,TaxesRefundPaid
G.MI,2022-06-30,TTM,EUR,7244000000.0,-13000000.0,-2412000000.0,-5268000000.0,583000000.0,690000000.0,-2412000000.0,82000000.0,7934000000.0,-2922000000.0,15891000000.0,-12626000000.0,-1357000000.0,2709000000.0,4463000000.0,185000000.0,-9009000000.0,-256000000.0,-256000000.0,-254000000.0,-3281000000.0,16238000000.0,-1000000.0,10458000000.0,-930000000.0
G.MI,2023-12-31,TTM,EUR,,,,,,,,,,,,,,3747000000.0,,,,,,,,,,,
