symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherOperatingExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
CY4.MI,2022-12-31,3M,EUR,819595.0,,,,,,,,,,,,483016.0,483016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CY4.MI,2023-03-31,3M,EUR,,25023715.0,-0.2,15189920.0,3594930.0,3594930.0,25023715.0,-0.2,-5004743.0,-4793407.0,-1198477.0,-862811.0,288290.0,288290.0,13681.0,13681.0,-219432.0,-5004743.0,-5004743.0,-4785311.0,-5004743.0,-5004743.0,-4785311.0,-274609.0,-274609.0,-995650.0,-4813745.726019,3741450.0,-4604261.0,14327109.0,146520.0,0.0,-5081697.0,15189920.0,3594930.0,-11829.726019,-296386.0,0.058324,18931370.0,-4807087.0,14327109.0,-202827.0,-202827.0
CY4.MI,2023-06-30,3M,EUR,,,,15507354.0,4635533.0,4635533.0,,,1769159.0,-356955.0,4278578.0,4251919.0,,,,,-173277.0,1769159.0,1769159.0,1942436.0,1769159.0,1769159.0,1942436.0,-642458.0,-642458.0,4278578.0,1769159.0,4798020.0,-546101.0,19759273.0,162487.0,0.0,-985732.0,15507354.0,4635533.0,0.0,-2928168.0,0.24,20305374.0,-343275.0,19759273.0,,
CY4.MI,2023-06-30,TTM,EUR,,24202733.0,0.17,,,,24202733.0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CY4.MI,2023-09-30,3M,EUR,,,,12954213.0,4397513.0,-8230463.0,,,-3154569.0,-6688930.0,-2291417.0,-2123577.0,,,,,1036179.0,-3154569.0,-3154569.0,-4190748.0,-3154569.0,-3154569.0,-4190748.0,-101165.0,-101165.0,-2291417.0,-3154569.0,4565353.0,-6688930.0,10830636.0,167840.0,0.0,-6790095.0,12954213.0,4397513.0,0.0,-2599347.0,0.382815,17519566.0,-6688930.0,10830636.0,,
CY4.MI,2023-12-31,3M,EUR,251786.0,,,14683738.0,3797909.0,3546123.0,,,-2508015.0,4848663.0,8646572.0,8539713.0,1484258.0,1484258.0,,,,-2508015.0,-2508015.0,-1864545.0,-2508015.0,-2508015.0,-1864545.0,-993953.0,-993953.0,8646572.0,-2508015.0,3889112.0,4650601.0,23223451.0,392595.0,0.0,3364405.0,14683738.0,3797909.0,0.0,5228950.0,0.24,18572850.0,4365646.0,23223451.0,,
CY4.MI,2023-12-31,TTM,EUR,,23529966.0,-0.38,,,,23529966.0,-0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CY4.MI,2024-03-31,3M,EUR,,25854383.0,-0.23,14608286.0,4566132.0,4566132.0,25854383.0,-0.23,-5946508.0,-4562312.0,3820.0,60049.0,647519.0,647519.0,19813.0,19813.0,-524578.0,-5946508.0,-5946508.0,-5421930.0,-5946508.0,-5946508.0,-5421930.0,-627706.0,-627706.0,-83956.0,-6013217.76,4729951.0,-4669902.0,14668335.0,163819.0,0.0,-5209831.0,14608286.0,4566132.0,21066.24,212099.0,0.24,19338237.0,-4582126.0,14668335.0,87776.0,87776.0
CY4.MI,2024-03-31,TTM,EUR,,23737633.0,-0.41,57753591.0,17397087.0,4517325.0,23737633.0,-0.41,-9839933.0,-6759534.0,10637553.0,10728104.0,2861719.0,2861719.0,61423.0,61423.0,,-9839933.0,-9839933.0,-9534787.0,-9839933.0,-9839933.0,-9534787.0,-2365282.0,-2365282.0,10631905.0,-9845530.241542,17982436.0,-7254332.0,68481695.0,886741.0,0.0,-9621253.0,57753591.0,17397087.0,50.758458,-86466.0,0.008987,75736027.0,-7248685.0,68481695.0,5648.0,5648.0
