symbol,asOfDate,periodType,currencyCode,AmortizationCashFlow,BeginningCashPosition,CapitalExpenditure,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockIssuance,CommonStockPayments,DeferredTax,Depreciation,DepreciationAndAmortization,DividendPaidCFO,EndCashPosition,FinancingCashFlow,FreeCashFlow,InterestPaidCFO,InvestingCashFlow,IssuanceOfCapitalStock,LongTermDebtPayments,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,OperatingCashFlow,OtherCashAdjustmentOutsideChangeinCash,OtherNonCashItems,PensionAndEmployeeBenefitExpense,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfPPE,RepaymentOfDebt,RepurchaseOfCapitalStock,ShortTermDebtPayments,TaxesRefundPaid
CY4.MI,2019-12-31,12M,EUR,,,,,,,,,,,,,,459576.0,,,,,,,,,,-950000.0,,,,,,,-950000.0,,,,,,-1000.0,,,,,,,-950000.0,,,
CY4.MI,2020-12-31,12M,EUR,,1398298.0,-3937624.0,8583979.0,0.0,-276321.0,972408.0,264010.0,-9383284.0,-8441569.0,8583979.0,14577349.0,,4558.0,1547141.0,1547141.0,-18382.0,9982277.0,13137331.0,-4553351.0,-30586.0,-3937625.0,14577349.0,-1300000.0,,14577349.0,5281981.0,5276190.0,-3682284.0,-1300000.0,-1300000.0,103882.0,-1.0,-255340.0,-1300000.0,-615727.0,1.0,87789.0,715331.0,208382.0,,-3682284.0,-255340.0,-1300000.0,,-1300000.0,-62554.0
CY4.MI,2021-12-31,12M,EUR,,9982277.0,-7044019.0,-7684420.0,184500.0,-2016515.0,-836040.0,2500437.0,-8099800.0,-8206673.0,-7684419.0,0.0,,,3395403.0,3395403.0,,2297858.0,571604.0,-7355339.0,-40707.0,-7944703.0,0.0,,-900684.0,0.0,5185828.0,4538667.0,-6729136.0,-850000.0,,1658723.0,,-314883.0,-850000.0,-311320.0,,72461.0,112606.0,110394.0,-900684.0,-6729136.0,-314883.0,-850000.0,,-850000.0,-120634.0
CY4.MI,2022-12-31,12M,EUR,5545194.0,2297858.0,-10651591.0,8469416.0,33250.0,-817109.0,1262438.0,2753521.0,-10266293.0,-8296631.0,8469416.0,88612500.0,0.0,,666769.0,6211963.0,,10767274.0,97289607.0,-9300536.0,-514727.0,-90171246.0,88612500.0,,-79519655.0,88612500.0,2473837.0,3011658.0,-9895447.0,9294616.0,,-617509.0,,-756144.0,9294616.0,1351055.0,,997034.0,0.0,122111.0,,-9895447.0,-756144.0,,0.0,,-96381.0
CY4.MI,2023-12-31,12M,EUR,6978128.0,10767274.0,-8968663.0,-8188117.0,33250.0,1358453.0,,3217934.0,478165.0,5087802.0,-8188117.0,0.0,-1600412.0,,747769.0,7725897.0,,2579157.0,4265702.0,-6822377.0,-1050206.0,-14600105.0,0.0,,-5631442.0,-1600412.0,-8898168.0,-11298894.0,-8705184.0,3203361.0,,3003939.0,,-263479.0,3203361.0,2146286.0,,1514591.0,145559.0,78660.0,,-8705184.0,-263479.0,,-1600412.0,,0.0
CY4.MI,2024-03-31,TTM,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,-9839933.0,,,,,,,,,,,,,,,,,,,,
