symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,DerivativeProductLiabilities,FinancialAssets,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinAssociatesatCost,InvestmentsinJointVenturesatCost,InvestmentsinSubsidiariesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,TreasuryStock,WorkingCapital
SPM.MI,2023-06-30,3M,EUR,2740000000.0,1653000000.0,-7360000000.0,1622000000.0,,98000000.0,54000000.0,,462000000.0,502000000.0,2169000000.0,2240000000.0,1642000000.0,527000000.0,502000000.0,2148000000.0,,8398000000.0,120000000.0,793000000.0,913000000.0,7225000000.0,1000000.0,1000000.0,662000000.0,687000000.0,1653000000.0,10456000000.0,55000000.0,229000000.0,5005000000.0,54000000.0,,144000000.0,57000000.0,,,342000000.0,2064000000.0,2406000000.0,201000000.0,914000000.0,,2000000.0,688000000.0,3096000000.0,1461000000.0,321000000.0,2000000.0,178000000.0,1995143554.0,131000000.0,122000000.0,25000000.0,25000000.0,2000000.0,6000000.0,10456000000.0,2971000000.0,71000000.0,2949000000.0,230000000.0,351000000.0,,229000000.0,169000000.0,179000000.0,1995558791.0,2148000000.0,1461000000.0,463000000.0,12896000000.0,4212000000.0,3319000000.0,2150000000.0,10746000000.0,4498000000.0,3521000000.0,203000000.0,18000000.0,415237.0,77000000.0,1173000000.0
SPM.MI,2023-12-31,3M,EUR,2668000000.0,1906000000.0,-7377000000.0,1622000000.0,-682000000.0,26000000.0,1000000.0,1015000000.0,730000000.0,502000000.0,2136000000.0,2222000000.0,,,502000000.0,2394000000.0,173000000.0,8130000000.0,299000000.0,191000000.0,490000000.0,6881000000.0,0.0,3000000.0,641000000.0,666000000.0,2588000000.0,10765000000.0,64000000.0,256000000.0,4753000000.0,1000000.0,0.0,147000000.0,64000000.0,0.0,102000000.0,431000000.0,2168000000.0,2599000000.0,211000000.0,767000000.0,9326000000.0,2000000.0,223000000.0,3388000000.0,1728000000.0,257000000.0,6000000.0,193000000.0,1995160142.0,180000000.0,16000000.0,25000000.0,24000000.0,1000000.0,59000000.0,149000000.0,2847000000.0,86000000.0,2993000000.0,217000000.0,,0.0,256000000.0,,316000000.0,1995558791.0,2394000000.0,1728000000.0,531000000.0,12865000000.0,4562000000.0,3089000000.0,2396000000.0,10469000000.0,4735000000.0,3588000000.0,266000000.0,22000000.0,398649.0,74000000.0,1249000000.0
