symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockPayments,DeferredTax,Depreciation,DepreciationAndAmortization,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,InterestPaidCFO,InvestingCashFlow,LongTermDebtPayments,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,OperatingCashFlow,OtherNonCashItems,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,RepaymentOfDebt,RepurchaseOfCapitalStock,SaleOfInvestment,SaleOfPPE,TaxesRefundPaid
WBS.MI,2019-12-31,TTM,EUR,,,,,,,,,,,,,,,,,,9505.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,781.0,4286.0,-395894.0
WBS.MI,2023-12-31,TTM,EUR,4009292.0,-1151804.0,145411.0,-2090551.0,-13121.0,-136196.0,127302.0,-674230.0,-550834.0,-2090551.0,-154330.0,183944.0,2043722.0,2043722.0,1918741.0,-934133.0,-49125.0,-4405.0,-167889.0,-2259097.0,-1784775.0,-851630.0,-154330.0,-567304.0,-463583.0,-1113903.0,-260068.0,-1051664.0,-1784775.0,271861.0,,-33496.0,733111.0,1102679.0,713618.0,256168.0,-851630.0,-1113903.0,-260068.0,-37901.0,-1784775.0,-154330.0,,4405.0,-357075.0
