symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockIssuance,DeferredTax,Depreciation,DepreciationAndAmortization,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,InterestPaidCFO,InterestReceivedCFO,InvestingCashFlow,IssuanceOfCapitalStock,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,OperatingCashFlow,ProvisionandWriteOffofAssets,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,SaleOfIntangibles,SaleOfPPE,TaxesRefundPaid
ICC.MI,2019-12-31,12M,EUR,,,,,,,,,,,,,,,,,,,,,,,,-2384000.0,,,,,,,,,,,,,,,,
ICC.MI,2020-12-31,12M,EUR,978200.0,-19455.0,-188813.0,-592309.0,4573.0,174660.0,-833616.0,604207.0,-238989.0,-592309.0,0.0,-48265.0,602900.0,602900.0,385891.0,0.0,-592309.0,,-86396.0,-86396.0,-19455.0,0.0,0.0,-777468.0,-777468.0,-19455.0,,0.0,,,0.0,0.0,-572854.0,,-19455.0,,0.0,0.0,0.0,-48265.0
ICC.MI,2021-12-31,12M,EUR,385891.0,-688984.0,-43064.0,1463488.0,-3266.0,-749749.0,95820.0,-238839.0,-939098.0,1463488.0,2424675.0,-58067.0,687923.0,687923.0,1849379.0,2572310.0,-1125624.0,,,5192.0,-672182.0,2424675.0,2424675.0,-92761.0,-92761.0,-672182.0,,147635.0,,16802.0,-16802.0,147635.0,-436640.0,,-672182.0,,-16802.0,,,-58067.0
ICC.MI,2023-12-31,TTM,EUR,395006.0,-431178.0,24576.0,-45849.0,1263.0,-182249.0,-438447.0,595938.0,1081.0,-45847.0,500508.0,,702230.0,702230.0,,566728.0,-612636.0,23209.0,,,-431117.0,500508.0,500508.0,-895000.0,-895254.0,-424397.0,0.0,66278.0,-58.0,61.0,-6781.0,66278.0,-181458.0,40000.0,-424397.0,0.0,-6781.0,,,-86952.0
