symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CommonStock,CommonStockEquity,CurrentAssets,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesAssets,CurrentLiabilities,FinishedGoods,GoodwillAndOtherIntangibleAssets,GrossPPE,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,LongTermEquityInvestment,NetDebt,NetPPE,NetTangibleAssets,NonCurrentPensionAndOtherPostretirementBenefitPlans,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherIntangibleAssets,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkingCapital
ICC.MI,2022-12-31,3M,EUR,858000.0,1993000.0,,,5162.0,395.0,395.0,395000.0,5162.0,418000.0,3690.0,474000.0,474.0,,2954.0,86000.0,3709000.0,,86.0,474000.0,59000.0,,,474000.0,28000.0,-3291000.0,,,518.0,849.0,,,,,,858.0,-865000.0,,418000.0,-3291000.0,698000.0,7486.0,418000.0,474000.0,5581000.0,1906.0,3796.0,-1048.0,,736.0
ICC.MI,2023-06-30,3M,EUR,1057743.0,1552187.0,-833695.0,386780.0,5162385.0,362908.0,887638.0,362908.0,5162385.0,4970110.0,4024460.0,514746.0,514746.0,775386.0,2251651.0,86628.0,3521877.0,856597.0,86628.0,5484856.0,,59105.0,59105.0,151838.0,22902.0,1448233.0,406583.0,4528408.0,,,3521877.0,125705.0,856597.0,548626.0,524730.0,1284136.0,-610463.0,4528408.0,4970110.0,1448233.0,173995.0,7628344.0,4970110.0,514746.0,4970110.0,2658234.0,3603884.0,406583.0,100688.0,1772809.0
