symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockDividendPaid,CommonStockIssuance,CommonStockPayments,DeferredTax,Depreciation,DepreciationAndAmortization,EndCashPosition,FinancingCashFlow,FreeCashFlow,InterestPaidCFO,InvestingCashFlow,IssuanceOfCapitalStock,IssuanceOfDebt,LongTermDebtIssuance,LongTermDebtPayments,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherInvestingChanges,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,OperatingCashFlow,OtherNonCashItems,ProvisionandWriteOffofAssets,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,RepaymentOfDebt,RepurchaseOfCapitalStock,SaleOfIntangibles,SaleOfInvestment,SaleOfPPE,TaxesRefundPaid
YKY.MI,2022-12-31,3M,EUR,4531000.0,-82000.0,57000.0,503000.0,0.0,-985000.0,592000.0,-106000.0,-442000.0,502000.0,0.0,0.0,0.0,-94000.0,177000.0,177000.0,5033000.0,394000.0,190000.0,36000.0,-164000.0,0.0,67000.0,67000.0,0.0,0.0,456000.0,456000.0,-81000.0,-82000.0,393000.0,67000.0,0.0,-1000.0,326000.0,272000.0,-25000.0,20000.0,-81000.0,-16000.0,-1000.0,0.0,0.0,0.0,-66000.0,0.0,94000.0
YKY.MI,2023-12-31,3M,EUR,4996000.0,-1898704.0,92320.0,-1702401.0,181120.0,119404.0,891058.0,-1250019.0,33883.0,-1702401.0,,,,101909.0,275760.0,275760.0,3293627.0,-223450.0,-1158775.0,-70628.0,-2218880.0,,-134400.0,-134400.0,-93852.0,,429134.0,429134.0,-689872.0,-1530552.0,-223450.0,-228252.0,,-456.0,4802.0,739929.0,81189.0,,-1898248.0,-1533442.0,-456.0,-93852.0,,1208376.0,2890.0,,-101909.0
YKY.MI,2023-12-31,TTM,EUR,5033028.0,-2243704.0,5320.0,-1739401.0,-6880.0,-125596.0,258058.0,-762019.0,-631117.0,-1739401.0,,,,94909.0,502760.0,502760.0,3293627.0,362550.0,-1988775.0,-179628.0,-2356880.0,,365600.0,365600.0,-116852.0,,400134.0,400134.0,-1015872.0,-1324552.0,362550.0,248748.0,,-16456.0,113802.0,254929.0,208189.0,,-2227248.0,-1548442.0,-16456.0,-116852.0,,1211376.0,223890.0,,-94909.0
