asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BasicAverageShares,BasicEPS,BeginningCashPosition,BuildingsAndImprovements,CapitalExpenditure,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashFinancial,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockEquity,CommonStockPayments,ConstructionInProgress,CostOfRevenue,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,DeferredTax,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,DividendsReceivedCFI,EBIT,EBITDA,EndCashPosition,EnterpriseValue,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinancingCashFlow,FreeCashFlow,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,Inventory,InvestedCapital,InvestingCashFlow,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,IssuanceOfDebt,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtIssuance,LongTermDebtPayments,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,MinorityInterest,MinorityInterests,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetPPE,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,NetTangibleAssets,NonCurrentAccruedExpenses,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCashAdjustmentOutsideChangeinCash,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCashItems,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,OtherunderPreferredStockDividend,Payables,PensionAndEmployeeBenefitExpense,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,PretaxIncome,Properties,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,RawMaterials,ReconciledCostOfRevenue,ReconciledDepreciation,RepaymentOfDebt,RepurchaseOfCapitalStock,RetainedEarnings,SaleOfPPE,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOperatingIncomeAsReported,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TreasurySharesNumber,TreasuryStock,WorkingCapital,WriteOff
2022-12-31,3M,EUR,,,101413000.0,-7058000.0,,,,,4432000.0,,27486000.0,,,,31382000.0,,,,,,,,,,,10328000.0,,,5864000.0,38430000.0,44294000.0,,,,,,,,,,40000.0,,,,,91000.0,,,,,83536000.0,221827000.0,,,,,,,,,,,735000.0,16525000.0,155024000.0,21622000.0,,,16525000.0,,,,11301000.0,,,,-20877000.0,,,,,,,,,,-549000.0,,,,,,,,,,,80000.0,,,,479000.0,,,,,,,,,2000.0,,1386000.0,,,-2000.0,,,8302000.0,40742000.0,,,,,,4913000.0,433000.0,,0.0,,-20877000.0,-549000.0,,,4244000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1295113.0,6111000.0,,
2023-03-31,3M,EUR,52536000.0,93455000.0,,,546000.0,88785490.0,0.097865,31382000.0,,-3725000.0,,31570000.0,32709000.0,33054000.0,,1327000.0,-196000.0,2723000.0,1436000.0,-17140000.0,-13177000.0,1327000.0,31570000.0,287654000.0,-450000.0,,49440000.0,140678000.0,,,,142350000.0,217000.0,4840000.0,4840000.0,5004000.0,5004000.0,88785490.0,0.097865,8689000.0,,13970000.0,18974000.0,32709000.0,476397805.0,,2439000.0,-1104000.0,91392000.0,287557000.0,,,42845000.0,2221000.0,2221000.0,6000.0,6000.0,4441000.0,418548000.0,-3733000.0,875000.0,546000.0,,0.0,,,130894000.0,130894000.0,0.0,-153000.0,827000.0,19382000.0,,331613805.0,30000.0,-1000.0,,-450000.0,98185000.0,8689000.0,8689000.0,8689000.0,8689000.0,8689000.0,8690000.0,8690000.0,-360000.0,-2215000.0,-21000.0,4327000.0,-153000.0,-2215000.0,-1438000.0,220705000.0,-3352000.0,4480000.0,97000.0,,10427000.0,67483000.0,13100000.0,,19807000.0,9305047.067836,2621000.0,28047000.0,14798000.0,92285000.0,88785490.0,,,33988000.0,,196165000.0,1760000.0,2156000.0,2879000.0,3959000.0,,,5227000.0,345000.0,0.0,57885000.0,179000.0,,,11749000.0,,997000.0,,-360000.0,-381000.0,-3365000.0,,49440000.0,4840000.0,-153000.0,-450000.0,8689000.0,13000.0,90200000.0,-833000.0,287654000.0,97000.0,-216952.932164,3060000.0,0.260448,4501000.0,663772000.0,418548000.0,130894000.0,287684000.0,77487000.0,376088000.0,523093000.0,233738000.0,13965000.0,92285000.0,5349000.0,-833000.0,-833000.0,1414510.0,,-1672000.0,833000.0
2023-06-30,3M,EUR,56402000.0,85653000.0,101413000.0,-7029000.0,,,,32709000.0,4238000.0,-4068000.0,25880000.0,31570000.0,32745000.0,35623000.0,32745000.0,36000.0,37000.0,1115000.0,116000.0,11822000.0,13090000.0,36000.0,31570000.0,294935000.0,0.0,10393000.0,50808000.0,137472000.0,5775000.0,41441000.0,47216000.0,146062000.0,-68000.0,5120000.0,5120000.0,4956000.0,4489000.0,,,7250000.0,,11918000.0,17038000.0,32745000.0,454757669.0,91000.0,-10127000.0,21142000.0,90204000.0,300343000.0,92682000.0,228845000.0,39421000.0,2203000.0,2203000.0,16000.0,16000.0,4714000.0,448218000.0,-15047000.0,865000.0,91000.0,1208000.0,7518000.0,159496000.0,20105000.0,111842000.0,131947000.0,7518000.0,-11510000.0,1208000.0,21010000.0,14306000.0,356917669.0,759000.0,-15000.0,,0.0,120538000.0,7250000.0,7250000.0,7266000.0,7250000.0,7250000.0,7265000.0,7265000.0,,-2414000.0,-764000.0,-8661000.0,-3992000.0,-2414000.0,-1466000.0,228845000.0,2978000.0,-4669000.0,-5408000.0,2000.0,11001000.0,71290000.0,13472000.0,443000.0,19045000.0,8751066.598044,25210000.0,25371000.0,14050000.0,90229000.0,88785490.0,,-1000.0,-1000.0,1384000.0,210139000.0,-655000.0,,3160000.0,3094000.0,29489000.0,40412000.0,5835000.0,2878000.0,0.0,94339000.0,214000.0,4362000.0,497000.0,9715000.0,0.0,1541000.0,,,,2678000.0,4714000.0,50808000.0,5120000.0,-11510000.0,0.0,111800000.0,300000.0,90200000.0,-2007000.0,294935000.0,-5408000.0,-505933.401956,2449000.0,0.252084,5151000.0,682637000.0,406777000.0,179163000.0,295694000.0,76179000.0,386943000.0,545165000.0,240881000.0,,90229000.0,8448000.0,-2007000.0,-2007000.0,1414510.0,6559000.0,-8590000.0,
2023-09-30,3M,EUR,50532000.0,64336000.0,,,624000.0,,,32745000.0,,-3678000.0,,31570000.0,43359000.0,46250000.0,,10614000.0,-78000.0,-3902000.0,-5870000.0,21294000.0,11444000.0,10613000.0,31570000.0,297596000.0,-580000.0,,42615000.0,130821000.0,,,,138093000.0,-87000.0,5440000.0,5440000.0,5583000.0,6050000.0,,,2496000.0,80000.0,6416000.0,11999000.0,43359000.0,530950323.0,,-6616000.0,17299000.0,90204000.0,300346000.0,,,38003000.0,3027000.0,3027000.0,60000.0,60000.0,4791000.0,428171000.0,-3748000.0,856000.0,624000.0,,0.0,,,130575000.0,130575000.0,0.0,-296000.0,1300000.0,21019000.0,,387410323.0,517000.0,7000.0,-238000.0,-580000.0,87216000.0,2496000.0,2496000.0,2489000.0,2496000.0,2496000.0,2489000.0,2489000.0,-3400000.0,-2740000.0,0.0,-4515000.0,-296000.0,-2740000.0,-1521000.0,227254000.0,-189000.0,-4219000.0,-2750000.0,,10928000.0,71355000.0,12188000.0,,12148000.0,2605430.805547,20977000.0,31722000.0,6281000.0,80618000.0,88652248.0,,,36688000.0,,210142000.0,1839000.0,2193000.0,2979000.0,5339000.0,,,10415000.0,2891000.0,0.0,56423000.0,207000.0,,,3389000.0,,594000.0,-238000.0,-3400000.0,,-278000.0,,42615000.0,5440000.0,-296000.0,-580000.0,18435000.0,89000.0,90200000.0,-149000.0,297596000.0,-2750000.0,-39569.194453,900000.0,0.265565,5029000.0,674322000.0,428171000.0,130575000.0,298113000.0,74337000.0,376209000.0,543501000.0,238116000.0,,80618000.0,5891000.0,-149000.0,-149000.0,1547752.0,,-7272000.0,
2023-12-31,3M,EUR,87853000.0,100994000.0,101413000.0,-11455000.0,2391000.0,,,43359000.0,4070000.0,-6039000.0,27212000.0,31570000.0,22684000.0,23093000.0,22684000.0,-20675000.0,407000.0,2896000.0,1773000.0,-11013000.0,-5937000.0,-20673000.0,31570000.0,298886000.0,-461000.0,3072000.0,60608000.0,145260000.0,5267000.0,58864000.0,64131000.0,204406000.0,3213000.0,6043000.0,6043000.0,5899000.0,4808000.0,,,2364000.0,0.0,6921000.0,12964000.0,22684000.0,495201329.0,93000.0,23504000.0,-4839000.0,156007000.0,375264000.0,112449000.0,252988000.0,42394000.0,2843000.0,2843000.0,200000.0,200000.0,5583000.0,499687000.0,-45377000.0,846000.0,2484000.0,1293000.0,33157000.0,181689000.0,21945000.0,141937000.0,163882000.0,33157000.0,-11745000.0,1293000.0,28251000.0,15459000.0,410876329.0,2003000.0,-65000.0,-39207000.0,-461000.0,178117000.0,2364000.0,2364000.0,2429000.0,2364000.0,2364000.0,2429000.0,2429000.0,8434000.0,-3104000.0,0.0,26251000.0,21412000.0,-3104000.0,-2286000.0,252988000.0,-14604000.0,4839000.0,-76378000.0,318000.0,14850000.0,74770000.0,19505000.0,668000.0,17245000.0,5617560.0,1200000.0,31024000.0,11370000.0,103002000.0,88550933.0,-2000.0,1000.0,26262000.0,2151000.0,219257000.0,-1737000.0,1000.0,4181000.0,-1242000.0,9890000.0,48698000.0,6798000.0,409000.0,0.0,106863000.0,247000.0,6644000.0,458000.0,4078000.0,0.0,1098000.0,-39207000.0,8434000.0,,-14473000.0,5583000.0,60608000.0,6043000.0,-11745000.0,-461000.0,116738000.0,-131000.0,90200000.0,-4281000.0,298886000.0,-76378000.0,-1027440.0,1649000.0,0.24,8333000.0,796202000.0,440823000.0,228013000.0,300889000.0,91632000.0,495313000.0,650942000.0,290907000.0,,103002000.0,9120000.0,-4281000.0,-4281000.0,1649067.0,7601000.0,-59146000.0,
2024-03-31,3M,EUR,92906000.0,124741000.0,,,1010000.0,88533813.0,0.113618,22684000.0,,-4778000.0,,31570000.0,23597000.0,23987000.0,,913000.0,-352000.0,4723000.0,5053000.0,-23827000.0,-14403000.0,913000.0,31570000.0,310885000.0,-77000.0,,66892000.0,169731000.0,,69206000.0,69206000.0,218912000.0,107000.0,5890000.0,5890000.0,5969000.0,5969000.0,88533813.0,0.113618,10059000.0,,17646000.0,23615000.0,23597000.0,519911359.0,,-885000.0,-510000.0,156010000.0,375668000.0,,,59244000.0,3535000.0,3535000.0,45000.0,45000.0,5935000.0,541642000.0,-2470000.0,836000.0,1010000.0,,,,,161551000.0,161551000.0,,-784000.0,1386000.0,27906000.0,,435586359.0,2050000.0,-30000.0,,-77000.0,207160000.0,10059000.0,10059000.0,10089000.0,10059000.0,10059000.0,10089000.0,10089000.0,-306000.0,-3490000.0,2300000.0,758000.0,-784000.0,-3490000.0,-1566000.0,252126000.0,-4464000.0,1542000.0,-64783000.0,,14080000.0,74749000.0,16413000.0,,25096000.0,11117876.691942,4268000.0,40163000.0,19081000.0,126136000.0,88550933.0,,-1000.0,49284000.0,,219658000.0,3380000.0,1635000.0,4006000.0,5903000.0,,,8659000.0,390000.0,0.0,100422000.0,109000.0,,,14111000.0,,1561000.0,,-306000.0,,-4472000.0,,66892000.0,5890000.0,-784000.0,-77000.0,10059000.0,8000.0,88550933.0,-1481000.0,310885000.0,-64783000.0,-422123.308058,4022000.0,0.285026,6410000.0,816472000.0,472436000.0,230757000.0,312935000.0,107055000.0,503537000.0,646741000.0,284625000.0,,126136000.0,7516000.0,-1481000.0,-1481000.0,,,-49181000.0,1481000.0
