symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherOperatingExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
GHC.MI,2019-12-31,TTM,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20502000.0,,,,
GHC.MI,2022-09-30,TTM,EUR,,,177516000.0,18301000.0,17630000.0,,,22558000.0,33793000.0,52094000.0,135133000.0,5085000.0,5085000.0,16000.0,16000.0,-14000.0,22558000.0,22558000.0,22571000.0,22558000.0,22558000.0,22571000.0,-5314000.0,-5314000.0,53317000.0,23519555.420092,99989000.0,35144000.0,312649000.0,18402000.0,0.0,28708000.0,177516000.0,17994000.0,-1223000.0,-261444.579908,6137000.0,0.213773,277505000.0,,312649000.0,-1223000.0,-1223000.0,
GHC.MI,2023-03-31,3M,EUR,88785490.0,0.097865,49440000.0,5004000.0,5004000.0,88785490.0,0.097865,8689000.0,13970000.0,18974000.0,42845000.0,2221000.0,2221000.0,6000.0,6000.0,-1000.0,8689000.0,8689000.0,8689000.0,8689000.0,8689000.0,8690000.0,-2215000.0,-2215000.0,19807000.0,9305047.067836,28047000.0,14798000.0,92285000.0,3959000.0,0.0,11749000.0,49440000.0,4840000.0,-833000.0,-216952.932164,3060000.0,0.260448,77487000.0,13965000.0,92285000.0,-833000.0,-833000.0,833000.0
GHC.MI,2023-06-30,3M,EUR,,,50808000.0,4956000.0,4489000.0,,,7250000.0,11918000.0,17038000.0,39421000.0,2203000.0,2203000.0,16000.0,16000.0,-15000.0,7250000.0,7250000.0,7266000.0,7250000.0,7250000.0,7265000.0,-2414000.0,-2414000.0,19045000.0,8751066.598044,25371000.0,14050000.0,90229000.0,3094000.0,0.0,9715000.0,50808000.0,5120000.0,-2007000.0,-505933.401956,2449000.0,0.252084,76179000.0,,90229000.0,-2007000.0,-2007000.0,
GHC.MI,2023-09-30,3M,EUR,,,42615000.0,5583000.0,6050000.0,,,2496000.0,6416000.0,11999000.0,38003000.0,3027000.0,3027000.0,60000.0,60000.0,7000.0,2496000.0,2496000.0,2489000.0,2496000.0,2496000.0,2489000.0,-2740000.0,-2740000.0,12148000.0,2605430.805547,31722000.0,6281000.0,80618000.0,5339000.0,0.0,3389000.0,42615000.0,5440000.0,-149000.0,-39569.194453,900000.0,0.265565,74337000.0,,80618000.0,-149000.0,-149000.0,
GHC.MI,2023-09-30,TTM,EUR,88652248.0,0.259539,,,,88652248.0,0.259539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHC.MI,2023-12-31,3M,EUR,,,60608000.0,5899000.0,4808000.0,,,2364000.0,6921000.0,12964000.0,42394000.0,2843000.0,2843000.0,200000.0,200000.0,-65000.0,2364000.0,2364000.0,2429000.0,2364000.0,2364000.0,2429000.0,-3104000.0,-3104000.0,17245000.0,5617560.0,31024000.0,11370000.0,103002000.0,-1242000.0,0.0,4078000.0,60608000.0,6043000.0,-4281000.0,-1027440.0,1649000.0,0.24,91632000.0,,103002000.0,-4281000.0,-4281000.0,
GHC.MI,2023-12-31,TTM,EUR,88550933.0,0.18,,,,88550933.0,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHC.MI,2024-03-31,3M,EUR,88533813.0,0.113618,66892000.0,5969000.0,5969000.0,88533813.0,0.113618,10059000.0,17646000.0,23615000.0,59244000.0,3535000.0,3535000.0,45000.0,45000.0,-30000.0,10059000.0,10059000.0,10089000.0,10059000.0,10059000.0,10089000.0,-3490000.0,-3490000.0,25096000.0,11117876.691942,40163000.0,19081000.0,126136000.0,5903000.0,0.0,14111000.0,66892000.0,5890000.0,-1481000.0,-422123.308058,4022000.0,0.285026,107055000.0,,126136000.0,-1481000.0,-1481000.0,1481000.0
GHC.MI,2024-03-31,TTM,EUR,88533813.0,0.195753,220923000.0,22407000.0,21316000.0,88533813.0,0.195753,22169000.0,42901000.0,65394000.0,179062000.0,11608000.0,11608000.0,321000.0,321000.0,-103000.0,22169000.0,22169000.0,22273000.0,22169000.0,22169000.0,22272000.0,-11748000.0,-11748000.0,73312000.0,27804688.940019,128280000.0,50782000.0,399985000.0,13094000.0,0.0,31293000.0,220923000.0,22493000.0,-7918000.0,-2282311.059981,9020000.0,0.288243,349203000.0,,399985000.0,-7918000.0,-7918000.0,
