asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,DerivativeProductLiabilities,FinishedGoods,FixedAssetsRevaluationReserve,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentsInOtherVenturesUnderEquityMethod,LandAndImprovements,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,NetDebt,NetPPE,NetTangibleAssets,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherIntangibleAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,Properties,RawMaterials,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkInProcess,WorkingCapital
2022-12-31,3M,EUR,12120386.0,13816726.0,-17429626.0,4032000.0,-282379.0,8448000.0,10912096.0,10912096.0,10909941.0,2155.0,8448000.0,30404797.0,1248567.0,39077785.0,4197919.0,4197919.0,22404466.0,0.0,1519608.0,3471480.0,3760998.0,14099105.0,37446617.0,312047.0,11692938.0,45990628.0,85470.0,5526596.0,11387912.0,11387912.0,85470.0,170300.0,26624660.0,4673735.0,20016991.0,26643799.0,423390.0,1849622.0,6534419.0,3760998.0,1.0,1118775.0,4046794.0,703719.0,15171555.0,561026.0,0.0,8380664.0,7695340.0,6534419.0,30404797.0,26643799.0,1640259.0,64790866.0,41792709.0,15585831.0,30404797.0,34386069.0,25713081.0,11981603.0,1932394.0,1792666.0,16673319.0
2023-06-30,3M,EUR,10820872.0,17793975.0,-18525790.0,4032000.0,-281788.0,8448996.0,10522860.0,10522860.0,10500702.0,22158.0,8448996.0,34835459.0,283128.0,41145694.0,4166429.0,4166429.0,19478773.0,,1584352.0,3471480.0,3506131.0,18075763.0,37795747.0,281609.0,10989114.0,48242314.0,5470.0,5586960.0,9240426.0,9240426.0,5470.0,170300.0,27908602.0,2883995.0,19269957.0,31329328.0,442356.0,240062.0,5332382.0,3506131.0,,1517291.0,4017057.0,608800.0,12969001.0,426670.0,0.0,7768684.0,4460104.0,5332382.0,34835459.0,31329328.0,949336.0,64167314.0,44075885.0,13406855.0,34835459.0,29331855.0,23021620.0,9853082.0,630838.0,1636078.0,21666921.0
