symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,ChangeInCashSupplementalAsReported,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,DeferredTax,Depreciation,DepreciationAndAmortization,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,InvestingCashFlow,IssuanceOfDebt,LongTermDebtIssuance,LongTermDebtPayments,NetCommonStockIssuance,NetForeignCurrencyExchangeGainLoss,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,OperatingCashFlow,OtherCashAdjustmentInsideChangeinCash,OtherCashAdjustmentOutsideChangeinCash,OtherNonCashItems,RepaymentOfDebt,ShortTermDebtPayments
SFT.MI,2019-12-31,12M,EUR,3039000.0,,,,-43000.0,,,,,,,,,,-693000.0,,,,,,,,,,,,,-2305000.0,1553000.0,,0.0,,-210000.0,,,,0.0
SFT.MI,2020-12-31,12M,EUR,,-11000.0,1535000.0,221000.0,,662000.0,87000.0,1536000.0,0.0,303000.0,303000.0,1535000.0,-1978000.0,3520000.0,,-17000.0,0.0,0.0,-260000.0,0.0,56000.0,-586000.0,-1093000.0,0.0,-6000.0,-260000.0,-260000.0,-1427000.0,,-11000.0,,3531000.0,,-1000.0,651000.0,-260000.0,
SFT.MI,2021-12-31,12M,EUR,1511000.0,-146000.0,1187000.0,115000.0,-1778000.0,-1412000.0,-1889000.0,1187000.0,972000.0,182000.0,182000.0,2698000.0,-2488000.0,4085000.0,,-556000.0,3562000.0,3562000.0,-85000.0,-5978000.0,-244000.0,3066000.0,3127000.0,0.0,-410000.0,3477000.0,3477000.0,,,-146000.0,,4231000.0,,,-59000.0,-85000.0,
SFT.MI,2022-12-31,12M,EUR,2698000.0,-397000.0,-563000.0,-2058000.0,128000.0,-1394000.0,-4879000.0,-563000.0,939000.0,193000.0,193000.0,2135000.0,-523000.0,482000.0,,-919000.0,0.0,0.0,-736000.0,215000.0,-214000.0,3168000.0,3179000.0,-190000.0,-522000.0,-736000.0,-736000.0,,,-207000.0,,879000.0,,,-172000.0,-736000.0,
SFT.MI,2023-12-31,12M,EUR,2135000.0,-364000.0,465000.0,-1452000.0,-498000.0,-823000.0,-2836000.0,464000.0,667000.0,278000.0,278000.0,2599000.0,-1122000.0,1866000.0,,-644000.0,,,-826000.0,0.0,0.0,-372000.0,-297000.0,-31000.0,-279000.0,-826000.0,-826000.0,326000.0,-1000.0,-333000.0,,2230000.0,,,665000.0,-826000.0,
SFT.MI,2023-12-31,TTM,EUR,2135000.0,-364000.0,465000.0,-1452000.0,-498000.0,-823000.0,-2836000.0,464000.0,667000.0,278000.0,278000.0,2599000.0,-1122000.0,1866000.0,,-644000.0,,,-826000.0,0.0,0.0,-372000.0,-297000.0,-31000.0,-279000.0,-826000.0,-826000.0,326000.0,-1000.0,-333000.0,,2230000.0,,,665000.0,-826000.0,
