symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherOperatingExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,RestructuringAndMergernAcquisition,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
TWEP.MI,2023-06-30,TTM,EUR,,2327400.0,-0.214224,,,,2327400.0,-0.214224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWEP.MI,2023-12-31,TTM,EUR,459138.0,2287400.0,-0.095862,1163329.0,470450.0,11312.0,2287400.0,-0.095862,-219275.0,-192240.0,278210.0,542111.0,59403.0,59403.0,129873.0,129873.0,-219275.0,-219275.0,-219275.0,-219275.0,-219275.0,-219275.0,70470.0,70470.0,409824.0,-104590.06996,872511.0,-330400.0,1705440.0,4083.0,0.0,-251643.0,1163329.0,470450.0,50349.0,50349.0,21301.0,-131614.0,-16929.06996,-32368.0,0.128627,2035840.0,1705440.0,-131614.0,-131614.0,110313.0
