asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AllowanceForDoubtfulAccountsReceivable,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentDeferredTaxesAssets,CurrentLiabilities,FinancialAssets,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkInProcess,WorkingCapital
2022-12-31,3M,EUR,11918000.0,12349000.0,-53505000.0,-462000.0,37191000.0,578000.0,615000.0,560000.0,18000.0,37191000.0,32461000.0,75000.0,36351000.0,245000.0,13956000.0,8000.0,13570000.0,0.0,1581000.0,12811000.0,85991000.0,21502000.0,49591000.0,7000.0,7000.0,17130000.0,17130000.0,7000.0,240000.0,43354000.0,6000.0,16552000.0,32486000.0,30880000.0,5005000.0,1388000.0,24000.0,8809661.0,37000.0,502000.0,-4451000.0,1581000.0,622000.0,806000.0,5458000.0,399000.0,37000.0,13191000.0,502000.0,205000.0,37104000.0,5724000.0,-4264000.0,8809661.0,32461000.0,30880000.0,1036000.0,70808000.0,49591000.0,17130000.0,32467000.0,38341000.0,34457000.0,24385000.0,467000.0,2208000.0,22395000.0
2023-06-30,3M,EUR,13195000.0,14437000.0,-54839000.0,-521000.0,37191000.0,19000.0,19000.0,1000.0,18000.0,37191000.0,32364000.0,73000.0,38495000.0,226000.0,15333000.0,15000.0,13462000.0,566000.0,1732000.0,14958000.0,86508000.0,22338000.0,49800000.0,,7000.0,17436000.0,17436000.0,7000.0,238000.0,43662000.0,6000.0,17417000.0,31669000.0,30632000.0,4928000.0,1329000.0,,8809661.0,,467000.0,,1166000.0,656000.0,1069000.0,5607000.0,607000.0,,14593000.0,467000.0,,37166000.0,6632000.0,-4387000.0,8809661.0,32364000.0,30632000.0,868000.0,72290000.0,49800000.0,17436000.0,32370000.0,39920000.0,33795000.0,24587000.0,329000.0,2244000.0,23162000.0
2023-12-31,3M,EUR,12778000.0,14659000.0,-55978000.0,-697000.0,37191000.0,408000.0,423000.0,387000.0,21000.0,37191000.0,32838000.0,6000.0,38475000.0,240000.0,14972000.0,0.0,13320000.0,0.0,1430000.0,15356000.0,86839000.0,22087000.0,49263000.0,,7000.0,16425000.0,16425000.0,7000.0,38000.0,44003000.0,8000.0,16017000.0,30861000.0,31408000.0,4840000.0,1176000.0,27000.0,8809661.0,,,,1430000.0,854000.0,1101000.0,5702000.0,202000.0,15000.0,14294000.0,498000.0,201000.0,37128000.0,6446000.0,-3831000.0,8809661.0,32838000.0,31408000.0,663000.0,71151000.0,49263000.0,16425000.0,32846000.0,38305000.0,32676000.0,23333000.0,415000.0,2321000.0,23503000.0
