asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,Amortization,AvailableForSaleSecurities,BasicAverageShares,BasicEPS,BeginningCashPosition,CapitalExpenditure,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashDividendsPaid,CashEquivalents,CashFinancial,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockDividendPaid,CommonStockEquity,CommonStockIssuance,ConstructionInProgress,CostOfRevenue,CurrentAssets,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesAssets,CurrentLiabilities,DeferredTax,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DerivativeProductLiabilities,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,DividendsPayable,EBIT,EBITDA,EndCashPosition,EnterpriseValue,FinancingCashFlow,FinishedGoods,FreeCashFlow,GeneralAndAdministrativeExpense,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,GrossProfit,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InterestPaidCFO,Inventory,InvestedCapital,InvestingCashFlow,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinAssociatesatCost,InvestmentsinSubsidiariesatCost,IssuanceOfCapitalStock,IssuanceOfDebt,LandAndImprovements,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtIssuance,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,MinorityInterest,MinorityInterests,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPE,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentPensionAndOtherPostretirementBenefitPlans,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherIntangibleAssets,OtherNonCashItems,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherunderPreferredStockDividend,Payables,PrepaidAssets,PretaxIncome,Properties,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,RawMaterials,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,RestructuringAndMergernAcquisition,RetainedEarnings,SellingAndMarketingExpense,SellingGeneralAndAdministration,ShareIssued,ShortTermDebtIssuance,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOtherFinanceCost,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TradeandOtherPayablesNonCurrent,WorkInProcess,WorkingCapital,WriteOff
2021-12-31,12M,EUR,21041967.0,42754596.0,-4381493.0,287881.0,-381000.0,2089000.0,,24551281.0,0.350409,,,50000.0,6091871.0,6091871.0,,6083085.0,8786.0,,,,,,,,,50000.0,,9962664.0,,99650.0,44341000.0,53388724.0,7500266.0,7500266.0,,35561317.0,,,,3067000.0,978000.0,,37857281.0,0.227248,8603000.0,150000.0,13608000.0,16675000.0,,,,,,1466000.0,32400.0,55405.0,43135000.0,9258353.0,46455000.0,217000.0,,,,,,796885.0,23187671.0,,0.0,16375.0,,,,,50000.0,5724741.0,5724741.0,,16375.0,420850.0,1850.0,,6119049.0,0.0,,,7133136.0,8603000.0,8603000.0,8602000.0,8603000.0,8603000.0,,8603000.0,,-248000.0,,,,-248000.0,,,4876860.0,,,9907259.0,304482.0,1200197.0,17037000.0,8840034.635,,32847000.0,13608000.0,90796000.0,37857281.0,142000.0,823000.0,23005.0,,,4207440.0,105000.0,862000.0,2051602.0,9053459.0,1998224.0,0.0,23853611.0,1003000.0,13137000.0,103394.0,,,,,,428185.0,44341000.0,3067000.0,10481000.0,10481000.0,,0.0,43000.0,1509000.0,37857281.0,,-362000.0,9962664.0,9907259.0,-124965.365,4535000.0,0.345208,1747148.0,,59293300.0,15687405.0,13225007.0,16081713.0,77188000.0,43211587.0,5904576.0,7650270.0,135000.0,90796000.0,760042.0,-362000.0,-362000.0,,368700.0,17827407.0,145000.0
2022-12-31,12M,EUR,23625121.0,52852710.0,-5578350.0,287881.0,,111789.0,39248.0,37857281.0,0.201844,6091871.0,-3149452.0,50000.0,11662190.0,11662190.0,-3300000.0,11654781.0,7409.0,1245214.0,5570319.0,139767.0,5076798.0,2583154.0,-10517037.0,-1472104.0,5570319.0,50000.0,-3300000.0,16048181.0,0.0,659097.0,61124809.0,68529638.0,8015993.0,8015993.0,271493.0,44475935.0,6056720.0,1723139.0,1723139.0,1413708.0,1301919.0,0.0,37857281.0,0.201844,7641281.0,,17898815.0,19621954.0,11662190.0,,-1949550.0,,7897308.0,,814766.0,1032407.0,,11213951.0,49440727.0,309431.0,210927.0,210927.0,32708.0,32708.0,-178219.0,657118.0,30764476.0,-3526891.0,39248.0,15875.0,,,0.0,1036002.0,,6700302.0,6700302.0,1036002.0,15875.0,54852.0,1850.0,,7747232.0,-3989887.0,,0.0,3054105.0,7641281.0,7641281.0,11631168.0,7641281.0,7641281.0,11631168.0,11631168.0,-1088792.0,-178219.0,-377439.0,1350450.0,1036002.0,-178219.0,,,5635601.0,-2060660.0,314448.0,15015774.0,1549696.0,1520157.0,20720789.0,8363850.844929,11046760.0,30475785.0,18964942.0,110565536.0,37857281.0,,,217641.0,178219.0,1.0,6568472.0,474004.0,11350181.0,2462874.0,10449610.0,1952883.0,0.0,28341774.0,,17687888.0,103394.0,0.0,,-1088792.0,-377439.0,-2060660.0,657118.0,61124809.0,1723139.0,,,789404.0,7641281.0,,,37857281.0,314448.0,-1098835.0,16048181.0,15015774.0,-376265.155071,6056720.0,0.342422,1133244.0,-6056721.0,76547400.0,22748483.0,14716295.0,23795413.0,91600594.0,52751987.0,8017762.0,8276052.0,,110565536.0,2253779.0,-1098835.0,-1098835.0,741.0,0.0,24053703.0,309431.0
2023-12-31,12M,EUR,50873097.0,93020078.0,-15373177.0,39966778.0,,2047287.0,865323.0,,0.362134,11662190.0,-8250047.0,709203.0,27322217.0,27322217.0,,27319731.0,2486.0,231081.0,15660028.0,-2902272.0,2416443.0,15451806.0,-23552047.0,-8354989.0,15660028.0,709203.0,0.0,69670888.0,20012203.0,45792.0,63286972.0,179233502.0,13069677.0,13069677.0,431854.0,88180456.0,6821498.0,3883340.0,3883340.0,3883340.0,1836053.0,866626.0,,0.362134,13943242.0,,22209676.0,26093016.0,27322218.0,190786640.0,63939199.0,22693.0,2518102.0,,56377718.0,60022558.0,,26923336.0,64457006.0,,796733.0,796733.0,275456.0,275456.0,-516646.0,43049127.0,128998433.0,-59047320.0,865323.0,4350.0,33684.0,1275.0,20012203.0,39566522.0,,46257868.0,46257868.0,39566522.0,39309.0,24316594.0,102154.0,196361633.0,19791144.0,-648203.0,-50232695.0,20012203.0,32005328.0,13943242.0,13943242.0,14591445.0,13943242.0,13943242.0,14591444.0,14591444.0,-3074768.0,-521277.0,-564579.0,43926997.0,39566522.0,-521277.0,-1.0,1.0,11550159.0,-5175279.0,4360475.0,9648330.0,,2882682.0,27547597.0,14934438.710305,10768149.0,41072838.0,23384168.0,127743978.0,38502281.0,,,3644840.0,789182.0,-2.0,-1.0,,16371233.0,3515163.0,23963488.0,5245370.0,0.0,56651537.0,69105.0,21412943.0,2811902.0,375818.0,-50232695.0,-3074768.0,-564579.0,-5175279.0,1145181.0,63286972.0,3883340.0,,,829935.0,21628122.0,,,38502281.0,,-1454581.0,69670888.0,9648330.0,-463384.289695,6821498.0,0.318569,10095751.0,-6821498.0,252780910.0,115928756.0,59327545.0,89462032.0,104359810.0,163318878.0,73547407.0,75138422.0,,127743978.0,2263277.0,-1454581.0,-1454581.0,814653.0,41881253.0,91053046.0,624646.0
