symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherSpecialCharges,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,RentExpenseSupplemental,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
SES.MI,2022-10-31,TTM,EUR,21581000.0,,,2422289000.0,46671000.0,25090000.0,,,80456000.0,126454000.0,173125000.0,214306000.0,5936000.0,5936000.0,680000.0,680000.0,-5328000.0,80456000.0,80456000.0,85784000.0,80456000.0,80456000.0,85784000.0,-8755000.0,-8755000.0,173163000.0,80483048.175376,116119000.0,98187000.0,2636595000.0,28169000.0,17515000.0,,0.0,120518000.0,2422289000.0,46669000.0,5813000.0,,-10951.824624,34734000.0,0.288206,2538408000.0,126318000.0,3499000.0,2636595000.0,-38000.0,-38000.0
SES.MI,2023-04-30,3M,EUR,,,,612140000.0,15924000.0,-10401000.0,,,17120000.0,19507000.0,35432000.0,100897000.0,-8783000.0,-8783000.0,-12562000.0,-12562000.0,-1545000.0,17120000.0,17120000.0,18665000.0,17120000.0,17120000.0,18665000.0,-6832000.0,-6832000.0,35432000.0,17120000.0,85062000.0,15835000.0,713037000.0,15926000.0,11440000.0,,0.0,28290000.0,612140000.0,15925000.0,,,0.0,9625000.0,0.340226,697202000.0,34001000.0,,713037000.0,,
SES.MI,2023-07-31,3M,EUR,,15405806.0,5.47,719855000.0,14882000.0,14882000.0,15405806.0,5.45,21971000.0,44684000.0,59566000.0,47635000.0,12672000.0,12672000.0,9193000.0,9193000.0,-1269000.0,21971000.0,21971000.0,23240000.0,21971000.0,21971000.0,23240000.0,-3479000.0,-3479000.0,59566000.0,21971000.0,18191000.0,29444000.0,767490000.0,5865000.0,3309000.0,,0.0,32012000.0,719855000.0,14881000.0,,,0.0,8772000.0,0.274022,738046000.0,35309000.0,,767490000.0,,
SES.MI,2023-10-31,3M,EUR,,,,635797000.0,17137000.0,199000.0,,,16981000.0,32713000.0,49851000.0,79569000.0,3819000.0,3819000.0,-7157000.0,-7157000.0,-1367000.0,16981000.0,16981000.0,18348000.0,16981000.0,16981000.0,18348000.0,-5885000.0,-5885000.0,49851000.0,16981000.0,52607000.0,26962000.0,715366000.0,5588000.0,3685000.0,,0.0,28894000.0,635797000.0,17138000.0,,,0.0,10546000.0,0.364989,688404000.0,32644000.0,,715366000.0,,
SES.MI,2023-10-31,TTM,EUR,,15454930.0,5.48,,,,15494590.0,5.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SES.MI,2024-01-31,3M,EUR,,,,858506000.0,18076000.0,35014000.0,,,25940000.0,59728000.0,77804000.0,26958000.0,23560000.0,23560000.0,22298000.0,22298000.0,-1088000.0,25940000.0,25940000.0,27028000.0,25940000.0,25940000.0,27028000.0,-6353000.0,-6353000.0,77804000.0,25940000.0,-10053000.0,37011000.0,885464000.0,7265000.0,3656000.0,,0.0,36168000.0,858506000.0,18075000.0,,,0.0,9140000.0,0.25271,848453000.0,44182000.0,,885464000.0,,
SES.MI,2024-01-31,TTM,EUR,,15487099.0,5.29,,,,15500965.0,5.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SES.MI,2024-04-30,3M,EUR,,,,686408000.0,18186000.0,-18081000.0,,,13377000.0,28044000.0,46231000.0,109749000.0,3294000.0,3294000.0,-19147000.0,-19147000.0,-1065000.0,13377000.0,13377000.0,14442000.0,13377000.0,13377000.0,14442000.0,-4223000.0,-4223000.0,46231000.0,13377000.0,92015000.0,17734000.0,796157000.0,8798000.0,4838000.0,,0.0,24750000.0,686408000.0,18187000.0,,,0.0,10308000.0,0.24,778423000.0,27155000.0,,796157000.0,,
SES.MI,2024-04-30,TTM,EUR,36267000.0,,,2900566000.0,68281000.0,32014000.0,,,78269000.0,165169000.0,233450000.0,263911000.0,43345000.0,43345000.0,5187000.0,5187000.0,-4789000.0,78269000.0,78269000.0,83058000.0,78269000.0,78269000.0,83058000.0,-19940000.0,-19940000.0,232827000.0,77844246.79866,152760000.0,111151000.0,3164477000.0,27516000.0,15488000.0,-623000.0,0.0,121824000.0,2900566000.0,68281000.0,7749000.0,623000.0,198246.79866,38766000.0,0.318213,3053326000.0,139290000.0,-18218000.0,3164477000.0,623000.0,623000.0
