symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GeneralAndAdministrativeExpense,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherSpecialCharges,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,RestructuringAndMergernAcquisition,SellingAndMarketingExpense,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
WBD.MI,2019-12-31,12M,EUR,26960000.0,,,,,,,,,,,627269000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,165913000.0,,,72601000.0,699870000.0,,,,,,,,,,,
WBD.MI,2020-12-31,12M,EUR,32880000.0,864968750.0,0.16,3255342000.0,160591000.0,127711000.0,922633333.0,0.15,138395000.0,300934000.0,461525000.0,,991825000.0,135329000.0,135329000.0,75154000.0,75154000.0,5060000.0,138395000.0,138395000.0,138423000.0,-5088000.0,138395000.0,143483000.0,133335000.0,-85631000.0,-85631000.0,80908000.0,-174660455.759186,1166838000.0,-175013000.0,4247167000.0,171348000.0,161185000.0,-8105000.0,0.0,165605000.0,3255342000.0,160590000.0,,144178000.0,-539292000.0,,,373814000.0,62473544.240814,27182000.0,0.164138,4422180000.0,392944000.0,25456000.0,4247167000.0,380617000.0,380617000.0,173583000.0
WBD.MI,2021-12-31,12M,EUR,133274000.0,931491000.0,-0.33,4656884000.0,300250000.0,166976000.0,933106000.0,-0.33,-304949000.0,21153000.0,321404000.0,,1320937000.0,166522000.0,166522000.0,83801000.0,83801000.0,-26183000.0,-304949000.0,-304949000.0,-278998000.0,232000.0,-304949000.0,-305181000.0,-278766000.0,-113551000.0,-113551000.0,342534000.0,-289122200.0,1737024000.0,-416087000.0,5977821000.0,301444000.0,334854000.0,-5363000.0,0.0,-145369000.0,4656884000.0,300251000.0,,213276000.0,0.0,,,-22135000.0,-5071200.0,133629000.0,0.24,6393908000.0,-33715000.0,30830000.0,5977821000.0,-21130000.0,-21130000.0,27498000.0
WBD.MI,2022-12-31,12M,EUR,91607000.0,980686000.0,0.01,5738053000.0,307623000.0,307623000.0,995909000.0,0.01,9893000.0,287469000.0,627898000.0,,1917953000.0,176677000.0,176677000.0,112246000.0,112246000.0,-6637000.0,9893000.0,9893000.0,34502000.0,-17972000.0,9893000.0,27865000.0,16530000.0,-113701000.0,-113701000.0,732920000.0,107681720.0,2010076000.0,-92123000.0,7656006000.0,275494000.0,254848000.0,32348000.0,0.0,110792000.0,5738053000.0,340429000.0,,311781000.0,0.0,,,-116393000.0,-25205280.0,76290000.0,0.24,7748129000.0,191077000.0,49270000.0,7656006000.0,-105022000.0,-105022000.0,84045000.0
WBD.MI,2023-06-30,TTM,EUR,,976439000.0,0.01,,,,991246500.0,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBD.MI,2023-12-31,12M,EUR,,977042000.0,0.13,6964737000.0,401262000.0,401262000.0,988351000.0,0.13,124003000.0,472498000.0,873760000.0,,2325381000.0,208951000.0,208951000.0,114995000.0,114995000.0,-4383000.0,124003000.0,124003000.0,138457000.0,-10071000.0,124003000.0,134074000.0,128386000.0,-139173000.0,-139173000.0,821105000.0,94056200.0,2491312000.0,-165931000.0,9290118000.0,340420000.0,339673000.0,-7462000.0,0.0,263547000.0,6964737000.0,349202000.0,,356795000.0,-56645000.0,,,52155000.0,12637200.0,125090000.0,0.24,9456049000.0,450640000.0,45217000.0,9290118000.0,52655000.0,52655000.0,11952000.0
WBD.MI,2023-12-31,TTM,EUR,,994946989.0,0.124633,6964737000.0,401262000.0,401262000.0,994946989.0,0.124633,124003000.0,472498000.0,873760000.0,,2325381000.0,208951000.0,208951000.0,114995000.0,114995000.0,-4383000.0,124003000.0,124003000.0,138457000.0,-10071000.0,124003000.0,134074000.0,128386000.0,-139173000.0,-139173000.0,821105000.0,94056200.0,2491312000.0,-165931000.0,9290118000.0,340420000.0,339673000.0,-7462000.0,0.0,263547000.0,6964737000.0,349202000.0,,356795000.0,-56645000.0,,,52155000.0,12637200.0,125090000.0,0.24,9456049000.0,450640000.0,45217000.0,9290118000.0,52655000.0,52655000.0,11952000.0
