symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherSpecialCharges,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,RentExpenseSupplemental,RestructuringAndMergernAcquisition,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
WBD.MI,2023-06-30,TTM,EUR,976439000.0,0.01,,,,991246500.0,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBD.MI,2023-12-31,TTM,EUR,994946989.0,0.124633,6964737000.0,401262000.0,401262000.0,994946989.0,0.124633,124003000.0,472498000.0,873760000.0,2325381000.0,208951000.0,208951000.0,114995000.0,114995000.0,-4383000.0,124003000.0,124003000.0,138457000.0,-10071000.0,124003000.0,134074000.0,128386000.0,-139173000.0,-139173000.0,821105000.0,94056200.0,2491312000.0,-165931000.0,9290118000.0,340420000.0,339673000.0,-7462000.0,0.0,263547000.0,6964737000.0,349202000.0,356795000.0,-56645000.0,52155000.0,12637200.0,125090000.0,0.24,9456049000.0,450640000.0,45217000.0,9290118000.0,52655000.0,52655000.0,11952000.0
