symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,CashDividendsPaid,ChangeInCashSupplementalAsReported,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInWorkingCapital,ChangesInCash,CommonStockDividendPaid,DeferredTax,DividendsReceivedCFI,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,InvestingCashFlow,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetPPEPurchaseAndSale,OperatingCashFlow,OtherCashAdjustmentOutsideChangeinCash,OtherNonCashItems,ProvisionandWriteOffofAssets,PurchaseOfIntangibles,PurchaseOfPPE,SaleOfBusiness,SaleOfIntangibles,SaleOfPPE
BMPS.MI,2019-12-31,12M,EUR,,,,,,,,,,,,,,,,,43508000.0,,,,,,,,,,,,43508000.0,217000.0,
BMPS.MI,2020-12-31,12M,EUR,3408419000.0,-145443000.0,-331000.0,-1088978000.0,140324000.0,-331126000.0,-1602279000.0,-1088978000.0,-331000.0,339407000.0,638000.0,2319441000.0,-331000.0,-1227560000.0,-159932000.0,-6530000.0,0.0,0.0,-1686507000.0,-1686636000.0,-83291000.0,76123000.0,-1082117000.0,,-156381000.0,2183704000.0,-83390000.0,-62053000.0,0.0,99000.0,138176000.0
BMPS.MI,2021-12-31,12M,EUR,2319441000.0,-111321000.0,-53000.0,-577675000.0,745870000.0,-973590000.0,-1371602000.0,-577675000.0,-53000.0,-51167000.0,30370000.0,1741766000.0,42928000.0,-662857000.0,32493000.0,-69067000.0,1021000.0,42981000.0,309507000.0,309331000.0,-68943000.0,-31515000.0,-551536000.0,,-136015000.0,665424000.0,-71576000.0,-39745000.0,1021000.0,2633000.0,8230000.0
BMPS.MI,2022-12-31,12M,EUR,1741766000.0,-65710000.0,-86000.0,10796812000.0,-113263000.0,-1194571000.0,8613799000.0,10796812000.0,-86000.0,-426620000.0,107267000.0,12538578000.0,2371263000.0,8315752000.0,-284583000.0,44087000.0,0.0,2371349000.0,-178361000.0,-178509000.0,-46468000.0,-16712000.0,8381462000.0,,-91011000.0,748386000.0,-46468000.0,-19242000.0,0.0,0.0,2530000.0
BMPS.MI,2023-12-31,12M,EUR,12538578000.0,-111438000.0,-96000.0,1778698000.0,-655591000.0,-40375000.0,-97294000.0,1778698000.0,-96000.0,-345117000.0,116367000.0,14317277000.0,-2726000.0,1662907000.0,-115104000.0,7079000.0,,-2630000.0,2051781000.0,2051625000.0,-83033000.0,-26255000.0,1774345000.0,1000.0,-88278000.0,368513000.0,-83033000.0,-28405000.0,,,2150000.0
BMPS.MI,2024-03-31,TTM,EUR,,,,,,,,,,,,,,,,,,,2148781000.0,,,,,,,,,,,,
