asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AvailableForSaleSecurities,BasicAverageShares,BasicEPS,BeginningCashPosition,CapitalExpenditure,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashDividendsPaid,CashEquivalents,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockDividendPaid,CommonStockEquity,CommonStockIssuance,CostOfRevenue,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DeferredTax,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,EndCashPosition,EnterpriseValue,EnterprisesValueEBITDARatio,FinancingCashFlow,FinishedGoods,FixedAssetsRevaluationReserve,FreeCashFlow,GainLossOnInvestmentSecurities,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,GrossProfit,HedgingAssetsCurrent,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,Inventory,InvestedCapital,InvestingCashFlow,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,IssuanceOfCapitalStock,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,MinorityInterest,MinorityInterests,NetCommonStockIssuance,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPE,NetPPEPurchaseAndSale,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCashAdjustmentInsideChangeinCash,OtherCashAdjustmentOutsideChangeinCash,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherNonCashItems,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,OtherunderPreferredStockDividend,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,PretaxIncome,Properties,ProvisionandWriteOffofAssets,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,RawMaterials,ReconciledCostOfRevenue,ReconciledDepreciation,RetainedEarnings,SaleOfInvestment,SaleOfPPE,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOperatingIncomeAsReported,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TradeandOtherPayablesNonCurrent,WorkingCapital,WriteOff
2019-12-31,12M,EUR,,,,,,,,,,,,,,,-213695.0,,,,,,,-499302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-1741480.0,,,,,,,,,,,,,,1297742.0,,,,,1297742.0,,,,,,,,,,,,,,,,,,1057645.0,1057645.0,,,,,,,,,,76236.0,,,,,,,,-1759634.0,-1.0,,,-1.0,,,,,,,290274.0,,,,,,121712.0,,,,,-1353417.0,-858604.0,-1473472.0,469076.0,,,,,,,,,,,,,,-2150018.0,,,,,,,,,,,,,,,,
2020-12-31,12M,EUR,3471135.0,1473695.0,1837597.0,619975.0,-20.36,3123519.0,-578955.0,304326.0,14158082.0,3354215.0,3619323.0,-316746.0,3354215.0,230698.0,,-436469.0,-3506579.0,1809031.0,-2295663.0,230697.0,14158082.0,,6602194.0,0.0,16710878.0,9122694.0,320435.0,3612542.0,3932977.0,10467611.0,,-290085.0,846366.0,846366.0,846366.0,846366.0,619975.0,-20.36,-12622371.0,-11262079.0,-10415713.0,3354216.0,24276547.0,-2.330762,2921180.0,371150.0,,-4692439.0,,14653424.0,15331414.0,3451467.0,-364622.0,,861459.0,861459.0,173447.0,173447.0,948478.0,16256456.0,1423001.0,1837597.0,,0.0,304326.0,9654262.0,9958588.0,,185455.0,1947447.0,15251382.0,1987872.0,-399682.0,0.0,6300047.0,-12622371.0,-12622371.0,-12222689.0,-12622371.0,-12622371.0,-12123538.0,-12222689.0,-578955.0,-688012.0,1844558.0,3237925.0,3237925.0,-688012.0,3237926.0,-1.0,3451467.0,157399.0,-8729220.0,163043.0,41615.0,642479.0,,-1162447.0,-5589888.84,-4113484.0,1817639.0,-2182261.0,16346256.0,2210345.0,0.0,,2879278.0,2557675.0,,677990.0,254253.0,221402.0,186239.0,206641.0,1578223.0,732086.0,19401.0,2154279.0,265108.0,0.0,3877161.0,10636.0,,-12123538.0,1484619.0,274768.0,-578955.0,,,323075.0,16710878.0,846366.0,-7964238.0,1844558.0,157399.0,2210345.0,-9253266.0,6602194.0,-8729220.0,-2220783.84,99151.0,0.24,201920.0,-290085.0,30092455.0,16256456.0,13891565.0,8590066.0,18528517.0,21502389.0,20969760.0,11034778.0,-11435526.0,16346256.0,406026.0,-9253266.0,-9253266.0,,-1344917.0,9253266.0
2021-12-31,12M,EUR,106641.0,2166327.0,2263131.0,2727040.0,-0.23,3689637.0,-601505.0,506221.0,17619808.0,5072621.0,5535555.0,-160413.0,5072621.0,1382983.0,,-338562.0,-1372785.0,-545263.0,-2256610.0,1382983.0,17619808.0,,8736345.0,2261177.0,18340724.0,12943189.0,156441.0,2226974.0,2383415.0,8296419.0,352604.0,-245160.0,797143.0,797143.0,797142.8,797142.8,2727040.0,-0.23,-627712.0,1617143.0,2414286.0,5072620.0,23684108.0,9.809984,2310415.0,295923.0,-1796638.0,-607823.0,,16118767.0,17046145.0,3419386.0,1915422.0,0.0,571028.0,571028.0,480390.0,480390.0,991909.0,21098741.0,-921114.0,2263131.0,,2261177.0,506221.0,12362396.0,12868617.0,,754163.0,1860247.0,14730606.0,3702665.0,-1403603.0,2261177.0,7289775.0,-627712.0,-627712.0,775891.0,-627712.0,-627712.0,1046115.0,775890.0,-328292.0,-90638.0,-319610.0,,,-90638.0,209651.0,1.0,3419387.0,-273213.0,-8309800.0,305148.0,53906.0,610982.0,,2414286.0,-627712.0,-6318.0,778669.8,1136752.2,20256146.0,2479900.0,,-1.0,3895335.0,2235575.0,,927378.0,217824.0,51417.0,372206.0,1115398.0,1752265.0,542289.0,42967.0,3515471.0,462934.0,0.0,641019.0,150482.0,,1046115.0,1516172.0,600777.0,-298447.0,-319610.0,-273213.0,387988.0,18340724.0,797143.0,-9388374.0,,,2479900.0,0.0,8736345.0,-8309800.0,0.0,270224.0,0.258312,354063.0,-222873.0,36349206.0,21098741.0,12868617.0,12439010.0,19119393.8,23910196.0,23406017.0,15613777.0,1136752.0,20256146.0,534378.0,0.0,0.0,210711.0,4646770.0,0.0
2022-12-31,12M,EUR,3592135.0,3513861.0,3271390.0,2479900.0,-0.84,4611472.0,-622895.0,295571.0,16018007.0,4536780.0,5334329.0,-2970770.0,4536780.0,-74692.0,,-276778.0,1368986.0,-1544472.0,-452264.0,-74693.0,16018007.0,,6081528.0,0.0,16743691.0,12007311.0,174870.3,2626376.5,2801246.8,13716342.0,352604.0,-392661.0,2497594.0,2497594.0,2497594.0,2497594.0,2479900.0,-0.84,-2089704.0,3677542.0,6175136.0,4536780.0,24107279.0,,-5103371.0,270654.0,-1751609.0,6643148.0,,11553424.0,12499567.0,3158583.0,9584884.0,68253.0,1566608.0,1566608.0,574791.0,574791.0,754060.0,15086037.0,-2237365.0,3271390.0,,0.0,295571.0,9004509.0,9300080.0,,151846.0,1701491.0,14681008.0,3911250.0,-3363782.0,0.0,4467729.0,-2089704.0,-2089704.0,1274078.0,-2089704.0,-2089704.0,2110934.0,1274078.0,-236438.0,-991817.0,-1614470.0,,,-991817.0,-2132601.0,-1.0,15983852.0,-386457.0,-6418039.0,363886.0,110305.0,457205.0,,9275136.0,-218664.071703,7266043.0,3382134.0,6202750.0,26328575.0,2479900.0,,1.0,2239490.0,2600515.0,,946143.0,558812.0,147676.0,417245.0,10814696.0,884540.0,,107850.0,320206.7,797549.0,0.0,4492693.0,,1493269.8,2110934.0,1349242.0,254764.0,,-1775916.0,-425103.0,,16743691.0,2497594.0,-10665955.0,,,2479900.0,-3100000.0,6081528.0,-6418039.0,-1228960.071703,836856.0,0.396439,97318.0,,44543252.0,15086037.0,9300080.0,9992778.0,20125825.0,34550474.0,32535940.0,20834132.0,3102751.0,26328575.0,900558.0,-3100000.0,-3100000.0,80302.0,-1709031.0,3100000.0
2023-12-31,12M,EUR,3954159.0,3125948.0,1239832.0,2517741.0,0.452754,4536780.0,-797754.0,363326.0,16262460.0,3924838.0,4636671.0,-1737747.0,3924838.0,-611941.0,,-1241971.0,362023.0,387913.0,-492035.0,-611941.0,16262460.0,,7260185.0,302728.0,19071444.0,10570432.0,240900.0,2657533.0,2898433.0,15184345.0,,-1041917.0,2765048.0,2765048.0,4073750.0,4073750.0,2517741.0,0.452754,1139918.0,6026397.0,10100147.0,3924838.0,37392299.0,,-5622656.0,278315.0,,4719984.0,,11553424.0,12324486.0,14083242.0,11135169.0,4882.0,1812791.0,1812791.0,312792.0,312792.0,745453.0,16145756.0,-507023.0,1239832.0,,302728.0,122426.0,6228038.0,6350464.0,,175114.0,1322910.0,20335590.0,3442493.0,-2158780.0,302728.0,4960733.0,1139918.0,1139918.0,3298698.0,1139918.0,1139918.0,4213606.0,3298698.0,108398.0,-1499999.0,182333.0,,,-1499999.0,-4187637.0,,14083242.0,-797754.0,-5064301.0,338670.0,118649.0,511064.0,,10100147.0,1139918.0,5517738.0,5421562.0,5713607.0,30206613.0,2517741.0,,-1.0,223396.0,1925455.0,1.0,771062.0,467138.0,8605.0,700447.0,8336795.0,1347812.0,516887.0,11256063.0,1333390.0,711833.0,0.0,5422425.0,,329227.0,4213606.0,1504269.0,64431.0,,,,,19071444.0,2765048.0,-9526037.0,,,2517741.0,0.0,7260185.0,-5064301.0,0.0,914908.0,0.217132,171465.0,,41379109.0,13488223.0,9248897.0,10702678.0,24493006.0,30676431.0,30808677.0,15492086.0,5713605.0,30206613.0,951379.0,0.0,0.0,,-4613913.0,0.0
