symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AdditionalPaidInCapital,Amortization,AssetsHeldForSaleCurrent,BasicAverageShares,BasicEPS,BeginningCashPosition,CapitalExpenditure,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockEquity,CommonStockIssuance,ConstructionInProgress,CostOfRevenue,CurrentAssets,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesAssets,CurrentLiabilities,DeferredTax,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,DividendReceivedCFO,EBIT,EBITDA,EndCashPosition,EnterpriseValue,EnterprisesValueEBITDARatio,FinancingCashFlow,FinishedGoods,FreeCashFlow,GainLossOnInvestmentSecurities,GoodwillAndOtherIntangibleAssets,GrossPPE,GrossProfit,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InterestPaidCFO,Inventory,InvestedCapital,InvestingCashFlow,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,InvestmentsinSubsidiariesatCost,IssuanceOfCapitalStock,IssuanceOfDebt,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtIssuance,LongTermDebtPayments,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,NetCommonStockIssuance,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetPPE,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,NetTangibleAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCashAdjustmentOutsideChangeinCash,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCashItems,OtherNonCurrentLiabilities,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherunderPreferredStockDividend,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,PretaxIncome,Properties,ProvisionandWriteOffofAssets,PurchaseOfIntangibles,PurchaseOfPPE,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,RepaymentOfDebt,RestructuringAndMergernAcquisition,RetainedEarnings,SaleOfIntangibles,SaleOfInvestment,SaleOfPPE,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOtherFinanceCost,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TradeandOtherPayablesNonCurrent,WorkInProcess,WorkingCapital,WriteOff
MEV.MI,2019-12-31,12M,EUR,705541.0,591254.0,,3259.0,,,,402000.0,,13143942.0,145384.0,145384.0,55384.0,90000.0,-21000.0,-257000.0,510000.0,-539000.0,-340000.0,188000.0,-181000.0,-257000.0,13143942.0,6976392.0,,8926000.0,1556887.0,2782668.0,543337.0,543337.0,,4015823.0,-99000.0,8000.0,8000.0,8007.0,4748.0,,,-4099466.0,,-3996779.0,-3988772.0,145000.0,,,-29000.0,1184014.0,-228000.0,,26070.0,12197347.0,986291.0,3463559.0,4153.0,4153.0,0.0,0.0,,1184014.0,7855350.0,0.0,,10000.0,,,,335621.0,335621.0,,,10000.0,250000.0,0.0,,,733574.0,-4099466.0,-4099466.0,-4099466.0,-4099466.0,-4099466.0,-4099000.0,-4099466.0,,-4153.0,,-29000.0,,-4153.0,,12197347.0,,-29000.0,6950322.0,1997657.0,16492.0,149350.0,-954493.28,-228000.0,844948.0,141343.0,2543178.0,,,1759121.0,,26070.0,4000.0,1424100.0,411421.0,2236000.0,9942.0,601970.0,0.0,1621617.0,85089.0,203933.0,-4000932.0,12187405.0,3464000.0,,,1556887.0,8000.0,344986.0,344986.0,,,-6818638.0,,,,,-4138122.0,6976392.0,6950322.0,-993149.28,98534.0,0.24,56113.0,,15016085.0,7312013.0,878958.0,6976392.0,2401835.0,8039693.0,12233417.0,4023870.0,,2543178.0,916076.0,-4138122.0,-4138122.0,1759000.0,0.0,-1233155.0,674563.0
MEV.MI,2020-12-31,12M,EUR,685855.0,446140.0,,4104.0,,,,144648.0,-12972.0,14168942.0,38259.0,38259.0,38259.0,0.0,8615.0,242062.0,-878800.0,199938.0,166092.0,172902.0,-339868.0,242062.0,14168942.0,2903946.0,1025000.0,0.0,934899.0,3054520.0,994438.0,994438.0,204174.0,6406530.0,110777.0,2447.0,2447.0,8812.0,4708.0,,,-7034761.0,,-1327466.0,-1318654.0,38259.0,,,1363938.0,1003800.0,-1121876.0,,34293.0,9499768.0,537712.0,4626333.0,331309.0,331309.0,3.0,3.0,,1757921.0,4234005.0,-12972.0,,10000.0,,1025000.0,388000.0,335621.0,335621.0,388000.0,,10000.0,250000.0,146.0,,1025000.0,1291800.0,-7034761.0,-7034761.0,-7034761.0,-7034761.0,-7034761.0,-7034761.0,-7034761.0,-12000.0,-331306.0,,-49062.0,388000.0,-331306.0,388000.0,9499768.0,-972.0,-49062.0,2869653.0,2594588.0,27535.0,3946558.0,-3033199.88,-1108904.0,1865178.0,-1327466.0,1472611.0,,-348451.0,3108612.0,,34293.0,-478838.0,1112.0,1464636.0,123752.0,8448.0,510467.0,0.0,2172466.0,115740.0,0.0,-6923984.0,9491174.0,526473.0,-12000.0,-972.0,934899.0,2447.0,320279.0,320279.0,,,-10830469.0,,,,,-5265212.0,2903946.0,2869653.0,-1263650.88,110777.0,0.24,97559.0,,12598671.0,3239567.0,1330059.0,2903946.0,2800077.0,9694725.0,9544151.0,3288195.0,331309.0,1472611.0,1362859.0,-5265212.0,-5265212.0,79339.0,754121.0,-3352010.0,638879.0
MEV.MI,2021-12-31,12M,EUR,453125.0,91058.0,0.0,2863.0,0.0,953644.0,-5.555714,38259.0,-1063264.0,16933942.0,444895.0,444895.0,438073.0,6822.0,,406636.0,978547.0,-907806.0,-594313.0,359736.0,-163836.0,406636.0,16933942.0,370777.0,2765000.0,49455.0,3060044.0,2420465.0,2643828.0,2643828.0,201726.0,5399647.0,-1791173.0,4831.0,4831.0,4831.0,1968.0,953644.0,-5.555714,-5298173.0,48763.0,-6844293.0,-6839462.0,444895.0,3173566.0,-0.464008,2777342.0,382043.0,-2393517.0,-48763.0,10934.0,4456409.0,786802.0,0.0,245053.0,245053.0,3.0,3.0,-245050.0,759374.0,3083659.0,-1040453.0,,10000.0,0.0,2765000.0,35000.0,69054.0,69054.0,35000.0,,10000.0,420151.0,1693.0,3042125.0,2765000.0,2267987.0,-5298173.0,-5298173.0,-5298173.0,-5298173.0,-5298173.0,-5298173.0,-5298173.0,20496.0,-245050.0,,-22658.0,35000.0,-245050.0,35000.0,4456409.0,-1060949.0,-22658.0,359843.0,610099.0,10645.0,-6831472.0,-5292201.729551,-1330253.0,7671871.0,-6885069.0,3846846.0,953644.0,,588725.0,,10934.0,6222222.0,4851.0,7271057.0,,10207.0,820227.0,0.0,2026001.0,127824.0,20000.0,-7089346.0,4395054.0,61736.0,-2315.0,-1060949.0,3060044.0,4831.0,239985.0,239985.0,,7990.0,-16477201.0,22811.0,,,953644.0,-7990.0,370777.0,359843.0,-2018.729551,-1791173.0,0.252657,83185.0,-120810.0,6897808.0,439831.0,2712882.0,370777.0,10731915.0,6527031.0,4477343.0,1127384.0,235000.0,3846846.0,1572876.0,-7990.0,-7990.0,12584.0,377331.0,-2979182.0,0.0
MEV.MI,2022-12-31,12M,EUR,438149.0,994712.0,281290.0,15978.0,2562865.0,2679077.0,-0.535486,444895.0,-305108.0,17869436.0,12873.0,12873.0,12873.0,275.0,,-432022.0,340716.0,32472.0,117004.0,-1184650.0,-694458.0,-432022.0,17869436.0,769781.0,1591784.0,0.0,3812173.0,4025541.0,4959836.0,4959836.0,201726.0,5416574.0,161527.0,43276.0,43276.0,37601.0,21623.0,2679077.0,-0.535486,-1192780.0,,-792842.0,-749566.0,12873.0,8080815.0,-10.780658,1458126.0,286658.0,-2303439.0,-215745.0,60633.0,1702386.0,1240779.0,,238411.0,238411.0,661.0,661.0,-237750.0,438658.0,5729617.0,108183.0,10000.0,0.0,10000.0,1591784.0,,90000.0,90000.0,,-374054.0,10000.0,881108.0,2772.0,6125548.0,1591784.0,4946963.0,-1192780.0,-1192780.0,-1192780.0,-1192780.0,-1192780.0,-1192780.0,-1192780.0,-70195.0,-237750.0,10000.0,-204779.0,-374054.0,-237750.0,71121.0,1702386.0,168378.0,169275.0,709148.0,142833.0,15418.0,-584032.0,-1066974.16,-1998331.0,1866578.0,-625799.0,5052952.0,2679077.0,,568309.0,375000.0,60633.0,118211.0,15418.0,1106446.0,,183814.0,16433.0,0.0,438149.0,108354.0,60000.0,-1031253.0,1515800.0,318124.0,-110861.0,-194247.0,3812173.0,43276.0,393980.0,393980.0,-374054.0,15152.0,-17728007.0,40666.0,10000.0,362625.0,2679077.0,-165534.0,769781.0,709148.0,-39728.16,161527.0,0.24,139576.0,-161527.0,7082881.0,769781.0,4959836.0,769781.0,5678751.0,6313100.0,3057340.0,896526.0,,5052952.0,1496811.0,-165534.0,-165534.0,331027.0,92000.0,-1391033.0,150382.0
