asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AdditionalPaidInCapital,AssetsHeldForSaleCurrent,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesAssets,CurrentLiabilities,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,InvestmentsinSubsidiariesatCost,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,OrdinarySharesNumber,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,WorkInProcess,WorkingCapital
2022-12-31,3M,EUR,438149.0,994712.0,281290.0,2562865.0,17869436.0,12873.0,12873.0,12873.0,275.0,17869436.0,769781.0,0.0,4025541.0,4959836.0,4959836.0,201726.0,5416574.0,286658.0,,60633.0,1702386.0,438658.0,5729617.0,10000.0,0.0,10000.0,90000.0,90000.0,10000.0,881108.0,2772.0,4946963.0,1702386.0,709148.0,142833.0,15418.0,2679077.0,568309.0,375000.0,60633.0,15418.0,,183814.0,16433.0,438149.0,108354.0,60000.0,1515800.0,-17728007.0,2679077.0,769781.0,709148.0,139576.0,7082881.0,769781.0,4959836.0,769781.0,6313100.0,3057340.0,896526.0,1496811.0,331027.0,92000.0,-1391033.0
2023-06-30,3M,EUR,623049.0,3375785.0,489027.0,0.0,19147647.0,509688.0,509688.0,499093.0,10595.0,19147647.0,1002613.0,,5934223.0,2305674.0,2305674.0,201726.0,5751313.0,387381.0,38424.0,169465.0,1701657.0,387381.0,3308287.0,,,0.0,0.0,0.0,0.0,373069.0,2527.0,1795986.0,1701657.0,833148.0,156768.0,53251.0,3054077.0,10782.0,,131041.0,,722682.0,183330.0,1257322.0,2804207.0,100222.0,60000.0,1515800.0,-18679245.0,3054077.0,1002613.0,833148.0,142321.0,7989092.0,1002613.0,2305674.0,1002613.0,6986479.0,2054869.0,1235166.0,1458476.0,652078.0,0.0,182910.0
