symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockDividendPaid,CommonStockIssuance,DeferredTax,Depreciation,DepreciationAndAmortization,EndCashPosition,FinancingCashFlow,FreeCashFlow,InterestPaidCFO,InvestingCashFlow,IssuanceOfCapitalStock,IssuanceOfDebt,LongTermDebtIssuance,LongTermDebtPayments,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,OperatingCashFlow,OtherNonCashItems,ProvisionandWriteOffofAssets,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,RepaymentOfDebt,SaleOfIntangibles,SaleOfInvestment,SaleOfPPE,ShortTermDebtIssuance,TaxesRefundPaid
MEV.MI,2019-06-30,TTM,EUR,,,,,,,,,,,0.0,,,,,,,,,,,-16000.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16000.0,-40000.0
MEV.MI,2019-12-31,TTM,EUR,,,-21000.0,,510000.0,,,,,,,,-99000.0,8000.0,8000.0,,,,,0.0,,,,,,,,,,,,,,,,3464000.0,,,,,,,,,
MEV.MI,2023-06-30,TTM,EUR,1272971.0,-423456.0,,-1839766.0,-1127666.0,2868224.0,1172584.0,-5322545.0,-2409403.0,-1839766.0,,1260948.0,132652.0,70857.0,70857.0,-566795.0,-1717579.0,-2898457.0,-192125.0,2352814.0,1260948.0,,,-741412.0,1260948.0,-1276529.0,-1276529.0,-188543.0,,-2519648.0,-741412.0,2521357.0,-1778236.0,-2475001.0,78591.0,262045.0,-229209.0,,,-741412.0,,,2715604.0,,-132652.0
