asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,BasicAverageShares,BasicEPS,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CostOfRevenue,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,EnterpriseValue,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,GrossProfit,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinAssociatesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,MinorityInterest,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCurrentLiabilities,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,OtherunderPreferredStockDividend,Payables,PrepaidAssets,PretaxIncome,Properties,RawMaterials,ReconciledCostOfRevenue,ReconciledDepreciation,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxRateForCalcs,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOperatingIncomeAsReported,TotalRevenue,TotalTaxPayable,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,TreasuryStock,WorkInProcess,WorkingCapital
2022-12-31,3M,EUR,170863321.0,168499490.0,-54006018.0,46927795.0,-9225499.0,,,21595113.0,13946997.0,2594727.0,162814265.0,165125440.0,162814265.0,162814265.0,2594727.0,313185761.0,5232477.0,,570104794.0,3819578.0,41235968.0,45055546.0,329612493.0,,,,,,,,,53299560.0,7978059.0,13897740.0,177724989.0,167092339.0,,,202900202.0,382156562.0,1061819.0,1019897.0,78826787.0,10127419.0,27734833.0,37862252.0,2081716.0,10735920.0,18611555.0,,30268886.0,,,,,,,,,,113086321.0,299288021.0,12420903.0,3242089.0,4099038.0,,,,,,,54105698.0,5919681.0,23616174.0,6166470.0,,,45520478.0,42826407.0,8641801.0,2311175.0,,230451249.0,8603385.0,,0.0,98468376.0,,,168828282.0,,313185761.0,299288021.0,,,16334476.0,735890728.0,340920594.0,,343454647.0,,392436081.0,165785934.0,62823588.0,23077201.0,,14067450.0,717819.0,,468633.0,51132266.0,240492301.0
2023-03-31,3M,EUR,,,,,,79854172.0,0.207979,,,,,,117645.0,,,,,101631000.0,,,,,,3902000.0,3902000.0,79854172.0,0.207979,16608000.0,17031000.0,20933000.0,865255475.0,,,,,,61122000.0,,,,,,,,,24377000.0,,,,960645689.0,,,16608000.0,16608000.0,16608000.0,16608000.0,16608000.0,16608000.0,-459000.0,-459000.0,,,,,,20933000.0,16608000.0,44091000.0,17031000.0,162753000.0,79854172.0,,,,,,14066000.0,,,,,0.0,,,16608000.0,,,101631000.0,3902000.0,,79893292.0,,,0.0,0.24,,,,24377000.0,,145722000.0,,,,17032000.0,162753000.0,,,39120.0,,,
2023-06-30,3M,EUR,146145539.0,176485907.0,-55293604.0,47200155.0,-9913012.0,,,20512936.0,13276112.0,2597539.0,87939842.0,92128277.0,,87939842.0,2597539.0,320861677.0,2736603.0,102080284.0,530640926.0,2911332.0,37435306.0,40346638.0,287880656.0,1919764.0,1231530.0,,,9167747.0,21204517.0,23124281.0,782547826.0,60681398.0,7640253.0,12838510.0,186398919.0,167805407.0,82189897.0,4578.0,225817075.0,382167010.0,1070569.0,1907090.0,81871786.0,10364780.0,23870027.0,34234807.0,2977659.0,9594586.0,19286212.0,877938040.0,29053513.0,,9167747.0,9167747.0,10243100.0,9167747.0,9167747.0,10243100.0,-550681.0,-550681.0,112511803.0,308023167.0,13648580.0,3236327.0,4475684.0,23124281.0,9167747.0,63745544.0,18444353.0,184270181.0,79885172.0,45033995.0,5198257.0,23595139.0,6155418.0,,,46940062.0,43397870.0,10469150.0,4188435.0,0.0,202500023.0,9792678.0,21234219.0,0.0,108499239.0,102080284.0,1919764.0,164381325.0,79924292.0,320861677.0,308023167.0,0.0,0.24,15943261.0,696910234.0,344731704.0,74581445.0,349915190.0,165825828.0,346995044.0,166269308.0,59114388.0,21842491.0,184270181.0,9414422.0,1417566.0,39120.0,468633.0,56636438.0,242760270.0
2023-09-30,3M,EUR,,,,,,79899322.0,0.163055,,,,,,108777000.0,,,,,106527000.0,,,43924000.0,,,3322000.0,3322000.0,79899322.0,0.163055,13028000.0,12903000.0,16225000.0,677976766.0,,,,,,40859000.0,,,43924000.0,,,,,,,,,,695523598.0,,43924000.0,13028000.0,13028000.0,13028000.0,13028000.0,13028000.0,13028000.0,162000.0,162000.0,,,,,,16225000.0,13028000.0,27956000.0,12903000.0,147386000.0,79899322.0,,,,,,,,,,,0.0,,,13028000.0,,,106527000.0,3322000.0,,79924292.0,,,0.0,0.24,,,,43924000.0,,134483000.0,,,,12903000.0,147386000.0,,,24970.0,,,
2023-12-31,3M,EUR,153230610.0,173382737.0,-59959815.0,47329202.0,-10591521.0,,,21308823.0,13096492.0,2598872.0,131040584.0,135355768.0,131040584.0,,2598872.0,346030481.0,2710930.0,83291826.0,553009264.0,2968064.0,41687250.0,44655314.0,285606649.0,1732528.0,263291.0,,,-2630622.0,20324850.0,22057378.0,761764057.0,47221297.0,7668039.0,12616127.0,183974258.0,172178216.0,115986917.0,,210297128.0,406568206.0,1061819.0,1864054.0,82186252.0,10128428.0,18850475.0,28978903.0,2925873.0,13251628.0,20328908.0,779310889.0,29427346.0,,-2630622.0,-2630622.0,-803478.0,-2630622.0,-2630622.0,-803478.0,-839496.0,-839496.0,112218401.0,333414354.0,14347340.0,3523718.0,4758094.0,22057378.0,-2630622.0,101937976.0,14048941.0,199278743.0,79970202.0,30588151.0,4948088.0,23777759.0,6087344.0,,,45835154.0,45643303.0,9529588.0,4315184.0,0.0,210331727.0,6889933.0,20264199.0,0.0,108928185.0,83291826.0,1732528.0,187918244.0,80006172.0,346030481.0,333414354.0,0.0,0.24,17554110.0,719209443.0,364880956.0,73634217.0,375457827.0,185229802.0,343751616.0,166200179.0,58144967.0,20957682.0,199278743.0,11265963.0,1545280.0,35970.0,380401.0,54147646.0,267402615.0
2024-03-31,3M,EUR,,,,,,79970202.0,0.180017,,,,131556000.0,131556000.0,,,,,,90697000.0,,,53635000.0,,,4901000.0,4901000.0,79970202.0,0.180017,14396000.0,14317000.0,19218000.0,921303339.0,,,,,,62401000.0,,,53635000.0,,,,,,18101000.0,,,,938850171.0,,,14396000.0,14396000.0,14396000.0,14396000.0,14396000.0,14396000.0,187000.0,187000.0,,,,,,19218000.0,14396000.0,48084000.0,14317000.0,153098000.0,79970202.0,,,,,-29000.0,15914000.0,,,,,0.0,,,14396000.0,,,90697000.0,4901000.0,,80006172.0,,,0.0,0.4,,,,71736000.0,,138781000.0,,,,,153098000.0,,,35970.0,,,
