symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,CashDividendsPaid,CashFlowsfromusedinOperatingActivitiesDirect,ChangeInCashSupplementalAsReported,ChangesInCash,ClassesofCashPayments,ClassesofCashReceiptsfromOperatingActivities,CommonStockDividendPaid,DividendsReceivedCFI,DividendsReceivedDirect,EndCashPosition,FinancingCashFlow,FreeCashFlow,InterestPaidDirect,InterestReceivedDirect,InvestingCashFlow,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetIncome,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetOtherFinancingCharges,NetPPEPurchaseAndSale,OtherCashAdjustmentOutsideChangeinCash,OtherCashPaymentsfromOperatingActivities,OtherCashReceiptsfromOperatingActivities,PaymentsonBehalfofEmployees,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,ReceiptsfromCustomers,SaleOfBusiness,SaleOfIntangibles,SaleOfInvestment,SaleOfPPE,TaxesRefundPaidDirect
COP.MI,2019-12-31,12M,EUR,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,,,1.0,,,,,,0.0,,,,0.0,0.0,,
COP.MI,2020-12-31,12M,EUR,2388864.0,-504250.0,,-285163.0,-358034.0,-358035.0,-3878550.0,3529251.0,,0.0,0.0,2030830.0,431378.0,-789413.0,-14539.0,1519.0,-504250.0,0.0,0.0,-240292.0,-257667.0,,431378.0,-246583.0,1.0,-2471322.0,584661.0,-1407228.0,0.0,-257667.0,,-246583.0,2944590.0,0.0,0.0,,0.0,77156.0
COP.MI,2021-12-31,12M,EUR,2030830.0,-118311.0,-13412.0,-416884.0,-537211.0,-537211.0,-4259799.0,3816874.0,-13412.0,,0.0,1493619.0,-2016.0,-535195.0,-12187.0,749.0,-118311.0,0.0,11396.0,-196172.0,-61491.0,,,-56820.0,,-2758016.0,336708.0,-1501783.0,0.0,-61491.0,,-56820.0,3480166.0,0.0,,,,37480.0
COP.MI,2022-12-31,12M,EUR,1493619.0,-230477.0,,-237386.0,-208087.0,-208087.0,-4194802.0,4004911.0,,0.0,0.0,1285532.0,259776.0,-467863.0,-10111.0,1174.0,-230477.0,0.0,171599.0,9596.0,-145672.0,,88177.0,-84805.0,,-2861175.0,241120.0,-1333627.0,0.0,-145672.0,,-84805.0,3763791.0,0.0,0.0,,,-38558.0
COP.MI,2023-12-31,12M,EUR,1285532.0,-210496.0,-10988.0,646434.0,424950.0,424950.0,-3418619.0,4114319.0,-10988.0,0.0,0.0,1710482.0,-10988.0,435938.0,-10155.0,8772.0,-210496.0,0.0,0.0,83196.0,-157222.0,,,-53274.0,,-2083934.0,641223.0,-1334685.0,0.0,-157222.0,,-53274.0,3473096.0,0.0,0.0,,,-47883.0
COP.MI,2023-12-31,TTM,EUR,1285532.0,-210496.0,-10988.0,646434.0,424950.0,424950.0,-3418619.0,4114319.0,-10988.0,0.0,0.0,1710482.0,-10988.0,435938.0,-10155.0,8772.0,-210496.0,0.0,0.0,83196.0,-157222.0,0.0,,-53274.0,,-2083934.0,641223.0,-1334685.0,0.0,-157222.0,0.0,-53274.0,3473096.0,0.0,0.0,,0.0,-47883.0
