symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,CashDividendsPaid,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockDividendPaid,EffectOfExchangeRateChanges,EndCashPosition,FinancingCashFlow,FreeCashFlow,InterestPaidCFO,InvestingCashFlow,IssuanceOfDebt,LongTermDebtIssuance,LongTermDebtPayments,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,OperatingCashFlow,OtherNonCashItems,PurchaseOfIntangibles,PurchaseOfPPE,RepaymentOfDebt,SaleOfPPE,TaxesRefundPaid
BE.MI,2019-12-31,12M,EUR,,,-82000.0,,,,,,,,,-82000.0,,,,,,,,,,,,,,,,,,,-17191000.0,,,,,,,
BE.MI,2019-12-31,TTM,EUR,,,-82000.0,,,,,,,,,,,,,,,,,,,,,,11422000.0,,,,,,,,,,,,,
BE.MI,2020-12-31,12M,EUR,123000.0,-3677000.0,,2858000.0,-1667000.0,-429000.0,-841000.0,482000.0,-759000.0,-3607000.0,2858000.0,0.0,-190000.0,2791000.0,105000.0,-1061000.0,-5159000.0,137000.0,11150000.0,11150000.0,-13532000.0,-8937000.0,-7542000.0,-3308000.0,0.0,-2382000.0,-2382000.0,2487000.0,3814000.0,-369000.0,-8251000.0,2616000.0,20051000.0,-3308000.0,-369000.0,-13532000.0,0.0,-1127000.0
BE.MI,2021-12-31,12M,EUR,2791000.0,-6832000.0,,12407000.0,-14232000.0,2509000.0,1077000.0,4449000.0,8142000.0,1586000.0,12407000.0,,-27000.0,15171000.0,-3354000.0,12570000.0,-2169000.0,-3641000.0,12539000.0,12539000.0,-19446000.0,3105000.0,3909000.0,-3581000.0,0.0,-6907000.0,-6907000.0,3553000.0,-208000.0,148000.0,,19402000.0,17567000.0,-3581000.0,-3251000.0,-19446000.0,3399000.0,-1491000.0
BE.MI,2022-12-31,12M,EUR,15171000.0,-5439000.0,,-15431000.0,-8471000.0,-1576000.0,752000.0,-4987000.0,-3583000.0,-18343000.0,-15431000.0,,355000.0,95000.0,4417000.0,-17775000.0,-1564000.0,-7512000.0,17861000.0,17861000.0,-15321000.0,-10203000.0,-10319000.0,-3466000.0,1000.0,2540000.0,2540000.0,1877000.0,-2088000.0,-1959000.0,,-12336000.0,18731000.0,-3466000.0,-1973000.0,-15321000.0,14000.0,-841000.0
BE.MI,2023-12-31,12M,EUR,95000.0,-6002000.0,,-6406000.0,14958000.0,-573000.0,1891000.0,-2975000.0,22000.0,13055000.0,-6406000.0,,-28000.0,-6339000.0,-15671000.0,9338000.0,-4478000.0,-6075000.0,4276000.0,4276000.0,-22384000.0,-9335000.0,-9999000.0,-4724000.0,1000.0,-18108000.0,-18108000.0,2437000.0,-74000.0,-1278000.0,,15340000.0,17885000.0,-4724000.0,-1278000.0,-22384000.0,0.0,-1213000.0
BE.MI,2023-12-31,TTM,EUR,95000.0,-6002000.0,,-6406000.0,14958000.0,-573000.0,1891000.0,-2975000.0,22000.0,13055000.0,-6406000.0,,-28000.0,-6339000.0,-15671000.0,9338000.0,-4478000.0,-6075000.0,4276000.0,4276000.0,-22384000.0,-9335000.0,-9999000.0,-4724000.0,1000.0,-18108000.0,-18108000.0,2437000.0,-74000.0,-1278000.0,,15340000.0,17885000.0,-4724000.0,-1278000.0,-22384000.0,0.0,-1213000.0
