asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,FinancialAssets,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,InventoriesAdjustmentsAllowances,Inventory,InvestedCapital,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinJointVenturesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherIntangibleAssets,OtherInventories,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RawMaterials,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TreasurySharesNumber,WorkInProcess,WorkingCapital
2022-12-31,3M,EUR,35223000.0,29679000.0,-140320000.0,42424000.0,-2401000.0,25020000.0,43903000.0,14030000.0,9961000.0,20159000.0,21647000.0,20108000.0,51000.0,9961000.0,80011000.0,5889000.0,152407000.0,2765000.0,59935000.0,62700000.0,122447000.0,405000.0,684000.0,48110000.0,6721000.0,13943000.0,32080000.0,182337000.0,310000.0,-23542000.0,65959000.0,145683000.0,61000.0,94000.0,22328000.0,11265000.0,5737000.0,17002000.0,155000.0,3421000.0,45441000.0,552000.0,45513000.0,42017000.0,66068000.0,11120000.0,5255000.0,0.0,199213800.0,905000.0,2000000.0,7222000.0,518000.0,,1360000.0,13002000.0,64776000.0,1651000.0,1488000.0,50607000.0,4269000.0,0.0,33662000.0,-10203000.0,200000000.0,80011000.0,66068000.0,2967000.0,230048000.0,85748000.0,79702000.0,80563000.0,149485000.0,77641000.0,27038000.0,2382000.0,786200.0,7211000.0,29960000.0
2023-06-30,3M,EUR,33998000.0,32720000.0,-141544000.0,42424000.0,-2381000.0,23382000.0,45723000.0,10072000.0,9961000.0,20009000.0,20526000.0,19973000.0,36000.0,9961000.0,77621000.0,5538000.0,141023000.0,2307000.0,54208000.0,56515000.0,113110000.0,400000.0,607000.0,44084000.0,6721000.0,14685000.0,35101000.0,183795000.0,105000.0,-24374000.0,56772000.0,142152000.0,,155000.0,22143000.0,7765000.0,10323000.0,18088000.0,155000.0,3074000.0,45412000.0,575000.0,44522000.0,42251000.0,62936000.0,11595000.0,5187000.0,,199213800.0,772000.0,631000.0,7964000.0,309000.0,2310000.0,1073000.0,13856000.0,64979000.0,2579000.0,517000.0,51197000.0,2350000.0,0.0,29943000.0,-1633000.0,200000000.0,77621000.0,62936000.0,1817000.0,218728000.0,87944000.0,74603000.0,78196000.0,140532000.0,77705000.0,27422000.0,3343000.0,786200.0,6810000.0,27913000.0
2023-12-31,3M,EUR,32248000.0,29462000.0,-138365000.0,42424000.0,-2655000.0,17989000.0,45707000.0,13906000.0,9961000.0,12391000.0,12923000.0,12368000.0,23000.0,9961000.0,69615000.0,5636000.0,120234000.0,3151000.0,46348000.0,49499000.0,104738000.0,373000.0,371000.0,40359000.0,6721000.0,15117000.0,32117000.0,181242000.0,10000.0,-24492000.0,49874000.0,119940000.0,60000.0,94000.0,24089000.0,10755000.0,3977000.0,14732000.0,154000.0,3126000.0,43319000.0,459000.0,37934000.0,42877000.0,54498000.0,12856000.0,5375000.0,,199213800.0,2841000.0,1257000.0,8396000.0,337000.0,,1683000.0,13684000.0,62491000.0,1537000.0,532000.0,49110000.0,4103000.0,0.0,27513000.0,-9335000.0,200000000.0,69615000.0,54498000.0,1495000.0,199728000.0,73592000.0,64231000.0,70074000.0,129654000.0,79494000.0,24916000.0,3178000.0,786200.0,6157000.0,15496000.0
