symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,CashDividendsPaid,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,EffectOfExchangeRateChanges,EndCashPosition,FinancingCashFlow,FreeCashFlow,InterestPaidCFO,InvestingCashFlow,IssuanceOfDebt,LongTermDebtIssuance,LongTermDebtPayments,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPEPurchaseAndSale,OperatingCashFlow,OtherNonCashItems,PurchaseOfIntangibles,PurchaseOfPPE,RepaymentOfDebt,SaleOfPPE,TaxesRefundPaid
BE.MI,2019-12-31,TTM,EUR,,,-82000.0,,,,,,,,,,,,,,,,,,,,,11422000.0,,,,,,,,,,,,
BE.MI,2023-12-31,TTM,EUR,95000.0,-6002000.0,,-6406000.0,14958000.0,-573000.0,1891000.0,-2975000.0,22000.0,13055000.0,-6406000.0,-28000.0,-6339000.0,-15671000.0,9338000.0,-4478000.0,-6075000.0,4276000.0,4276000.0,-22384000.0,-9335000.0,-9999000.0,-4724000.0,1000.0,-18108000.0,-18108000.0,2437000.0,-74000.0,-1278000.0,15340000.0,17885000.0,-4724000.0,-1278000.0,-22384000.0,0.0,-1213000.0
