asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AdditionalPaidInCapital,AvailableForSaleSecurities,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,CurrentAssets,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesAssets,CurrentLiabilities,DividendsPayable,FinancialAssets,FinishedGoods,FixedAssetsRevaluationReserve,Goodwill,GoodwillAndOtherIntangibleAssets,Inventory,InvestedCapital,InvestmentinFinancialAssets,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermProvisions,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,RawMaterials,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,WorkingCapital
2023-06-30,3M,EUR,3450000.0,4324000.0,,,3697000.0,6290000.0,6290000.0,,,3697000.0,10021000.0,17768000.0,,,231000.0,6302000.0,40000.0,177000.0,2758000.0,,2282000.0,6253000.0,4262000.0,15591000.0,,5570000.0,5570000.0,43000.0,,782000.0,3768000.0,,1201000.0,69000.0,7500000.0,52000.0,3971000.0,1000.0,720000.0,665000.0,450000.0,,4688000.0,1180000.0,1504000.0,837000.0,7500000.0,10021000.0,3768000.0,2159000.0,25050000.0,15591000.0,5570000.0,10021000.0,15029000.0,7282000.0,8727000.0,533000.0,1193000.0,11466000.0
2023-12-31,3M,EUR,3222716.0,3478152.0,2070000.0,219388.0,4627200.0,3767636.0,8393626.0,3727802.0,39834.0,4627200.0,13976296.0,20147773.0,1983784.0,1983784.0,255844.0,8926670.0,,104514.0,3570940.0,4171000.0,,6737584.0,5099291.0,19315360.0,219388.0,3355280.0,3355280.0,49945.0,1571428.0,662724.0,7238712.0,26582.0,1163026.0,,7500000.0,,,,11.0,2559309.0,418205.0,4625990.0,6199476.0,,1528351.0,1286998.0,7500000.0,13976296.0,7238712.0,2502655.0,27954665.0,17331576.0,5339064.0,13976296.0,13978369.0,7806894.0,5051699.0,417451.0,456855.0,11221103.0
