symbol,asOfDate,periodType,currencyCode,NetIncome
SCF.MI,2022-09-30,TTM,EUR,41061879.0
SCF.MI,2023-03-31,3M,EUR,14266414.0
SCF.MI,2023-06-30,3M,EUR,16764175.0
SCF.MI,2023-09-30,3M,EUR,20020770.0
SCF.MI,2023-12-31,3M,EUR,10851803.0
SCF.MI,2024-03-31,3M,EUR,16182796.0
SCF.MI,2024-03-31,TTM,EUR,63819544.0
