asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,Amortization,AmortizationCashFlow,AvailableForSaleSecurities,BasicAverageShares,BasicEPS,BeginningCashPosition,BuildingsAndImprovements,CapitalExpenditure,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashDividendsPaid,CashEquivalents,CashFinancial,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockEquity,CommonStockIssuance,ConstructionInProgress,CostOfRevenue,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,DeferredTax,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,EndCashPosition,EnterpriseValue,FinancingCashFlow,FinishedGoods,FreeCashFlow,GainLossOnSaleOfPPE,GeneralAndAdministrativeExpense,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InterestPaidCFO,InventoriesAdjustmentsAllowances,Inventory,InvestedCapital,InvestingCashFlow,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinAssociatesatCost,IssuanceOfCapitalStock,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtPayments,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,MinorityInterest,MinorityInterests,NetCommonStockIssuance,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPE,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCashAdjustmentOutsideChangeinCash,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCashItems,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherSpecialCharges,OtherunderPreferredStockDividend,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,PretaxIncome,Properties,ProvisionandWriteOffofAssets,RawMaterials,ReconciledCostOfRevenue,ReconciledDepreciation,RepaymentOfDebt,ResearchAndDevelopment,RetainedEarnings,SellingAndMarketingExpense,SellingGeneralAndAdministration,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,WorkInProcess,WorkingCapital,WriteOff
2020-12-31,12M,EUR,7667696.0,6240014.0,-8235762.0,1632150.0,-59449.0,807827.0,807827.0,44426.0,23757450.0,0.057047,978245.0,5314266.0,-1148418.0,4187547.0,1925745.0,4254877.0,4254877.0,-21250.0,4222311.0,32566.0,-715486.0,3276632.0,301038.0,-583713.0,-1387984.0,13560.0,-1657099.0,3276632.0,1925745.0,8187408.0,500000.0,,13597933.0,23506983.0,782078.0,9381791.0,10163869.0,19404668.0,709030.0,1497066.0,2304893.0,2304893.0,1497066.0,23757450.0,0.057047,1355286.0,2751483.0,5056376.0,4254877.0,,2058559.0,6708454.0,1218072.0,0.0,2417726.0,5662557.0,11656551.0,6299463.0,15145586.0,20135374.0,605367.0,605367.0,236426.0,236426.0,-534970.0,-59964.0,11277119.0,29473927.0,-1148417.0,44426.0,1033.0,43393.0,500000.0,,3405469.0,11904728.0,15310197.0,,44426.0,200000.0,7076927.0,,298430.0,-81801.0,500000.0,17031642.0,1355286.0,1355286.0,1437086.0,1355286.0,1355286.0,1437087.0,1437087.0,-540289.0,-571055.0,0.0,5904014.0,5800927.0,-571055.0,-3637517.0,1.0,6909824.0,-608129.0,103087.0,-3469143.0,245716.0,,753987.0,5077378.0,1370092.41,2366490.0,17094911.0,3040463.0,33733308.0,23757450.0,1.0,-1.0,,,5993994.0,710492.0,89237.0,-1.0,1484745.0,507794.0,1357443.0,2754393.0,119739.0,-191000.0,0.0,9134300.0,701513.0,928427.0,2146116.0,0.0,212002.0,3175837.0,13597933.0,2304893.0,,255000.0,4401199.0,4967654.0,7385380.0,23757450.0,-21002.0,8187408.0,-3469143.0,-6195.59,709030.0,0.295,686808.0,-654991.0,44154689.0,20092136.0,25474066.0,8485838.0,30692844.0,35668851.0,20647706.0,16264183.0,2845784.0,202114.0,33733308.0,109161.0,-21002.0,-21002.0,,,1452792.0,4102315.0,212002.0
2021-12-31,12M,EUR,10673433.0,7675933.0,-8325378.0,20014823.0,-119797.0,892402.0,892402.0,128475.0,23757450.0,0.175426,4254878.0,3402516.0,-2252480.0,2504116.0,2375745.0,17752959.0,17752959.0,-1285978.0,17705042.0,47917.0,,13498081.0,-3438223.0,-296474.0,3005737.0,-1496266.0,-2225226.0,13498081.0,2375745.0,29917169.0,18832673.0,0.0,19470848.0,42721463.0,506451.0,7894318.0,8400769.0,20883109.0,1067392.0,1359065.0,2251467.0,2251467.0,1359065.0,23757450.0,0.175426,4167669.0,5814713.0,8066180.0,17752959.0,162794282.0,14321482.0,7900981.0,2202595.0,-10243.0,3566751.0,5662557.0,12389701.0,7795730.0,17047052.0,27203485.0,579652.0,579652.0,29585.0,29585.0,-436545.0,-59964.0,14715341.0,48686014.0,-5278476.0,128475.0,0.0,128475.0,18832673.0,4384715.0,1997665.0,10874527.0,12872192.0,,128475.0,320000.0,7081767.0,142307125.0,0.0,0.0,18832673.0,1015886.0,4167669.0,4167669.0,4167669.0,4167669.0,4167669.0,4167669.0,4167669.0,-1379432.0,-828790.0,-3025996.0,-2517673.0,-957773.0,-828790.0,-359069.0,,8721674.0,-873048.0,-1559900.0,17527468.0,657757.0,,839508.0,8204291.0,4281196.242,4455075.0,21362969.0,5840516.0,46674333.0,23757450.0,1.0,,2.0,-1.0,6727144.0,290958.0,18666.0,1.0,1444804.0,523025.0,1535633.0,2178054.0,437000.0,-112000.0,0.0,12404314.0,799781.0,1327030.0,5235061.0,0.0,285090.0,4864554.0,19470848.0,2251467.0,,119000.0,6930449.0,6399095.0,9965846.0,23757450.0,-138111.0,29917169.0,17527468.0,-24583.758,1067392.0,0.178,813200.0,-780311.0,64909689.0,40791696.0,21272961.0,29917169.0,40833817.0,34992520.0,22188225.0,14109411.0,5511101.0,278723.0,46674333.0,195248.0,-138111.0,-138111.0,77710.0,,2009770.0,21838354.0,138111.0
2022-12-31,12M,EUR,12426159.0,10315187.0,-7953158.0,20249087.0,-186265.0,1138164.0,1138164.0,,23757450.0,0.317756,17752959.0,4556618.0,-4510501.0,3275620.0,2375745.0,9838378.0,9838378.0,-1685552.0,9806914.0,31464.0,,-7914582.0,-6902888.0,-88731.0,1752726.0,-2716210.0,-7955103.0,-7914582.0,2375745.0,36486629.0,0.0,491097.0,22090948.0,44733012.0,652577.0,5744100.0,6396677.0,21483493.0,1164425.0,1562698.0,2700862.0,2700861.0,1562697.0,23757450.0,0.317756,7549063.0,9202695.0,11903557.0,9838378.0,133477796.0,-6743729.0,12189885.0,-1353815.0,992.0,3823282.0,6235037.0,13656980.0,10501452.0,19129316.0,36781921.0,489207.0,489207.0,38466.0,38466.0,-394910.0,-86720.0,21590905.0,50805102.0,-4327539.0,0.0,,,0.0,4735004.0,2623043.0,8574373.0,11197416.0,-2246464.0,0.0,356907.0,6593024.0,130665975.0,0.0,0.0,0.0,4480095.0,7549063.0,7549063.0,7549063.0,7549063.0,7549063.0,7549063.0,7549063.0,-2134065.0,-629194.0,182963.0,-4450372.0,-2246464.0,-629194.0,105424.0,-1.0,11176158.0,-2376436.0,-2203908.0,22829649.0,582313.0,0.0,962857.0,12006337.0,7640331.64,3156686.0,27636516.0,9145405.0,58872869.0,23757450.0,1.0,1677509.0,1.0,1.0,7421943.0,100029.0,1.0,,,402396.0,1811643.0,2753573.0,188315.0,-38488.0,0.0,14836579.0,997141.0,1510339.0,8713488.0,0.0,371298.0,8205751.0,22090948.0,2700862.0,-2246464.0,164000.0,12740273.0,9267540.0,13090822.0,23757450.0,-102780.0,36486629.0,22829649.0,-11511.36,1164425.0,0.112,1289888.0,-341985.0,70487302.0,45061002.0,17594093.0,36486629.0,49727464.0,34000673.0,25754291.0,12517180.0,8813517.0,178453.0,58872869.0,598777.0,-102780.0,-102780.0,,,1281989.0,23249519.0,141268.0
2023-12-31,12M,EUR,12337811.0,11215073.0,-8514879.0,29777959.0,-204297.0,1294929.0,1294929.0,513021.0,25699198.0,0.186514,9838378.0,4878062.0,-6168335.0,3855705.0,2569920.0,6106995.0,6106995.0,-2312928.0,6073708.0,33287.0,,-3731382.0,-3510969.0,-2909003.0,-88348.0,-1099886.0,-7608206.0,-3731382.0,2569920.0,48484965.0,9723046.0,1561007.0,23995364.0,47331218.0,777664.0,3763980.0,4541644.0,18956333.0,976438.0,1713790.0,3008719.0,3008718.0,1713789.0,25699198.0,0.186514,4793271.0,6168174.0,9176893.0,6106995.0,137857445.0,1966325.0,14663466.0,-5184686.0,-5449.0,4243782.0,6235037.0,14378398.0,11419370.0,23483157.0,38660708.0,398465.0,398465.0,195896.0,195896.0,-151916.0,-97326.0,25101154.0,58324942.0,-6681356.0,513021.0,,,9723046.0,5448823.0,3078041.0,6075997.0,9154038.0,-3254259.0,,356907.0,8642971.0,135177781.0,0.0,0.0,9723046.0,3732982.0,4793271.0,4793271.0,4793271.0,4793271.0,4793271.0,4793271.0,4793271.0,-2128498.0,-392415.0,-513021.0,-4478496.0,-3254259.0,-392415.0,-246960.0,,14968278.0,-4039837.0,-1224237.0,34106567.0,610144.0,23410.0,1122129.0,9488435.0,5061508.662,983649.0,31874135.0,6786573.0,62656072.0,25699198.0,-1.0,1.0,,1.0,8143361.0,508690.0,,,,637871.0,1901815.0,2952294.0,146117.0,-21000.0,0.0,14243872.0,,3246488.0,5769709.0,0.0,489732.0,9100699.0,23995364.0,3008719.0,-3254259.0,179000.0,15180780.0,10048283.0,14292065.0,25699198.0,-311542.0,48484965.0,34106567.0,-43304.338,976438.0,0.139,1515390.0,-875236.0,78097782.0,54560962.0,13695682.0,48484965.0,55869499.0,29612817.0,30766564.0,10656484.0,6278399.0,189846.0,62656072.0,4246.0,-311542.0,-311542.0,,0.0,1434315.0,28374885.0,332542.0
