symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GeneralAndAdministrativeExpense,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherSpecialCharges,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,ResearchAndDevelopment,SellingAndMarketingExpense,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
RFG.MI,2022-06-30,TTM,EUR,914451.0,,,21846155.0,2358202.0,1443751.0,,,7503336.0,9399109.0,11757311.0,4165186.0,33471271.0,523071.0,523071.0,-16812.0,-16812.0,0.0,7503336.0,7503336.0,7503336.0,7503336.0,7503336.0,7503336.0,-814410.0,-814410.0,11882777.0,7609398.361898,24459509.0,9011762.0,55317427.0,1494744.0,428294.0,,0.0,8876038.0,21846155.0,2358201.0,,7369552.0,11534738.0,-125466.0,-19403.638102,1372702.0,0.154653,46305664.0,8704029.0,274527.0,55317427.0,-125466.0,-125466.0,188466.0
RFG.MI,2023-06-30,TTM,EUR,,25699198.0,0.215544,,,,25699198.0,0.215544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFG.MI,2023-12-31,TTM,EUR,1294929.0,25699198.0,0.186514,23995364.0,3008718.0,1713789.0,25699198.0,0.186514,4793271.0,6168174.0,9176893.0,4243782.0,38660708.0,398465.0,398465.0,195896.0,195896.0,0.0,4793271.0,4793271.0,4793271.0,4793271.0,4793271.0,4793271.0,-392415.0,-392415.0,9488435.0,5061508.662,31874135.0,6786573.0,62656072.0,,637871.0,-21000.0,0.0,5769709.0,23995364.0,3008719.0,179000.0,10048283.0,14292065.0,-311542.0,-43304.338,976438.0,0.139,55869499.0,6278399.0,189846.0,62656072.0,-311542.0,-311542.0,332542.0
