asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesAssets,CurrentLiabilities,DerivativeProductLiabilities,FinancialAssets,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,Inventory,InvestedCapital,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinAssociatesatCost,InvestmentsinSubsidiariesatCost,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,OrdinarySharesNumber,OtherIntangibleAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,TreasuryStock,WorkingCapital
2022-12-31,3M,EUR,6983000.0,5040000.0,-8634000.0,11459000.0,-25000.0,2768000.0,810000.0,1802000.0,2421000.0,1798000.0,4000.0,810000.0,13700000.0,1762000.0,12530000.0,954000.0,3023000.0,3977000.0,568000.0,11985000.0,0.0,350000.0,669000.0,3802000.0,5065000.0,33787000.0,0.0,24998000.0,172000.0,2216000.0,641000.0,1814000.0,8275000.0,10089000.0,3029000.0,31214000.0,0.0,9496000.0,25153000.0,9898000.0,7804000.0,109000.0,301000.0,7597107.0,3133000.0,,717000.0,609000.0,177000.0,619000.0,7839000.0,169000.0,529000.0,202000.0,661000.0,7597107.0,13700000.0,9898000.0,3795000.0,44919000.0,21975000.0,14066000.0,13700000.0,31219000.0,32391000.0,19234000.0,139000.0,931000.0,0.0,545000.0
2023-06-30,3M,EUR,6504000.0,5628000.0,,11459000.0,-25000.0,,810000.0,4261000.0,4449000.0,4258000.0,3000.0,810000.0,14043000.0,1899000.0,14061000.0,,4425000.0,4425000.0,539000.0,20717000.0,8000.0,309000.0,1208000.0,4664000.0,5653000.0,26327000.0,,27853000.0,172000.0,1827000.0,0.0,,9385000.0,9385000.0,1999000.0,23888000.0,,9549000.0,26327000.0,9379000.0,,129000.0,369000.0,7597107.0,3456000.0,-1000.0,1500000.0,338000.0,318000.0,188000.0,8328000.0,249000.0,15000.0,202000.0,1042000.0,7597107.0,14043000.0,9379000.0,3112000.0,47992000.0,23428000.0,13810000.0,14043000.0,33949000.0,33931000.0,13232000.0,324000.0,3342000.0,0.0,-6656000.0
2023-12-31,3M,EUR,8223000.0,9100000.0,,11459000.0,-60000.0,3300000.0,810000.0,3222000.0,3458000.0,3220000.0,2000.0,810000.0,14411000.0,,19623000.0,1171000.0,6332000.0,7503000.0,601000.0,20012000.0,17000.0,212000.0,1192000.0,6370000.0,9160000.0,,107000.0,30126000.0,172000.0,1656000.0,0.0,2129000.0,9383000.0,11512000.0,1828000.0,,0.0,12493000.0,30217000.0,8041000.0,9364000.0,154000.0,464000.0,7597107.0,5178000.0,,1294000.0,,452000.0,236000.0,10613000.0,666000.0,1172000.0,,1376000.0,7597107.0,14411000.0,8041000.0,4733000.0,58306000.0,23794000.0,19015000.0,14411000.0,43895000.0,38684000.0,23883000.0,1096000.0,2372000.0,0.0,-389000.0
