symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,CashDividendsPaid,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockDividendPaid,DeferredTax,Depreciation,DepreciationAndAmortization,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnSaleOfPPE,InterestPaidCFO,InvestingCashFlow,IssuanceOfDebt,LongTermDebtIssuance,LongTermDebtPayments,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherFinancingCharges,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,OperatingCashFlow,OtherCashAdjustmentOutsideChangeinCash,OtherNonCashItems,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfInvestment,PurchaseOfPPE,RepaymentOfDebt,SaleOfIntangibles,SaleOfInvestment,SaleOfPPE,TaxesRefundPaid
DGT.MI,2019-12-31,TTM,EUR,,,-277934.0,,,,,,,,,-277934.0,,,,,,,0.0,,,,,,-1291104.0,,,,,,,,,,,,,,,,0.0,,,,,0.0,
DGT.MI,2023-12-31,TTM,EUR,8045400.0,-374166.0,-342991.0,-2465383.0,152769.0,76695.0,2256168.0,-2027034.0,-2194599.0,-1736001.0,-2465384.0,,1035056.0,2985907.0,2985907.0,5580018.0,2759547.0,1667928.0,,-762627.0,-7267025.0,3500000.0,3500000.0,-3829595.0,-6601324.0,219167.0,1993568.0,1993568.0,803849.0,-1095384.0,3635934.0,-329595.0,-752563.0,-374166.0,3965529.0,2042094.0,2.0,-1147368.0,150000.0,-6601324.0,-1098023.0,-374166.0,-3829595.0,803849.0,2639.0,,-1035056.0
