asOfDate,periodType,currencyCode,AccountsPayable,AdditionalPaidInCapital,AvailableForSaleSecurities,BasicAverageShares,BasicEPS,BuildingsAndImprovements,CapitalStock,CashAndCashEquivalents,CashFinancial,CommonStock,CommonStockEquity,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DerivativeProductLiabilities,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FixedAssetsRevaluationReserve,GainOnSaleOfSecurity,GeneralAndAdministrativeExpense,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,InterestIncome,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsAndAdvances,LandAndImprovements,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,MachineryFurnitureEquipment,MarketCap,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetPPE,NetTangibleAssets,NormalizedIncome,OperatingExpense,OperatingRevenue,OrdinarySharesNumber,OtherEquityInterest,OtherIntangibleAssets,OtherOperatingExpenses,OtherPayable,OtherProperties,Payables,PrepaidAssets,PretaxIncome,Receivables,ReconciledDepreciation,RetainedEarnings,SellingGeneralAndAdministration,ShareIssued,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalRevenue,TotalTaxPayable,TradingSecurities,TreasurySharesNumber,TreasuryStock
2022-12-31,3M,EUR,11715000.0,1934000.0,24626764000.0,609983381.0,0.206747,104217000.0,201340000.0,1792977000.0,4000.0,201340000.0,1910397000.0,7038000.0,7038000.0,995000.0,609983381.0,0.206747,126112000.0,5552000.0,2121000.0,-473000.0,73645000.0,89602000.0,126389000.0,149899000.0,131574000.0,2408323000.0,0.0,26073946000.0,26075664000.0,23932000.0,561277000.0,1718000.0,3042000.0,9466942073.0,126112000.0,126112000.0,126112000.0,126112000.0,126112000.0,126112000.0,131574000.0,149899000.0,1784008000.0,126112000.0,115128000.0,297963000.0,609983381.0,500000000.0,36787000.0,3647000.0,67852000.0,18708000.0,178189000.0,290700000.0,181237000.0,107462000.0,7038000.0,428505000.0,73645000.0,610119860.0,1910397000.0,1784008000.0,0.0,55125000.0,0.30416,1098492000.0,36268885000.0,2408323000.0,561277000.0,1910397000.0,34358488000.0,297963000.0,98622000.0,10562000.0,136479.0,1714000.0
2023-06-30,3M,EUR,13959000.0,1934000.0,22605285000.0,,,103070000.0,201508000.0,1830091000.0,7000.0,201508000.0,1911457000.0,,,-6851000.0,,,,6275000.0,1063000.0,,,89602000.0,125390000.0,146799000.0,,2714511000.0,,23657250000.0,23658931000.0,23932000.0,866504000.0,1681000.0,2808000.0,,,,,,,,,146799000.0,1786067000.0,,,,610540176.0,500000000.0,35788000.0,,63403000.0,16989000.0,195395000.0,226707000.0,,110241000.0,,308880000.0,,610631635.0,1911457000.0,1786067000.0,,,,1347171000.0,33815922000.0,2714511000.0,866504000.0,1911457000.0,31904465000.0,,118033000.0,9675000.0,91459.0,1243000.0
2023-09-30,3M,EUR,,,21626742000.0,610540176.0,0.238019,,1602736000.0,1797852000.0,1797852000.0,1602736000.0,2055997000.0,6884000.0,6884000.0,-16363000.0,610540176.0,0.238019,145320000.0,,-939000.0,692000.0,76613000.0,89602000.0,124443000.0,,180047000.0,2863406000.0,,22676520000.0,22676520000.0,,807409000.0,,,7030370126.0,145320000.0,145320000.0,145320000.0,145320000.0,145320000.0,145320000.0,180047000.0,141156000.0,1931554000.0,145320000.0,154616000.0,360058000.0,610540176.0,,34841000.0,39974000.0,,,137320000.0,,205520000.0,,6884000.0,454200000.0,76613000.0,610540176.0,2055997000.0,1931554000.0,0.0,60200000.0,0.292916,1516705000.0,33086779000.0,2863406000.0,807409000.0,2055997000.0,31030782000.0,360058000.0,137320000.0,21354000.0,,
2023-12-31,3M,EUR,8013000.0,1934000.0,21394364000.0,,,100273000.0,201508000.0,2551043000.0,6000.0,201508000.0,2194676000.0,7235000.0,1240000.0,33496000.0,,,306708000.0,7010000.0,-6730000.0,2309000.0,-125975000.0,89602000.0,124067000.0,149306000.0,567179000.0,3003940000.0,,22122757000.0,22124409000.0,24228000.0,870646000.0,1652000.0,2794000.0,8294188290.0,306708000.0,306708000.0,306708000.0,306708000.0,306708000.0,306708000.0,472566000.0,149306000.0,2070609000.0,306708000.0,165029000.0,619551000.0,610540176.0,500000000.0,34465000.0,138941000.0,71029000.0,22011000.0,237741000.0,254217000.0,449113000.0,114535000.0,7235000.0,609101000.0,-96195000.0,610631635.0,2194676000.0,2070609000.0,0.0,142405000.0,0.317081,1622103000.0,33315700000.0,3003940000.0,870646000.0,2194676000.0,31121024000.0,619551000.0,158699000.0,8788000.0,91459.0,1243000.0
2024-03-31,3M,EUR,,,,610918227.0,0.240776,,,,,,,,,,610918227.0,0.240776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
