symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,GainOnSaleOfSecurity,GeneralAndAdministrativeExpense,ImpairmentOfCapitalAssets,InsuranceAndClaims,InterestExpense,InterestIncome,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NormalizedIncome,OperatingExpense,OperatingRevenue,OtherOperatingExpenses,OtherSpecialCharges,PretaxIncome,ReconciledDepreciation,RentAndLandingFees,RestructuringAndMergernAcquisition,SellingAndMarketingExpense,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
FBK.MI,2022-12-31,3M,EUR,,609983381.0,0.206747,7038000.0,7038000.0,609983381.0,0.206747,126112000.0,-473000.0,73645000.0,,,,131574000.0,126112000.0,126112000.0,126112000.0,126112000.0,126112000.0,126112000.0,131574000.0,126112000.0,115128000.0,297963000.0,3647000.0,,181237000.0,7038000.0,,,,73645000.0,,0.0,55125000.0,0.30416,297963000.0,,,
FBK.MI,2023-09-30,3M,EUR,,610540176.0,0.238019,6884000.0,6884000.0,610540176.0,0.238019,145320000.0,692000.0,76613000.0,,,,180047000.0,145320000.0,145320000.0,145320000.0,145320000.0,145320000.0,145320000.0,180047000.0,145320000.0,154616000.0,360058000.0,39974000.0,,205520000.0,6884000.0,,,,76613000.0,,0.0,60200000.0,0.292916,360058000.0,,,
FBK.MI,2023-09-30,TTM,EUR,,610540176.0,0.453677,,,610540176.0,0.451677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBK.MI,2023-12-31,3M,EUR,,,,7235000.0,1240000.0,,,306708000.0,2309000.0,-125975000.0,,,,567179000.0,306708000.0,306708000.0,306708000.0,306708000.0,306708000.0,306708000.0,472566000.0,306708000.0,165029000.0,619551000.0,138941000.0,,449113000.0,7235000.0,,,,-96195000.0,,0.0,142405000.0,0.317081,619551000.0,,,
FBK.MI,2023-12-31,TTM,EUR,5995000.0,610410519.0,0.998,27062000.0,21067000.0,611794654.0,0.996,609101000.0,1230000.0,73866000.0,77000.0,45600000.0,94613000.0,778401000.0,609101000.0,609101000.0,609101000.0,609101000.0,609101000.0,609101000.0,683788000.0,611241349.95609,525308000.0,1404472000.0,193056000.0,2498000.0,872238000.0,27062000.0,24591000.0,179000.0,29780000.0,103646000.0,-3065000.0,-924650.04391,263137000.0,0.30168,1404472000.0,-3065000.0,-3065000.0,311000.0
FBK.MI,2024-03-31,3M,EUR,,610918227.0,0.240776,,,610918227.0,0.240776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
