asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AvailableForSaleSecurities,BasicAverageShares,BasicEPS,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashFinancial,CommonStock,CommonStockEquity,CostOfRevenue,CurrentAssets,CurrentLiabilities,DefinedPensionBenefit,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,EnterpriseValue,EnterprisesValueEBITDARatio,EnterprisesValueRevenueRatio,GoodwillAndOtherIntangibleAssets,GrossPPE,GrossProfit,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,Inventory,InvestedCapital,InvestmentinFinancialAssets,MarketCap,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentPensionAndOtherPostretirementBenefitPlans,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentLiabilities,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherunderPreferredStockDividend,Payables,PrepaidAssets,PretaxIncome,RawMaterials,ReconciledCostOfRevenue,RetainedEarnings,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxRateForCalcs,TaxesReceivable,TotalAssets,TotalCapitalization,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOperatingIncomeAsReported,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TradeandOtherPayablesNonCurrent,WorkingCapital
2022-12-31,3M,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5959.0,-5959.0,,,43437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-661342.0,,43437.0,,,,,,43437.0,,,,,,,,,,,,,,,,,,,,,,203.0,
2023-03-31,3M,EUR,188645.0,425375.0,-32130.0,4310.0,18282066.0,49745.0,-20.824927,24860278.0,1575562.0,1575562.0,1575562.0,24860278.0,20563190.0,267132.0,2315839.0,284460.0,,49745.0,-20.824927,-1035936.0,-1035070.0,-1035070.0,6444929.0,,,379637.0,72886.0,-269467.0,81790.0,866.0,866.0,60.0,60.0,,20563190.0,18282066.0,9352060.0,-1035936.0,-1035936.0,-1035936.0,-1035936.0,-1035936.0,-1035936.0,-806.0,-806.0,40756.0,20183553.0,140561.0,15000.0,45050.0,-291600.0,-292466.0,320487.0,-589954.0,-2335.0,49745.0,2150690.0,379637.0,1.0,298294.0,104914.0,23259.0,,30606.0,0.0,232058.0,88692.0,-1035936.0,,267132.0,-1035936.0,49745.0,-81790.0,20563190.0,20183553.0,0.0,0.0,195604.0,21033297.0,20563190.0,20563190.0,587619.0,470107.0,18717459.0,185647.0,-1252500.0,-2335.0,20154.0,-743470.0,-743470.0,36.0,2031379.0
2023-06-30,3M,EUR,126424.0,135969.0,,4310.0,18090219.0,,,24860278.0,1205346.0,1205346.0,1205346.0,24860278.0,19653815.0,239058.0,1667657.0,199926.0,,,,-904924.0,-102485.0,-102485.0,7577518.0,-73.937825,-117.435382,301510.0,37092.0,-303583.0,81790.0,,,37.0,37.0,37092.0,19653815.0,18090219.0,9153080.0,-904924.0,-904924.0,-909375.0,-904924.0,-904924.0,-909375.0,-64.0,-64.0,37092.0,19352305.0,171250.0,,49438.0,252067.0,-550372.0,244018.0,-547601.0,-64525.0,49745.0,2150690.0,301510.0,21976.0,-7251.0,,,37092.0,204127.0,0.0,150040.0,62619.0,-909375.0,37092.0,239058.0,-1945311.0,49745.0,-81790.0,19653815.0,19352305.0,0.0,0.0,59596.0,20096480.0,19653815.0,19653815.0,483076.0,442665.0,18428821.0,242739.0,-820371.0,-64525.0,23616.0,-354552.0,-354552.0,75.0,1467731.0
2023-09-30,3M,EUR,66167.0,7992.0,,4310.0,16175312.0,,,24860278.0,1062442.0,1062442.0,1062442.0,24860278.0,17447651.0,216906.0,1414530.0,117692.0,,,,-2210615.0,348731.0,348731.0,8246204.0,23.646318,10.628428,223384.0,33427.0,558957.0,81790.0,,,651.0,651.0,33427.0,17447651.0,16175312.0,9451550.0,-2210615.0,-2210615.0,-2206164.0,-2210615.0,-2210615.0,-2206164.0,1618.0,1618.0,33427.0,17224267.0,173416.0,,52858.0,2890745.0,331399.0,210226.0,348731.0,775863.0,49745.0,2150690.0,223384.0,54926.0,-14406.0,,,33427.0,139276.0,0.0,82851.0,274.0,-2206164.0,33427.0,216906.0,-4151475.0,49745.0,-81790.0,17447651.0,17224267.0,0.0,0.0,204546.0,17846656.0,17447651.0,17447651.0,427132.0,399005.0,16432123.0,281313.0,-2110595.0,775863.0,16684.0,-2542014.0,-2542014.0,113.0,1296838.0
2023-12-31,3M,EUR,55688.0,9030.0,,4310.0,14929643.0,,,24860278.0,742397.0,742397.0,742397.0,24860278.0,15734356.0,36768.0,1021408.0,119373.0,,,,-1767488.0,-5148980.0,-5148980.0,9682478.0,,-2.277029,145258.0,32464.0,-4289010.0,14063.0,,,,,,15734356.0,14929643.0,10744920.0,-1767488.0,-1767488.0,-1779411.0,-1767488.0,-1767488.0,-1779411.0,-1146.0,-1146.0,32464.0,15589098.0,201980.0,,58336.0,-8529676.0,-5148184.0,-121349.0,-4167661.0,-4252242.0,49745.0,2150690.0,145258.0,15127.0,-267415.0,-524034.0,,32464.0,28803.0,0.0,87200.0,46175.0,-1786391.0,,36768.0,-5864770.0,49745.0,-13970.0,15734356.0,15589098.0,0.0,0.0,195003.0,16128774.0,15734356.0,15734356.0,-84581.0,394418.0,15107365.0,275045.0,-1812122.0,-4252242.0,31512.0,3380696.0,3380696.0,-398.0,902035.0
2024-03-31,3M,EUR,20499.0,12586.0,,4310.0,12727359.0,49745.0,-40.057654,24860278.0,792663.0,792663.0,792663.0,24860278.0,13741689.0,138147.0,1205272.0,153891.0,661.0,49745.0,-40.057654,-1992668.0,-1992620.0,-1992620.0,12144855.0,,,125899.0,30413.0,-299655.0,23314.0,47.0,47.0,1631.0,1631.0,,13741689.0,12727359.0,13207297.0,-1992668.0,-1992668.0,-1992668.0,-1992668.0,-1992668.0,-1992668.0,1584.0,1584.0,30413.0,13615790.0,132434.0,,61591.0,-594411.0,-594459.0,291274.0,-590929.0,-161508.0,49745.0,2150690.0,125899.0,-1.0,-5113.0,131947.0,80754.0,30413.0,241446.0,0.0,116269.0,935.0,-1992667.0,,138147.0,-1992667.0,49745.0,-23314.0,13741689.0,13615790.0,0.0,0.0,157642.0,14089604.0,13741689.0,13741689.0,429421.0,347915.0,12884332.0,194024.0,-1965871.0,-161508.0,15016.0,-1398209.0,-1398209.0,,1051381.0
