asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,Amortization,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BasicAverageShares,BasicEPS,BeginningCashPosition,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashDividendsPaid,CashEquivalents,CashFinancial,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockDividendPaid,CommonStockEquity,ConstructionInProgress,CostOfRevenue,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,DeferredTax,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DerivativeProductLiabilities,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,EffectOfExchangeRateChanges,EndCashPosition,EnterpriseValue,EnterprisesValueEBITDARatio,EnterprisesValueRevenueRatio,FinancingCashFlow,FinishedGoods,FreeCashFlow,GainLossOnInvestmentSecurities,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,GrossProfit,HedgingAssetsCurrent,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InterestPaidCFO,InterestReceivedCFO,InventoriesAdjustmentsAllowances,Inventory,InvestedCapital,InvestingCashFlow,InvestmentProperties,InvestmentinFinancialAssets,IssuanceOfDebt,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtIssuance,LongTermDebtPayments,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,MinorityInterest,MinorityInterests,NetCommonStockIssuance,NetDebt,NetForeignCurrencyExchangeGainLoss,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCashAdjustmentOutsideChangeinCash,OtherIntangibleAssets,OtherNonCashItems,OtherNonCurrentLiabilities,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,OtherSpecialCharges,OtherunderPreferredStockDividend,Payables,PensionAndEmployeeBenefitExpense,PrepaidAssets,PretaxIncome,Properties,ProvisionandWriteOffofAssets,RawMaterials,ReconciledCostOfRevenue,ReconciledDepreciation,RepaymentOfDebt,RestrictedCash,RetainedEarnings,ShareIssued,SpecialIncomeCharges,StockBasedCompensation,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOperatingIncomeAsReported,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,TreasuryStock,WorkInProcess,WorkingCapital,WriteOff
2022-12-31,3M,EUR,,,-294568000.0,10002000.0,-840000.0,,,97000.0,,,,3088000.0,,,,0.0,91000.0,20832000.0,,,1371000.0,,,,,,0.0,,9229000.0,,,1032000.0,,,,,,,,,0.0,,,,,,,,,,,,23771000.0,,,27632000.0,,59999000.0,394173000.0,,1711000.0,,,,,,,,-6816000.0,,,,,97000.0,,2056000.0,,,,,,,251610000.0,,,,,,2159000.0,,,,,,,,,,,,,,,,,,98000.0,,,,,,,,-4948000.0,26536000.0,,,,,,66658000.0,,,,,,,1376000.0,,66676000.0,,31068000.0,,,,786000.0,,,,,,,,,,,,,,,,,,,,1863000.0,,,,,,214863.0,3221000.0,16403000.0,,
2023-03-31,3M,EUR,43932000.0,62799000.0,,10002000.0,,5032000.0,526000.0,,11292482.0,-0.070047,20923000.0,,11533000.0,21865000.0,24396000.0,,,,942000.0,-949000.0,,4304000.0,-3640000.0,-285000.0,1992000.0,11533000.0,,159643000.0,,40170000.0,164259000.0,,29344000.0,29344000.0,89813000.0,-346000.0,5032000.0,5032000.0,5032000.0,0.0,,11292482.0,-0.070047,-791000.0,-351000.0,4681000.0,-1050000.0,21865000.0,261943456.0,,,1815000.0,,5603000.0,,,55717000.0,,,17893000.0,,0.0,786000.0,786000.0,90000.0,90000.0,-690000.0,90000.0,,65826000.0,270003000.0,-5426000.0,898000.0,,7610000.0,,81016000.0,81016000.0,7610000.0,-5260000.0,97000.0,453000.0,,184067456.0,0.0,0.0,-445000.0,88495000.0,1769000.0,-791000.0,-791000.0,-791000.0,-791000.0,-791000.0,-791000.0,-791000.0,-696000.0,2350000.0,2350000.0,-696000.0,-90000.0,102855000.0,103926000.0,13223000.0,5215000.0,3810000.0,,6088000.0,187836.411609,5603000.0,18744000.0,-851000.0,58063000.0,11292482.0,,,581000.0,,2348000.0,542000.0,13326000.0,,3546000.0,2531000.0,1407000.0,0.0,60081000.0,149000.0,,-1137000.0,,-186000.0,,40170000.0,5032000.0,-5260000.0,,-791000.0,11533450.0,-1407000.0,-14000.0,159643000.0,103926000.0,-428163.588391,-346000.0,0.30431,7166000.0,-127000.0,339950000.0,240659000.0,110360000.0,159643000.0,58914000.0,180307000.0,175691000.0,90494000.0,1497000.0,58063000.0,2823000.0,-1407000.0,-1407000.0,,240968.0,3666000.0,,74446000.0,0.0
2023-06-30,3M,EUR,45766000.0,52801000.0,-299252000.0,10002000.0,-811000.0,,526000.0,97000.0,11291487.0,-0.055883,21865000.0,4257000.0,11533000.0,27405000.0,30670000.0,,,27405000.0,5540000.0,1494000.0,,2593000.0,7038000.0,13855000.0,4497000.0,11533000.0,,144316000.0,11914000.0,34708000.0,156945000.0,1185000.0,23046000.0,24231000.0,88216000.0,-100000.0,4515000.0,4515000.0,4515000.0,4515000.0,,11291487.0,-0.055883,-631000.0,350000.0,4865000.0,1826000.0,27405000.0,247206434.0,50.813244,4.856803,-8538000.0,20804000.0,7197000.0,,25876000.0,50887000.0,53612000.0,401250000.0,16191000.0,1493000.0,,1081000.0,1081000.0,442000.0,442000.0,-970000.0,515000.0,-4670000.0,59524000.0,245878000.0,-5701000.0,862000.0,97000.0,9580000.0,3072000.0,78516000.0,81588000.0,9580000.0,-15597000.0,,440000.0,253233000.0,161242434.0,0.0,0.0,-17000.0,74157000.0,,-631000.0,-631000.0,-631000.0,-631000.0,-631000.0,-631000.0,-631000.0,-639000.0,-6017000.0,-6017000.0,-639000.0,-2504000.0,101998000.0,93429000.0,10728000.0,4934000.0,3713000.0,167000.0,4147000.0,-1250778.385773,18736000.0,17535000.0,-1344000.0,50899000.0,11291487.0,,25011000.0,4092000.0,,1714000.0,253000.0,13948000.0,68118000.0,1797000.0,3265000.0,-718000.0,0.0,62750000.0,,1140000.0,-731000.0,67985000.0,,29126000.0,34708000.0,4515000.0,-15597000.0,,-1422000.0,11533450.0,718000.0,252000.0,144316000.0,93429000.0,98221.614227,-100000.0,0.136799,8994000.0,-639000.0,323207000.0,222832000.0,105819000.0,144316000.0,52243000.0,178891000.0,166262000.0,90675000.0,358000.0,50899000.0,3036000.0,718000.0,718000.0,,241963.0,3683000.0,14264000.0,68729000.0,0.0
2023-09-30,3M,EUR,40257000.0,63814000.0,,26160000.0,,,0.0,,12444832.0,0.223948,27405000.0,,12687000.0,25576000.0,34256000.0,,0.0,25576000.0,-1829000.0,1175000.0,237000.0,-6913000.0,-3291000.0,-8421000.0,-10562000.0,12687000.0,,164636000.0,,42571000.0,178554000.0,,24466000.0,24466000.0,83382000.0,682000.0,5300000.0,5300000.0,5300000.0,5300000.0,,12444832.0,0.223948,2787000.0,4894000.0,10194000.0,-255000.0,25576000.0,265554929.0,,,-6191000.0,,-2434000.0,,,56812000.0,,,25373000.0,,,1089000.0,1089000.0,678000.0,678000.0,-906000.0,634000.0,,67394000.0,271522000.0,-1937000.0,715000.0,,480000.0,,82420000.0,82420000.0,480000.0,-2638000.0,97000.0,811000.0,,190405929.0,7912000.0,-336000.0,0.0,81310000.0,1353000.0,2787000.0,2787000.0,3123000.0,2787000.0,2787000.0,3123000.0,3123000.0,-411000.0,-2158000.0,-2158000.0,-411000.0,-4033000.0,110158000.0,107824000.0,10933000.0,4973000.0,3828000.0,,11735000.0,4051794.480946,-2434000.0,22098000.0,3275000.0,67944000.0,12444832.0,8988000.0,,-1641000.0,,2157000.0,676000.0,14794000.0,,3631000.0,8680000.0,1541000.0,0.0,58741000.0,,,3805000.0,,,,42571000.0,5300000.0,-2638000.0,,1365000.0,12686795.0,-1541000.0,252000.0,164636000.0,107824000.0,-276205.519054,682000.0,0.179238,9459000.0,-2925000.0,358828000.0,247056000.0,106886000.0,172548000.0,64669000.0,186280000.0,180274000.0,102898000.0,6931000.0,67944000.0,3690000.0,-1541000.0,-1541000.0,10866000.0,241963.0,3683000.0,,95172000.0,
2023-12-31,3M,EUR,42521000.0,55826000.0,-313970000.0,,-835000.0,,0.0,95000.0,,,25576000.0,6739000.0,12687000.0,36353000.0,42607000.0,,0.0,36353000.0,10777000.0,2359000.0,-504000.0,2454000.0,7268000.0,11323000.0,12313000.0,12687000.0,,162095000.0,4498000.0,40049000.0,177011000.0,1660000.0,21657000.0,23317000.0,85046000.0,-3622000.0,5219000.0,5219000.0,5219000.0,5219000.0,11721000.0,,,1738000.0,-1227000.0,3992000.0,-1535000.0,36353000.0,288672283.0,,,-1756000.0,,-1569000.0,,29014000.0,57231000.0,56661000.0,422711000.0,20994000.0,1003000.0,,716000.0,716000.0,275000.0,275000.0,-839000.0,686000.0,,61985000.0,260220000.0,-3878000.0,691000.0,95000.0,7882000.0,5079000.0,76468000.0,81547000.0,7882000.0,-10176000.0,,353000.0,268476000.0,216042283.0,8293000.0,59000.0,0.0,61772000.0,2882000.0,1738000.0,1738000.0,1679000.0,1738000.0,1738000.0,1679000.0,1679000.0,-864000.0,-2294000.0,-2294000.0,-864000.0,538000.0,108741000.0,104864000.0,13315000.0,5136000.0,3805000.0,187000.0,5529000.0,2906120.0,17947000.0,13422000.0,7572000.0,61043000.0,12444832.0,-1000.0,28217000.0,902000.0,-1000.0,-6141000.0,-1050000.0,15799000.0,71238000.0,2002000.0,6254000.0,680000.0,0.0,61344000.0,,1866000.0,-1943000.0,78499000.0,,,40049000.0,5219000.0,-10176000.0,,100759000.0,12686795.0,-714000.0,53000.0,162095000.0,104864000.0,-368880.0,-3622000.0,0.24,11722000.0,-72000.0,358178000.0,238563000.0,104864000.0,170388000.0,53471000.0,187790000.0,181167000.0,102744000.0,,61043000.0,3024000.0,-1537000.0,-1537000.0,183000.0,241963.0,,,91965000.0,
2024-03-31,3M,EUR,44541000.0,66466000.0,,26160000.0,,5638000.0,0.0,,12444832.0,0.343114,36353000.0,,12687000.0,31166000.0,37767000.0,-453000.0,,,-5187000.0,-1582000.0,,2144000.0,-10807000.0,-10245000.0,-5005000.0,12687000.0,,168444000.0,,42912000.0,183323000.0,,24003000.0,24003000.0,87777000.0,1180000.0,5638000.0,5638000.0,5638000.0,0.0,,12444832.0,0.343114,4270000.0,6719000.0,12357000.0,-182000.0,31166000.0,283767596.0,,,-2144000.0,,-150000.0,-43000.0,,59616000.0,,,25949000.0,,0.0,1071000.0,1071000.0,651000.0,651000.0,-999000.0,375000.0,,63429000.0,271359000.0,-2711000.0,668000.0,,495000.0,,78912000.0,78912000.0,495000.0,-2461000.0,95000.0,334000.0,,222513596.0,8222000.0,-198000.0,0.0,71749000.0,685000.0,4270000.0,4270000.0,4468000.0,4270000.0,4270000.0,4468000.0,4468000.0,-420000.0,-1966000.0,-1966000.0,-420000.0,275000.0,107316000.0,108828000.0,12060000.0,5098000.0,3767000.0,,11973000.0,3966226.628895,-150000.0,23157000.0,2792000.0,68861000.0,12444832.0,,,-360000.0,,2138000.0,417000.0,15351000.0,,4387000.0,6601000.0,-384000.0,0.0,63507000.0,-38000.0,,5648000.0,,-19000.0,,42912000.0,5638000.0,-2461000.0,,4270000.0,12444832.0,384000.0,235000.0,168444000.0,108828000.0,80226.628895,1180000.0,0.208924,11274000.0,-303000.0,364493000.0,247356000.0,102915000.0,176666000.0,66069000.0,187827000.0,181170000.0,100050000.0,4973000.0,68861000.0,3615000.0,384000.0,384000.0,218000.0,,3683000.0,,95546000.0,
