symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CashDividendsPaid,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockIssuance,Depreciation,DepreciationAndAmortization,EffectOfExchangeRateChanges,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,GainLossOnSaleOfPPE,InterestPaidCFO,InvestingCashFlow,IssuanceOfCapitalStock,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,OperatingCashFlow,OtherCashAdjustmentInsideChangeinCash,OtherCashAdjustmentOutsideChangeinCash,OtherNonCashItems,PensionAndEmployeeBenefitExpense,ProvisionandWriteOffofAssets,TaxesRefundPaid
TFIN.MI,2019-12-31,TTM,EUR,,-48000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4419000.0,,,,
TFIN.MI,2023-12-31,TTM,EUR,94965000.0,-3170000.0,-7365000.0,914000.0,15888000.0,-27501000.0,18178000.0,7479000.0,-7365000.0,18554000.0,32657000.0,32657000.0,-6762000.0,80838000.0,-4926000.0,44996000.0,564000.0,-149000.0,-12922000.0,-47435000.0,18554000.0,18554000.0,19107000.0,36388000.0,-47435000.0,-20310000.0,-20310000.0,44996000.0,0.0,,1374000.0,0.0,-5701000.0,-14694000.0
