symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GeneralAndAdministrativeExpense,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeExtraordinary,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherSpecialCharges,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,SellingAndMarketingExpense,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
TFIN.MI,2019-12-31,TTM,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2291000.0,,,,,,,,,,,,,,,,,,,,,
TFIN.MI,2023-06-30,TTM,EUR,223377799.0,0.074654,,,,238047495.0,0.064654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TFIN.MI,2023-12-31,TTM,EUR,307311336.0,0.06,244562000.0,31590000.0,31590000.0,322947621.0,0.06,19107000.0,50171000.0,82828000.0,29769000.0,337171000.0,13783000.0,13783000.0,1044000.0,1044000.0,-6826000.0,19107000.0,19107000.0,25933000.0,0.0,0.0,19107000.0,19107000.0,25933000.0,-1581000.0,-1581000.0,84131000.0,20325435.3,293885000.0,43286000.0,581733000.0,149000.0,79064000.0,-328000.0,0.0,36388000.0,244562000.0,32657000.0,33740000.0,33740000.0,662000.0,30431000.0,-739000.0,-84564.7,10455000.0,0.0649,538447000.0,41569000.0,-11158000.0,581733000.0,-1303000.0,-1303000.0,1067000.0
