asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,InventoriesAdjustmentsAllowances,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinAssociatesatCost,InvestmentsinJointVenturesatCost,InvestmentsinSubsidiariesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,OrdinarySharesNumber,OtherCurrentLiabilities,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TreasurySharesNumber,WorkInProcess,WorkingCapital
2022-12-31,3M,EUR,40068000.0,44560000.0,-34254000.0,23887000.0,-723000.0,0.0,31420000.0,3629000.0,5842000.0,17322000.0,17322000.0,17310000.0,12000.0,5842000.0,120910000.0,2086000.0,146867000.0,642000.0,21003000.0,21645000.0,71908000.0,31913000.0,8127000.0,19390000.0,45283000.0,77451000.0,0.0,-2275000.0,69105000.0,163058000.0,13000.0,66000.0,6851000.0,7174000.0,,4079000.0,2987000.0,21145000.0,24132000.0,14091000.0,2951000.0,26121000.0,330000.0,24826000.0,43197000.0,101520000.0,1381000.0,3602000.0,1438000.0,5644700.0,9522000.0,11263000.0,314000.0,126000.0,7500000.0,13745000.0,8073000.0,,49489000.0,1645000.0,0.0,36439000.0,,12048000.0,5842000.0,120910000.0,101520000.0,7807000.0,225397000.0,142055000.0,45777000.0,121240000.0,104157000.0,78530000.0,32249000.0,1921000.0,197300.0,3028000.0,74959000.0
2023-06-30,3M,EUR,45660000.0,54423000.0,-36485000.0,23812000.0,-878000.0,,31495000.0,3310000.0,5842000.0,36250000.0,36250000.0,36229000.0,21000.0,5842000.0,126093000.0,2676000.0,169484000.0,635000.0,27052000.0,27687000.0,85018000.0,32007000.0,8127000.0,19064000.0,55301000.0,79176000.0,,-2439000.0,68891000.0,179575000.0,13000.0,66000.0,7856000.0,7766000.0,7766000.0,4074000.0,2675000.0,26430000.0,29105000.0,15688000.0,3011000.0,26758000.0,389000.0,17232000.0,42691000.0,107029000.0,1299000.0,3447000.0,1442000.0,5641646.0,952000.0,10937000.0,242000.0,123000.0,8744000.0,14173000.0,3274000.0,,56493000.0,1283000.0,0.0,36110000.0,,9071000.0,5842000.0,126093000.0,107029000.0,6646000.0,248628000.0,152523000.0,56792000.0,126482000.0,122146000.0,79144000.0,37128000.0,2089000.0,200354.0,3213000.0,84466000.0
2023-12-31,3M,EUR,33018000.0,39173000.0,-38573000.0,23334000.0,-788000.0,,33026000.0,3066000.0,5842000.0,18379000.0,18503000.0,18362000.0,17000.0,5842000.0,126631000.0,5620000.0,141605000.0,625000.0,25549000.0,26174000.0,70143000.0,26939000.0,7146000.0,17741000.0,39961000.0,85639000.0,,-2589000.0,61250000.0,165190000.0,13000.0,66000.0,4823000.0,8682000.0,,4305000.0,2441000.0,13010000.0,15451000.0,13571000.0,4191000.0,28070000.0,471000.0,20180000.0,47066000.0,108890000.0,1603000.0,3371000.0,1506000.0,5621289.0,,10595000.0,190000.0,107000.0,7778000.0,14618000.0,655000.0,124000.0,42711000.0,,0.0,33920000.0,16000000.0,10435000.0,5842000.0,126631000.0,108890000.0,6024000.0,221871000.0,139641000.0,41625000.0,127102000.0,94769000.0,80266000.0,24626000.0,1915000.0,220711.0,2980000.0,71462000.0
