symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,CapitalExpenditureReported,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,Depreciation,DepreciationAndAmortization,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,GainLossOnSaleOfBusiness,GainLossOnSaleOfPPE,InterestPaidCFF,InvestingCashFlow,IssuanceOfDebt,LongTermDebtIssuance,LongTermDebtPayments,NetBusinessPurchaseAndSale,NetForeignCurrencyExchangeGainLoss,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,OperatingCashFlow,OtherCashAdjustmentOutsideChangeinCash,OtherNonCashItems,PensionAndEmployeeBenefitExpense,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,RepaymentOfDebt,SaleOfBusiness,SaleOfIntangibles,SaleOfInvestment,SaleOfPPE,TaxesRefundPaid
S24.MI,2019-09-30,TTM,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5500000.0,,,,,,,,,,,,,,,,,,,5500000.0,,0.0
S24.MI,2019-12-31,12M,EUR,,,-8614000.0,,,,,,,,,,,,,,-3831000.0,,,,,,-609000.0,,,,,-8614000.0,5000000.0,,-609000.0,,,,,,1000.0,,,,,-8614000.0,0.0,,-609000.0,5000000.0,,5000000.0,,0.0
S24.MI,2020-12-31,12M,EUR,15121000.0,-14868000.0,,25125000.0,1004000.0,-8038000.0,701000.0,-3739000.0,-10072000.0,25124000.0,17169000.0,17169000.0,40246000.0,25468000.0,-1172000.0,-54000.0,-62000.0,696000.0,-2156000.0,-14040000.0,36805000.0,36805000.0,-643000.0,115000.0,,-989000.0,324000.0,-14868000.0,-591000.0,37001000.0,36162000.0,-49000.0,713000.0,,839000.0,13696000.0,1000.0,2047000.0,198000.0,714000.0,,-14868000.0,-591000.0,,-643000.0,115000.0,,,,
S24.MI,2021-12-31,12M,EUR,40246000.0,-10883000.0,,-4502000.0,234000.0,-5611000.0,-10445000.0,-6948000.0,-22770000.0,-4504000.0,17664000.0,17664000.0,35744000.0,-7696000.0,-7898000.0,-123000.0,0.0,8967000.0,-2333000.0,207000.0,42513000.0,42513000.0,-41263000.0,0.0,17000.0,-21029000.0,-18985000.0,-10883000.0,,484000.0,1250000.0,-3522000.0,16519000.0,,-766000.0,2985000.0,2000.0,17579000.0,135000.0,500000.0,0.0,-10883000.0,,,-41263000.0,0.0,0.0,,,0.0
S24.MI,2022-12-31,12M,EUR,35744000.0,-7488000.0,,18322000.0,-1277000.0,-7708000.0,10027000.0,3247000.0,4289000.0,18323000.0,16345000.0,16345000.0,54066000.0,-11320000.0,27882000.0,-41000.0,,-85000.0,-4010000.0,-5727000.0,0.0,0.0,0.0,-300000.0,21000.0,534000.0,7441000.0,-7402000.0,,-3870000.0,0.0,-3440000.0,-196000.0,-7402000.0,-3870000.0,35370000.0,-1000.0,3503000.0,187000.0,-9000.0,-300000.0,-7488000.0,,-7488000.0,0.0,,86000.0,,86000.0,-493000.0
S24.MI,2023-12-31,12M,EUR,54066000.0,-8562000.0,,14664000.0,-472000.0,-5139000.0,8956000.0,-2927000.0,418000.0,14664000.0,15052000.0,15052000.0,68730000.0,-18514000.0,23468000.0,128000.0,,-1652000.0,-4596000.0,1148000.0,,,,0.0,-14000.0,7696000.0,10688000.0,,,-8155000.0,,-5763000.0,428000.0,-1451000.0,-8155000.0,32030000.0,,3130000.0,531000.0,1836000.0,0.0,,,-8562000.0,,,,,7111000.0,-1186000.0
S24.MI,2024-03-31,TTM,EUR,64392000.0,-8493000.0,,5066000.0,353000.0,-750000.0,3551000.0,-4097000.0,-943000.0,5067000.0,13122000.0,15018000.0,69459000.0,-24730000.0,20370000.0,,,,-4503000.0,934000.0,,,,,-9000.0,6862000.0,9634000.0,,,-15695000.0,,-3976000.0,175000.0,-1412000.0,-15695000.0,28863000.0,,2606000.0,450000.0,1688000.0,,,,-8493000.0,,,,,7081000.0,
