asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,Amortization,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BasicAverageShares,BasicEPS,BeginningCashPosition,BuildingsAndImprovements,CapitalExpenditure,CapitalExpenditureReported,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockEquity,ConstructionInProgress,CostOfRevenue,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,EndCashPosition,EnterpriseValue,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinancingCashFlow,FinishedGoods,FreeCashFlow,GainLossOnInvestmentSecurities,GainLossOnSaleOfBusiness,GainLossOnSaleOfPPE,GeneralAndAdministrativeExpense,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,GrossProfit,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InterestPaidCFF,Inventory,InvestedCapital,InvestingCashFlow,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,IssuanceOfDebt,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtIssuance,LongTermDebtPayments,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,MinorityInterest,MinorityInterests,NetBusinessPurchaseAndSale,NetDebt,NetForeignCurrencyExchangeGainLoss,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPE,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCashAdjustmentOutsideChangeinCash,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCashItems,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,OtherSpecialCharges,OtherunderPreferredStockDividend,Payables,PensionAndEmployeeBenefitExpense,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,PretaxIncome,Properties,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,RawMaterials,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,RepaymentOfDebt,RestructuringAndMergernAcquisition,RetainedEarnings,SaleOfBusiness,SaleOfIntangibles,SaleOfInvestment,SaleOfPPE,SellingAndMarketingExpense,SellingGeneralAndAdministration,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,WorkInProcess,WorkingCapital,WriteOff
2019-12-31,12M,EUR,,,,570000.0,,,,716000.0,,,,,,-8614000.0,,,,,,,,,,,,,,150000.0,,,,,,,,,,,,,,,,,,716000.0,,,,,-3831000.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,-609000.0,0.0,,,,,,,7373000.0,,,,,0.0,,,,,-8614000.0,,5000000.0,,-609000.0,,,,,,,,,,,,,,,,,,,1000.0,,,1000.0,,,-1000.0,,,,,,,1384000.0,,,,,,,,,,,-8614000.0,0.0,,,,,,,-609000.0,4426000.0,,5000000.0,,5000000.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,6758000.0,,,,
2020-12-31,12M,EUR,47781000.0,58887000.0,-156999000.0,,-3558000.0,6285000.0,0.0,,49450000.0,-0.02,15121000.0,76735000.0,-14868000.0,,40444000.0,570000.0,40889000.0,40889000.0,25125000.0,1004000.0,-8038000.0,701000.0,-3739000.0,-10072000.0,25124000.0,570000.0,35320000.0,,7286000.0,127666000.0,2510000.0,23481000.0,25991000.0,126122000.0,17169000.0,17169000.0,17169000.0,10884000.0,49450000.0,-0.02,-989000.0,3138000.0,20307000.0,40246000.0,71611126.0,704000.0,25468000.0,307000.0,-1172000.0,-54000.0,-62000.0,696000.0,11880000.0,22019000.0,62934000.0,62445000.0,216632000.0,183691000.0,696000.0,2814000.0,2814000.0,762000.0,762000.0,-2156000.0,1893000.0,97796000.0,-14040000.0,704000.0,,36805000.0,2870000.0,37934000.0,38995000.0,76929000.0,36805000.0,-643000.0,,9648000.0,85445000.0,29712126.0,0.0,0.0,115000.0,21587000.0,,-989000.0,-989000.0,-989000.0,,-989000.0,-989000.0,324000.0,-989000.0,-14868000.0,-3021000.0,-591000.0,37001000.0,36162000.0,-3021000.0,-49000.0,713000.0,59633000.0,,839000.0,-27614000.0,22604000.0,5617000.0,15774000.0,721000.0,22998000.0,1056160.0,13696000.0,177864000.0,5827000.0,190977000.0,65015595.0,1000.0,4813000.0,466000.0,1000.0,40915000.0,2047000.0,-1000.0,104000.0,98000.0,28189000.0,7440000.0,51582000.0,16586000.0,,-1024000.0,0.0,58964000.0,198000.0,7821000.0,3881000.0,324000.0,0.0,714000.0,,-14868000.0,-591000.0,,1585000.0,7286000.0,17169000.0,6084000.0,6084000.0,-643000.0,,20119000.0,115000.0,,,,41771000.0,53651000.0,65345797.0,-2691000.0,35320000.0,-27614000.0,-645840.0,1312000.0,0.24,600000.0,,274384000.0,74315000.0,102920000.0,35320000.0,185150000.0,239064000.0,146719000.0,112942000.0,2268000.0,969000.0,190977000.0,3743000.0,-2691000.0,-2691000.0,4870000.0,330202.0,1000.0,1544000.0,3019000.0
2021-12-31,12M,EUR,37798000.0,65835000.0,-163505000.0,,-4319000.0,8432000.0,0.0,,65715625.0,-0.32,40246000.0,76776000.0,-10883000.0,,39914000.0,570000.0,35744000.0,35744000.0,-4502000.0,234000.0,-5611000.0,-10445000.0,-6948000.0,-22770000.0,-4504000.0,570000.0,13851000.0,,6554000.0,117028000.0,3047000.0,19724000.0,22771000.0,112937000.0,17664000.0,17664000.0,17664000.0,9232000.0,65715625.0,-0.32,-21029000.0,-14578000.0,3086000.0,35744000.0,98755922.0,731000.0,-7696000.0,777000.0,-7898000.0,-123000.0,0.0,8967000.0,10909000.0,20724000.0,52592000.0,70153000.0,219435000.0,196992000.0,8966000.0,4407000.0,4407000.0,691000.0,691000.0,-2333000.0,1659000.0,76210000.0,207000.0,731000.0,,42513000.0,2870000.0,36867000.0,42635000.0,79502000.0,42513000.0,-41263000.0,0.0,8819000.0,94004000.0,33027922.0,0.0,0.0,0.0,26615000.0,17000.0,-21029000.0,-21029000.0,-21029000.0,0.0,-21029000.0,-21029000.0,-18985000.0,-21029000.0,-10883000.0,-4645000.0,,484000.0,1250000.0,-4645000.0,-3522000.0,16519000.0,55930000.0,,-766000.0,-38741000.0,20529000.0,5216000.0,15329000.0,99000.0,13823000.0,-12868880.0,2985000.0,200694000.0,-3702000.0,203546000.0,65015595.0,2000.0,5561000.0,513000.0,1000.0,31868000.0,17579000.0,-1000.0,9497000.0,90000.0,32516000.0,7157000.0,45785000.0,6132000.0,,-619000.0,0.0,49200000.0,135000.0,8157000.0,1911000.0,-18985000.0,0.0,500000.0,0.0,-10883000.0,,,880000.0,6554000.0,17664000.0,5780000.0,5780000.0,-41263000.0,,-878000.0,0.0,0.0,,,45075000.0,55984000.0,65345797.0,-10737000.0,13851000.0,-38741000.0,-2576880.0,2044000.0,0.24,161000.0,0.0,248112000.0,56486000.0,102273000.0,13851000.0,207248000.0,234261000.0,131084000.0,121324000.0,-15279000.0,929000.0,203546000.0,4245000.0,-10737000.0,-10737000.0,2961000.0,330202.0,2000.0,4091000.0,2390000.0
2022-12-31,12M,EUR,41301000.0,62588000.0,-167280000.0,,-4997000.0,7758000.0,0.0,,53400000.0,0.01,35744000.0,73034000.0,-7488000.0,,40070000.0,570000.0,54066000.0,54066000.0,18322000.0,-1277000.0,-7708000.0,10027000.0,3247000.0,4289000.0,18323000.0,570000.0,15925000.0,,7488000.0,131734000.0,4844000.0,18166000.0,23010000.0,122422000.0,16345000.0,16345000.0,16345000.0,8587000.0,53400000.0,0.01,534000.0,9976000.0,26321000.0,54066000.0,81819407.0,,-11320000.0,1294000.0,27882000.0,-41000.0,,-85000.0,10692000.0,20424000.0,46826000.0,67584000.0,213041000.0,204069000.0,3912000.0,2535000.0,2535000.0,87000.0,87000.0,-4010000.0,2936000.0,77031000.0,-5727000.0,772000.0,,0.0,2412000.0,35226000.0,42940000.0,78166000.0,0.0,0.0,300000.0,6658000.0,91334000.0,30882407.0,0.0,0.0,-300000.0,7040000.0,21000.0,534000.0,534000.0,534000.0,0.0,534000.0,534000.0,7441000.0,534000.0,-7402000.0,-4897000.0,,-3870000.0,0.0,-4897000.0,-3440000.0,-196000.0,45761000.0,-7402000.0,-3870000.0,-30901000.0,14148000.0,4268000.0,10681000.0,91000.0,36366000.0,8696200.0,35370000.0,181558000.0,22511000.0,211557000.0,65015595.0,-1000.0,6231000.0,562000.0,,26402000.0,3503000.0,1000.0,6674000.0,153000.0,36425000.0,5627000.0,46261000.0,3945000.0,,-248000.0,0.0,51175000.0,187000.0,8986000.0,1074000.0,7441000.0,0.0,-9000.0,-300000.0,-7488000.0,,-7488000.0,1642000.0,7488000.0,16345000.0,7120000.0,7120000.0,0.0,3944000.0,-341000.0,,86000.0,,86000.0,46485000.0,57177000.0,65345797.0,-10345000.0,15925000.0,-30901000.0,-2482800.0,6907000.0,0.24,227000.0,-493000.0,245765000.0,58865000.0,101176000.0,15925000.0,189046000.0,229840000.0,114032000.0,107418000.0,11478000.0,2449000.0,211557000.0,4247000.0,-10045000.0,-10345000.0,971000.0,330202.0,0.0,9312000.0,2437000.0
2023-12-31,12M,EUR,50075000.0,65515000.0,-119823000.0,,-5195000.0,7290000.0,0.0,,65015595.0,0.12,54066000.0,48594000.0,-8562000.0,,40649000.0,570000.0,68730000.0,68730000.0,14664000.0,-472000.0,-5139000.0,8956000.0,-2927000.0,418000.0,14664000.0,570000.0,23598000.0,,8075000.0,150325000.0,6447000.0,10373000.0,16820000.0,122128000.0,15052000.0,15052000.0,15052000.0,7762000.0,65015595.0,0.12,7696000.0,13241000.0,28293000.0,68730000.0,70389635.0,,-18514000.0,2062000.0,23468000.0,128000.0,,-1652000.0,11537000.0,20324000.0,44116000.0,70709000.0,158774000.0,206993000.0,3000000.0,2553000.0,2553000.0,1387000.0,1387000.0,-4596000.0,3408000.0,77234000.0,1148000.0,828000.0,,,0.0,34202000.0,43263000.0,77465000.0,,,116000.0,7608000.0,67971000.0,44340635.0,0.0,0.0,0.0,,-14000.0,7696000.0,7696000.0,7696000.0,0.0,7696000.0,7696000.0,10688000.0,7696000.0,,-4334000.0,,-8155000.0,,-4334000.0,-5763000.0,428000.0,38951000.0,-1451000.0,-8155000.0,-20518000.0,11024000.0,3100000.0,9567000.0,114000.0,34059000.0,12019871.257485,32030000.0,186160000.0,20833000.0,215068000.0,65015595.0,,6682000.0,529000.0,,23792000.0,3130000.0,,7552000.0,166000.0,42133000.0,2444000.0,42209000.0,2649000.0,,-1855000.0,0.0,56008000.0,531000.0,9996000.0,784000.0,10688000.0,0.0,1836000.0,0.0,,,-8562000.0,1346000.0,8075000.0,15052000.0,7676000.0,7676000.0,,4056000.0,6783000.0,,,,7111000.0,47344000.0,58881000.0,65345797.0,-5866000.0,23598000.0,-20518000.0,-1642128.742515,2992000.0,0.27994,1594000.0,-1186000.0,251018000.0,66861000.0,94285000.0,23598000.0,194235000.0,227420000.0,100694000.0,105292000.0,14381000.0,3168000.0,215068000.0,3489000.0,-5766000.0,-5866000.0,,330202.0,0.0,28197000.0,565000.0
