asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BasicAverageShares,BasicEPS,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DerivativeProductLiabilities,DilutedAverageShares,DilutedEPS,FinancialAssets,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,Payables,PrepaidAssets,Properties,RawMaterials,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TreasurySharesNumber,TreasuryStock,WorkInProcess,WorkingCapital
2022-12-31,3M,EUR,139571000.0,48491000.0,-225852000.0,0.0,716000.0,,,7135000.0,14023000.0,12665000.0,67727000.0,67727000.0,67704000.0,23000.0,12665000.0,132531000.0,3640000.0,253325000.0,4192000.0,42812000.0,47004000.0,233901000.0,14344000.0,0.0,,,1981000.0,38212000.0,49936000.0,78520000.0,339548000.0,2661000.0,101448000.0,230117000.0,716000.0,0.0,72122000.0,9831000.0,54774000.0,64605000.0,0.0,17768000.0,112428000.0,5430000.0,29859000.0,113696000.0,54011000.0,22480000.0,7835000.0,7988000.0,62745631.0,3263000.0,13455000.0,28584000.0,,1000000.0,2000.0,144223000.0,3263000.0,147741000.0,2262000.0,0.0,42582000.0,63614000.0,63322800.0,132531000.0,54011000.0,27473000.0,471058000.0,187305000.0,111609000.0,137961000.0,333097000.0,217733000.0,99196000.0,8168000.0,577169.0,1703000.0,20654000.0,19424000.0
2023-06-30,3M,EUR,139168000.0,46907000.0,,,,,,6624000.0,13021000.0,12665000.0,61143000.0,61143000.0,,,12665000.0,140377000.0,2423000.0,251432000.0,3937000.0,44937000.0,48874000.0,227953000.0,9101000.0,,,,1136000.0,43657000.0,49678000.0,78237000.0,114341000.0,3197000.0,109166000.0,238356000.0,,,36254000.0,9084000.0,53042000.0,62126000.0,,14668000.0,39037000.0,4762000.0,36836000.0,114341000.0,62140000.0,19868000.0,7902000.0,7782000.0,62544450.0,7568000.0,23486000.0,28559000.0,1000.0,500000.0,,30003000.0,,144990000.0,4000.0,0.0,44340000.0,65944000.0,63322800.0,140377000.0,62140000.0,23447000.0,466070000.0,193419000.0,111000000.0,145139000.0,320931000.0,214638000.0,92978000.0,5822000.0,778350.0,2289000.0,21169000.0,23479000.0
2023-09-30,3M,EUR,,,,,,61986301.0,0.0292,,,,,,,,,,,,,,,,,,61986301.0,0.0292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,3M,EUR,107025000.0,26731000.0,-231722000.0,0.0,716000.0,53611111.0,0.0036,6097000.0,12184000.0,12665000.0,39403000.0,39403000.0,39369000.0,34000.0,12665000.0,140892000.0,2445000.0,187831000.0,4240000.0,43467000.0,47707000.0,183530000.0,5815000.0,,53611111.0,0.0036,288000.0,36231000.0,49772000.0,76462000.0,347612000.0,1895000.0,90872000.0,221595000.0,716000.0,,72089000.0,7944000.0,37236000.0,45180000.0,,11463000.0,119346000.0,5557000.0,41300000.0,115890000.0,64430000.0,20691000.0,7152000.0,7971000.0,62239361.0,,6711000.0,26690000.0,,500000.0,2000.0,147635000.0,3559000.0,112984000.0,2218000.0,0.0,35525000.0,67969000.0,63322800.0,140892000.0,64430000.0,23153000.0,402245000.0,178128000.0,92887000.0,146449000.0,255796000.0,214414000.0,72266000.0,5957000.0,1083439.0,2952000.0,19116000.0,4301000.0
