asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AdditionalPaidInCapital,AvailableForSaleSecurities,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesAssets,CurrentLiabilities,FinancialAssets,GoodwillAndOtherIntangibleAssets,GrossPPE,Inventory,InvestedCapital,InvestmentinFinancialAssets,LandAndImprovements,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,MachineryFurnitureEquipment,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,OtherIntangibleAssets,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,Properties,RetainedEarnings,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,WorkInProcess,WorkingCapital
2022-12-31,3M,EUR,1815278.0,14277793.0,24285714.0,15638.0,2554286.0,5679232.0,22647269.0,5673160.0,6072.0,2554286.0,37605645.0,25109.0,43388261.0,9896634.0,9896634.0,156104.0,15579972.0,102.0,14829127.0,2897130.0,1029109.0,54476571.0,15638.0,2087156.0,6974292.0,6974292.0,295123.0,11191694.0,2897130.0,22776518.0,132351.0,698672.0,14829127.0,2517767.0,489742.0,1444558.0,16968037.0,5493382.0,0.0,4104568.0,37605645.0,22776518.0,3833428.0,61213989.0,44579937.0,16870926.0,37605645.0,23608344.0,17825728.0,8028372.0,1160337.0,223057.0,1029109.0,27808289.0
2023-06-30,3M,EUR,1567322.0,16406761.0,24285714.0,453738.0,2554286.0,1598364.0,18434984.0,1578226.0,20138.0,2554286.0,39155409.0,44175.0,38715206.0,8808498.0,8808498.0,127512.0,14636052.0,0.0,18229636.0,3213801.0,289963.0,53800902.0,453738.0,2327552.0,5836995.0,5836995.0,348563.0,13047129.0,3213801.0,20925773.0,99263.0,785409.0,18229636.0,3005402.0,493511.0,1073979.0,16836620.0,5649863.0,0.0,1061863.0,39155409.0,20925773.0,2382007.0,60694817.0,44992404.0,14645493.0,39155409.0,21539408.0,21979611.0,6903356.0,1077139.0,181689.0,289963.0,24079154.0
