asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AdditionalPaidInCapital,AvailableForSaleSecurities,BasicAverageShares,BasicEPS,BeginningCashPosition,CapitalExpenditure,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockEquity,CommonStockIssuance,CommonStockPayments,ConstructionInProgress,CostOfRevenue,CurrentAssets,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesAssets,CurrentLiabilities,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,EndCashPosition,EnterpriseValue,FinancialAssets,FinancingCashFlow,FinishedGoods,FreeCashFlow,GainLossOnInvestmentSecurities,GeneralAndAdministrativeExpense,GoodwillAndOtherIntangibleAssets,GrossPPE,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InterestPaidCFO,Inventory,InvestedCapital,InvestingCashFlow,InvestmentinFinancialAssets,IssuanceOfCapitalStock,IssuanceOfDebt,LandAndImprovements,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtIssuance,LongTermDebtPayments,MachineryFurnitureEquipment,MarketCap,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeExtraordinary,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherInvestingChanges,NetPPE,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,NetTangibleAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCashAdjustmentOutsideChangeinCash,OtherIntangibleAssets,OtherNonCashItems,OtherNonCurrentLiabilities,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,OtherunderPreferredStockDividend,Payables,PretaxIncome,Properties,ProvisionandWriteOffofAssets,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,RepaymentOfDebt,RepurchaseOfCapitalStock,RestructuringAndMergernAcquisition,RetainedEarnings,SaleOfBusiness,SaleOfIntangibles,SaleOfInvestment,SellingGeneralAndAdministration,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TradeandOtherPayablesNonCurrent,WorkInProcess,WorkingCapital
2019-12-31,12M,EUR,1971000.0,10862000.0,,2151000.0,18400000.0,0.023641,,,1840000.0,370000.0,371000.0,368000.0,2000.0,,,,,,,,,1840000.0,3000000.0,,,,2747000.0,14377000.0,,,604000.0,6670000.0,,,441000.0,441000.0,18400000.0,0.023641,435000.0,1115000.0,1556000.0,,,,,6000.0,,,3237000.0,3873000.0,389000.0,13337000.0,,,,,,477000.0,13580000.0,,2151000.0,,,,10580000.0,10580000.0,,,239000.0,,,,10210000.0,435000.0,435000.0,435000.0,,435000.0,435000.0,,435000.0,,-603000.0,,,,-603000.0,,389000.0,,,-873000.0,,625000.0,1646000.0,503400.0,,12222000.0,1115000.0,16084000.0,18400000.0,,3873000.0,,1536000.0,530000.0,2845000.0,150000.0,685000.0,1000.0,0.0,6460000.0,422000.0,,,,,,2747000.0,441000.0,815000.0,815000.0,,,,420000.0,,,,3237000.0,18400000.0,-90000.0,3000000.0,-873000.0,-21600.0,-13000.0,0.24,1378000.0,,20875000.0,13580000.0,10580000.0,3000000.0,14969000.0,17875000.0,6498000.0,11205000.0,16084000.0,1644000.0,-90000.0,-90000.0,,471000.0,7707000.0
2020-12-31,12M,EUR,918279.0,8872146.0,0.0,13138.0,18400000.0,0.043242,370154.0,-3885264.0,1840000.0,2119172.0,2119172.0,2118503.0,669.0,36900.0,1749018.0,-37207.0,2368743.0,-1052770.0,1990247.0,3305913.0,1749018.0,1840000.0,4662319.0,0.0,,,11375790.0,14752710.0,4747402.0,4747402.0,1090772.0,10065872.0,359302.0,359302.0,359000.0,359000.0,18400000.0,0.043242,795649.0,863163.0,1222465.0,2119172.0,,,965732.0,4877.0,158669.0,,2080000.0,7329476.0,458052.0,2035476.0,443682.0,443682.0,787.0,787.0,-445818.0,514677.0,16312459.0,-3260647.0,13138.0,0.0,2766267.0,,6902738.0,6902738.0,2766267.0,-103962.0,297545.0,,754307.0,0.0,9530968.0,795649.0,795649.0,394660.0,-400989.0,1196638.0,1196638.0,865299.0,-6329.0,-3725701.0,-442895.0,-129690.0,965732.0,2662305.0,-442895.0,,458052.0,-159563.0,-1696573.0,-2667157.0,0.0,613009.0,1789038.0,1729686.457928,4043933.0,603604.0,1431872.0,13411266.0,18400000.0,,7329476.0,,1458045.0,2001329.0,2507948.0,160507.0,317114.0,,0.0,5113270.0,419481.0,,567854.0,-3725701.0,-130690.0,-159563.0,11375790.0,359302.0,702000.0,702000.0,-103962.0,,567854.0,752275.0,754307.0,,1000.0,2080000.0,18400000.0,-567854.0,4662319.0,-2667157.0,-33524.542072,24821.0,0.059171,1838829.0,-26732.0,22785632.0,11565057.0,11650140.0,4662319.0,11979394.0,18123313.0,8032922.0,8057441.0,13411266.0,1687043.0,-566573.0,-566573.0,541694.0,509800.0,4686838.0
2021-12-31,12M,EUR,1023368.0,9882575.0,24285714.0,13138.0,25542857.0,0.146463,2119000.0,-5685000.0,2554286.0,23644246.0,23644246.0,23638999.0,5247.0,-161000.0,21525000.0,-263000.0,-2067000.0,-105000.0,-1010000.0,-3396000.0,21524000.0,2554286.0,33404291.0,25000000.0,0.0,0.0,10357309.0,37793072.0,5354358.0,5354358.0,457781.0,9941713.0,1010000.0,1010000.0,,,25542857.0,0.146463,3741096.0,5271101.0,6281101.0,23644000.0,117974000.0,,24632000.0,5375.0,-3258000.0,-722.0,,11992895.0,469662.0,6954183.0,438341.0,438341.0,1900.0,1900.0,-438000.0,777530.0,44758262.0,-5535000.0,13138.0,25000000.0,0.0,0.0,5999613.0,5999613.0,0.0,-368000.0,275266.0,107548000.0,0.0,25000000.0,,3741096.0,3741096.0,3508802.0,232294.0,3508802.0,3508802.0,5271000.0,3741096.0,-5560000.0,-436441.0,151000.0,-368000.0,-368000.0,-436441.0,-1000.0,469662.0,-125000.0,0.0,21411396.0,198526.0,656408.0,6868594.0,3935348.448279,2427000.0,1095936.0,5858247.0,17311492.0,25542857.0,1000.0,11992895.0,1000.0,1598983.0,271750.0,2440404.0,194396.0,348860.0,,0.0,4447945.0,4832760.0,0.0,588000.0,-5560000.0,0.0,-125000.0,10357309.0,1010000.0,,,-368000.0,0.0,588215.0,3692471.0,0.0,0.0,151000.0,,25542857.0,-588215.0,33404291.0,21411396.0,-160946.551721,1323958.0,0.273955,2682080.0,-63000.0,50349748.0,39403904.0,11353971.0,33404291.0,11453245.0,16945457.0,12556676.0,7003744.0,17311492.0,984173.0,-587493.0,-587493.0,149197.0,777530.0,27851359.0
2022-12-31,12M,EUR,1815278.0,14277793.0,24285714.0,15638.0,,0.164465,23644000.0,-7388000.0,2554286.0,5679232.0,22647269.0,5673160.0,6072.0,-56000.0,-17965000.0,-252000.0,-2154000.0,-792000.0,-4395000.0,-6064000.0,-17965000.0,2554286.0,37605645.0,0.0,0.0,25109.0,12873769.0,43388261.0,9896634.0,9896634.0,156104.0,15579972.0,2125000.0,2125000.0,,,,0.164465,4200910.0,5619593.0,7744593.0,5679000.0,103521762.0,102.0,5517000.0,,-6508000.0,,,14829127.0,2897130.0,6584911.0,504543.0,504543.0,2813.0,2813.0,-501000.0,1029109.0,54476571.0,-24362000.0,15638.0,0.0,4800000.0,2087156.0,6974292.0,6974292.0,4800000.0,-2530000.0,295123.0,111622285.0,,0.0,11191694.0,4200910.0,4200910.0,3791825.0,409085.0,3791825.0,3791825.0,5616000.0,4200910.0,-4830000.0,-501730.0,-16973000.0,5517000.0,2270000.0,-501730.0,-1000.0,2897130.0,-2558000.0,3247000.0,22776518.0,132351.0,698672.0,8422109.0,4294072.701723,880000.0,290967.0,6293944.0,19458680.0,,,14829127.0,-1000.0,,176795.0,2517767.0,489742.0,1444558.0,16968037.0,0.0,5493382.0,5115050.0,0.0,678000.0,-4830000.0,-16973000.0,-2558000.0,12873769.0,2125000.0,,,-2530000.0,0.0,677516.0,4104568.0,,0.0,0.0,,,-677516.0,37605645.0,22776518.0,-175268.298277,1323225.0,0.258692,3833428.0,-338000.0,61213989.0,44579937.0,16870926.0,37605645.0,13164736.0,23608344.0,17825728.0,8028372.0,19458680.0,1160337.0,-677516.0,-677516.0,223057.0,1029109.0,27808289.0
