asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,Amortization,AmortizationCashFlow,AvailableForSaleSecurities,BasicAverageShares,BasicEPS,BeginningCashPosition,CapitalExpenditure,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashDividendsPaid,CashFinancial,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockDividendPaid,CommonStockEquity,CommonStockIssuance,CommonStockPayments,ConstructionInProgress,CostOfRevenue,CurrentAssets,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesAssets,CurrentLiabilities,DeferredTax,DefinedPensionBenefit,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,DividendReceivedCFO,EBIT,EBITDA,EndCashPosition,EnterpriseValue,FinancingCashFlow,FinishedGoods,FixedAssetsRevaluationReserve,FreeCashFlow,GeneralAndAdministrativeExpense,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,GrossProfit,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InterestPaidCFO,InterestReceivedCFO,Inventory,InvestedCapital,InvestingCashFlow,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinAssociatesatCost,InvestmentsinSubsidiariesatCost,IssuanceOfCapitalStock,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtPayments,LongTermEquityInvestment,MachineryFurnitureEquipment,MarketCap,MinorityInterest,MinorityInterests,NetCommonStockIssuance,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPE,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,NetTangibleAssets,NonCurrentPensionAndOtherPostretirementBenefitPlans,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCashAdjustmentOutsideChangeinCash,OtherCurrentLiabilities,OtherIntangibleAssets,OtherNonCashItems,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherSpecialCharges,OtherunderPreferredStockDividend,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,PretaxIncome,Properties,ProvisionandWriteOffofAssets,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,RawMaterials,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,RepaymentOfDebt,RepurchaseOfCapitalStock,RestructuringAndMergernAcquisition,RetainedEarnings,SaleOfIntangibles,SaleOfInvestment,SaleOfPPE,SellingAndMarketingExpense,SellingGeneralAndAdministration,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOtherFinanceCost,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TreasurySharesNumber,TreasuryStock,WorkingCapital,WriteOff
2019-12-31,12M,EUR,,285000.0,,,-8000.0,,12000.0,575000.0,,,,,500000.0,,,,,,,,,-115000.0,,,,,500000.0,,,,,,,1366000.0,,,,947000.0,,0.0,,,,,,,,,,,,,,,,,269000.0,,,,2548000.0,,,,,,,-14000.0,,716000.0,3489000.0,,575000.0,,,0.0,,1098000.0,1098000.0,,0.0,454000.0,,,,,854000.0,,,,,,,,,,,,,,,-1000.0,2548000.0,,,,98000.0,,,,,,,,-1000.0,,,,-1000.0,-1000.0,,,244000.0,429000.0,33000.0,16000.0,,707000.0,42000.0,,,,,,,,,,,41000.0,41000.0,,,,,,,,100000.0,369000.0,,,,,,,,,,,,1098000.0,2391000.0,,,,1195000.0,,,,,,,,419000.0,
2020-12-31,12M,EUR,315000.0,354000.0,,,-10000.0,12000.0,12000.0,449000.0,9000000.0,0.126667,244000.0,-73000.0,500000.0,897000.0,897000.0,-500000.0,,,653000.0,106000.0,-41000.0,7000.0,-148000.0,-69000.0,-144000.0,653000.0,500000.0,-500000.0,5721000.0,0.0,,0.0,1079000.0,1972000.0,,,,576000.0,351000.0,0.0,279000.0,291000.0,291000.0,279000.0,9000000.0,0.126667,1140000.0,,1491000.0,1782000.0,897000.0,,-473000.0,128000.0,2964000.0,1149000.0,354000.0,5000.0,2486000.0,364000.0,2170000.0,3113000.0,2000.0,,,,,,3000.0,623000.0,6491000.0,-96000.0,449000.0,,,0.0,0.0,770000.0,770000.0,-131000.0,0.0,360000.0,,,,0.0,,1140000.0,1140000.0,1140000.0,1140000.0,1140000.0,1140000.0,1140000.0,-3000.0,3000.0,-24000.0,174000.0,-131000.0,3000.0,-147000.0,1000.0,2170000.0,-70000.0,305000.0,3235000.0,127000.0,1784000.0,1141529.17505,1222000.0,1622000.0,1491000.0,4192000.0,9000000.0,,,2481000.0,-3000.0,,3000.0,,222000.0,109000.0,347000.0,60000.0,,0.0,424000.0,38000.0,19000.0,1491000.0,1463000.0,41000.0,-3000.0,-204000.0,-70000.0,495000.0,1079000.0,291000.0,40000.0,40000.0,-131000.0,,,1140000.0,0.0,180000.0,0.0,70000.0,424000.0,9000000.0,-2000.0,5721000.0,3235000.0,-470.82495,351000.0,0.235412,19000.0,-351000.0,7197000.0,6491000.0,770000.0,5721000.0,2701000.0,1476000.0,5225000.0,900000.0,,4192000.0,,-2000.0,-2000.0,,,1396000.0,
2021-12-31,12M,EUR,413000.0,360000.0,,,-24000.0,161814.0,158000.0,829000.0,9000000.0,0.129553,896645.0,-242841.0,1500000.0,347000.0,347000.0,-2149999.0,,61313.0,-527525.0,-12542.0,656867.0,116000.0,16418.0,-43140.0,678916.0,-527525.0,1500000.0,-2149999.0,4729000.0,0.0,,16000.0,2359263.0,1567000.0,,,,1309000.0,389859.0,0.0,442555.0,442555.0,442555.0,280741.0,9000000.0,0.129553,1165976.0,0.0,1572810.0,2015365.0,369120.0,,-2177645.0,137000.0,1964000.0,2030830.0,476000.0,4000.0,2373000.0,384000.0,2065000.0,2459171.0,15000.0,16975.0,16975.0,4764.0,4764.0,-12211.0,,606000.0,5471000.0,-623551.0,829000.0,,,10000.0,0.0,742000.0,742000.0,-42548.0,10000.0,336000.0,,,,0.0,395000.0,1165976.0,1165976.0,1165976.0,1165976.0,1165976.0,1165976.0,1165976.0,-65779.0,-12211.0,-380710.0,-27646.0,-42548.0,-12211.0,475000.0,,2065000.0,-177062.0,14902.0,2356000.0,156000.0,2087352.0,1219924.596292,2273671.0,839139.0,1620032.0,4818434.0,9000000.0,,,2369000.0,12211.0,1000.0,-1000.0,20000.0,37825.0,676000.0,290000.0,112000.0,10000.0,0.0,1089000.0,44000.0,48000.0,1555835.0,1423000.0,44855.0,-65779.0,-380710.0,-177062.0,469000.0,2359263.0,442555.0,70000.0,70000.0,-42548.0,,44855.0,1158000.0,0.0,0.0,0.0,181000.0,657000.0,9000000.0,-59987.0,4729000.0,2356000.0,-18038.403708,389859.0,0.250579,94000.0,-432586.0,6935000.0,5471000.0,742000.0,4729000.0,3198402.0,2206000.0,5368000.0,897000.0,12211.0,4818434.0,,-71987.0,-71987.0,,,258000.0,15132.0
2022-12-31,12M,EUR,657507.0,404512.0,-1268100.0,2750000.0,,296183.0,,263939.0,9000000.0,0.079564,369121.0,-1177860.0,1750000.0,1470625.0,1470625.0,-558268.0,1470625.0,478142.0,1101504.0,-294565.0,-905456.0,,325857.0,-146744.0,-542766.0,1101504.0,1750000.0,-558268.0,3466072.0,3000000.0,0.0,227025.0,2414649.0,4092392.0,134504.0,134504.0,37746.0,2055918.0,232433.0,,620673.0,620673.0,620673.0,324490.0,9000000.0,0.079564,716072.0,0.0,987153.0,1607826.0,1470625.0,15796378.0,2218955.0,713364.0,1964358.0,-416055.0,,3971.0,2811612.0,404512.0,3455694.0,2209638.0,0.0,38647.0,38647.0,121.0,121.0,-38647.0,,911265.0,8414558.0,-1879256.0,263939.0,200.0,,,3000000.0,446590.0,446590.0,-128569.0,,773544.0,18270000.0,0.0,0.0,3000000.0,,716072.0,716072.0,716073.0,716072.0,716072.0,716072.0,716073.0,-717671.0,-38526.0,-715365.0,-160835.0,-128569.0,-38526.0,-61942.0,,2187594.0,-446220.0,-32266.0,654460.0,198305.0,1685141.0,774440.828447,761805.0,1145291.0,1064347.0,4624287.0,9000000.0,1.0,154977.0,2807641.0,38647.0,3630274.0,2.0,,102231.0,329768.0,1105964.0,240332.0,,0.0,1041587.0,52486.0,30115.0,948506.0,1558066.0,64021.0,-717671.0,-1140365.0,-460189.0,197901.0,2414649.0,620673.0,,,-128569.0,0.0,64021.0,716072.0,0.0,425000.0,13969.0,,,9000000.0,-77315.0,3466072.0,654460.0,-18946.171553,232433.0,0.245052,997797.0,-306587.0,10534279.0,3466072.0,581094.0,7833464.0,3559940.0,10534279.0,6441886.0,644897.0,38526.0,4624287.0,54312.0,-77315.0,-77315.0,,,2036474.0,13294.0
2023-12-31,12M,EUR,592240.0,,,2750000.0,,368250.0,,,8600000.0,0.064397,1470625.0,-1445252.0,,843436.0,843436.0,-165963.0,843435.0,-69799.0,-627189.0,-54975.0,398571.0,,-62651.0,-271211.0,-60065.0,-627190.0,,-165963.0,3706886.0,0.0,-456556.0,240904.0,3533729.0,,,,36146.0,,224830.0,,719240.0,719240.0,719241.0,350991.0,8600000.0,0.064397,553815.0,,844916.0,1564157.0,843436.0,10094142.0,-824467.0,755130.0,1964358.0,-148288.0,,3665.0,3575197.0,589282.0,,2203330.0,0.0,29755.0,29755.0,7269.0,7269.0,-21581.0,,,,-1099687.0,,200.0,154178.0,0.0,0.0,,,-116258.0,,,11289580.0,21088.0,-36515.0,-456556.0,,553815.0,553815.0,590331.0,553815.0,553815.0,590331.0,590331.0,-1131834.0,-22486.0,345566.0,-116087.0,-116258.0,-22486.0,-85861.0,-1.0,,-313418.0,171.0,131689.0,,1645916.0,613024.005619,1296964.0,1284829.0,918501.0,5737059.0,8600000.0,1.0,,3571532.0,21581.0,3277314.0,,,110299.0,,,,,0.0,,,37137.0,815161.0,1572945.0,53660.0,-1131834.0,0.0,-313418.0,204089.0,3533729.0,719240.0,,,-116258.0,-456556.0,53660.0,515758.0,0.0,345566.0,0.0,,,9000000.0,-81759.0,3706886.0,131689.0,-22549.994381,224830.0,0.275811,483021.0,-206449.0,10146186.0,3706886.0,,,4818558.0,10146186.0,6852511.0,,,5737059.0,72693.0,-81759.0,-81759.0,400000.0,441128.0,,28099.0
