asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AllowanceForDoubtfulAccountsReceivable,Amortization,BasicAverageShares,BasicEPS,BeginningCashPosition,BuildingsAndImprovements,CapitalExpenditure,CapitalExpenditureReported,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashDividendsPaid,CashFinancial,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockDividendPaid,CommonStockEquity,ConstructionInProgress,CostOfRevenue,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,EndCashPosition,EnterpriseValue,FinancingCashFlow,FreeCashFlow,GainLossOnSaleOfPPE,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InterestPaidCFF,InterestReceivedCFI,Inventory,InvestedCapital,InvestingCashFlow,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinAssociatesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherInvestingChanges,NetPPE,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherIntangibleAssets,OtherNonCashItems,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherSpecialCharges,OtherunderPreferredStockDividend,Payables,PensionAndEmployeeBenefitExpense,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,PretaxIncome,Properties,ProvisionandWriteOffofAssets,PurchaseOfPPE,RawMaterials,ReconciledCostOfRevenue,ReconciledDepreciation,RetainedEarnings,SaleOfPPE,SellingAndMarketingExpense,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOperatingIncomeAsReported,TotalOtherFinanceCost,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WorkingCapital
2019-12-31,12M,EUR,,,,,,,,,,,-429000.0,,,,,,439000.0,,,,,,,,,,,,,,,393000.0,,,345000.0,,,,,,,,,,,,,,-4000.0,,,,,,,,,,,,,,,,,,80000.0,,,,,,34000.0,,,,0.0,,,,,,,-8000.0,,,,,,,,,,,,,,,,,,870000.0,,4000.0,,,,,,,705000.0,,,,,,,,,,,,,,4000.0,0.0,,-705000.0,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,12M,EUR,4409000.0,14925000.0,-60658000.0,-4008000.0,2000.0,30490881.0,0.0416,439000.0,,-632000.0,,11481000.0,18403000.0,432000.0,432000.0,,,-7000.0,-127000.0,-1233000.0,682000.0,-2352000.0,-3030000.0,-7000.0,18403000.0,0.0,28403000.0,253000.0,2430000.0,21140000.0,770000.0,,770000.0,8264000.0,420000.0,2392000.0,2392000.0,2392000.0,2390000.0,30490881.0,0.0416,1268000.0,2134000.0,4526000.0,432000.0,22856498.0,-1103000.0,749000.0,0.0,2000.0,18933000.0,25892000.0,21499000.0,211000.0,211000.0,77000.0,77000.0,-216000.0,95000.0,574000.0,28553000.0,-285000.0,251000.0,860000.0,,10711000.0,150000.0,10861000.0,1111000.0,151000.0,73952000.0,11708498.0,,1268000.0,1268000.0,1268000.0,,1268000.0,1268000.0,1923000.0,1268000.0,-139000.0,-393000.0,-393000.0,-139000.0,-35000.0,25892000.0,-632000.0,,28401000.0,158000.0,35000.0,1058000.0,4000.0,4508000.0,1256131.045242,1381000.0,19143000.0,2356000.0,23929000.0,30490881.0,,109000.0,2000.0,121000.0,18000.0,10468000.0,676000.0,25639000.0,2879000.0,330000.0,0.0,6609000.0,-379000.0,356000.0,45000.0,1923000.0,12345000.0,130000.0,-632000.0,574000.0,2430000.0,2392000.0,1268000.0,0.0,,30490881.0,0.0,28403000.0,28401000.0,6131.045242,655000.0,0.340614,2285000.0,-106000.0,48772000.0,28553000.0,11631000.0,28403000.0,21573000.0,20369000.0,27632000.0,12105000.0,2374000.0,5000.0,23929000.0,1524000.0,18000.0,18000.0,12876000.0
2021-12-31,12M,EUR,5885000.0,16730000.0,-63078000.0,-4353000.0,2000.0,30490881.0,0.063,432000.0,11782000.0,-497000.0,,10737000.0,18403000.0,690000.0,690000.0,-1494000.0,,258000.0,-141000.0,-2607000.0,1476000.0,-1805000.0,-3077000.0,258000.0,18403000.0,-1494000.0,28862000.0,69000.0,3522000.0,23673000.0,812000.0,,812000.0,8630000.0,300000.0,2865000.0,2865000.0,2865000.0,2863000.0,30490881.0,0.063,1934000.0,3439000.0,6304000.0,690000.0,25280586.0,-2670000.0,1767000.0,-673000.0,0.0,21083000.0,86559000.0,23165000.0,401000.0,401000.0,46000.0,46000.0,-401000.0,27000.0,715000.0,28862000.0,664000.0,251000.0,610000.0,12287000.0,9925000.0,0.0,9925000.0,861000.0,232000.0,62376000.0,14757586.0,,1934000.0,1934000.0,1934000.0,,1934000.0,1934000.0,3038000.0,1934000.0,-355000.0,0.0,0.0,-355000.0,-1000.0,23481000.0,253000.0,0.0,28862000.0,141000.0,35000.0,723000.0,4000.0,5604000.0,1488377.880184,2264000.0,20239000.0,2926000.0,26687000.0,30490881.0,-180000.0,288000.0,,328000.0,18000.0,11344000.0,744000.0,45000.0,2967000.0,-673000.0,0.0,6812000.0,-313000.0,418000.0,45000.0,3038000.0,0.0,-39000.0,-497000.0,715000.0,3522000.0,2865000.0,1934000.0,750000.0,,30490881.0,673000.0,28862000.0,28862000.0,254377.880184,1104000.0,0.363397,2526000.0,-115000.0,48407000.0,28862000.0,10737000.0,28862000.0,23761000.0,19545000.0,24735000.0,10915000.0,3616000.0,-27000.0,26687000.0,183000.0,700000.0,700000.0,15043000.0
2022-12-31,12M,EUR,5014000.0,18108000.0,-65404000.0,-4354000.0,0.0,30490881.0,0.079,690000.0,11782000.0,-504000.0,,9925000.0,18403000.0,502000.0,502000.0,-595000.0,,-188000.0,-578000.0,-970000.0,-871000.0,-1378000.0,-3797000.0,-188000.0,18403000.0,-595000.0,30757000.0,241000.0,4766000.0,26133000.0,851000.0,,851000.0,8372000.0,255000.0,2337000.0,2337000.0,2337000.0,2337000.0,30490881.0,0.079,2409000.0,3607000.0,5944000.0,502000.0,20435881.0,-1781000.0,1687000.0,,217000.0,22462000.0,86834000.0,23249000.0,369000.0,369000.0,65000.0,65000.0,-375000.0,13000.0,1293000.0,30757000.0,-598000.0,176000.0,799000.0,12296000.0,9074000.0,,9074000.0,975000.0,232000.0,62480000.0,10427881.0,,2409000.0,2409000.0,2409000.0,,2409000.0,2409000.0,3238000.0,2409000.0,-310000.0,0.0,,-310000.0,-360000.0,21430000.0,-504000.0,0.0,30540000.0,217000.0,10000.0,607000.0,80000.0,5939000.0,2405280.11118,2191000.0,19509000.0,3740000.0,28015000.0,30490881.0,,267000.0,,466000.0,19000.0,11345000.0,608000.0,35000.0,2857000.0,,0.0,6571000.0,-9000.0,428000.0,0.0,3238000.0,0.0,-45000.0,-504000.0,1293000.0,4766000.0,2337000.0,2409000.0,0.0,,30490881.0,0.0,30757000.0,30540000.0,1280.11118,829000.0,0.256022,3373000.0,-215000.0,49052000.0,30757000.0,9925000.0,30757000.0,24275000.0,18295000.0,22919000.0,9923000.0,3759000.0,6000.0,28015000.0,949000.0,5000.0,5000.0,17761000.0
2023-12-31,12M,EUR,4855000.0,20088000.0,-65357000.0,-4396000.0,99000.0,30490881.0,0.048965,502000.0,12284000.0,-486000.0,,9589000.0,18403000.0,433000.0,433000.0,-900000.0,,-69000.0,302000.0,-200000.0,-159000.0,-2022000.0,-2079000.0,-69000.0,18403000.0,-900000.0,31335000.0,33000.0,5496000.0,28492000.0,979000.0,,979000.0,8501000.0,,2308000.0,2308000.0,2308000.0,2209000.0,30490881.0,0.048965,1493000.0,2429000.0,4737000.0,433000.0,19521863.0,-2147000.0,1920000.0,,298000.0,24484000.0,85442000.0,18629000.0,351000.0,351000.0,107000.0,107000.0,-352000.0,7000.0,1591000.0,31335000.0,-328000.0,176000.0,0.0,12416000.0,8610000.0,,8610000.0,176000.0,467000.0,60617000.0,10488863.0,,1493000.0,1493000.0,1493000.0,,1493000.0,1493000.0,2078000.0,1493000.0,-261000.0,0.0,,-261000.0,111000.0,20085000.0,-486000.0,0.0,31037000.0,249000.0,6000.0,396000.0,1000.0,4730000.0,1487970.644851,2406000.0,16316000.0,2313000.0,24125000.0,30490881.0,,306000.0,298000.0,496000.0,19000.0,8485000.0,740000.0,92000.0,6049000.0,,0.0,7069000.0,-242000.0,147000.0,81000.0,2078000.0,0.0,-20000.0,-486000.0,1591000.0,5496000.0,2308000.0,1493000.0,,,30490881.0,,31335000.0,31037000.0,1970.644851,585000.0,0.281521,250000.0,-135000.0,49315000.0,31335000.0,9589000.0,31335000.0,21812000.0,17980000.0,20823000.0,9479000.0,2332000.0,17000.0,24125000.0,1474000.0,7000.0,7000.0,19991000.0
