symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,CapitalExpenditureReported,CashDividendsPaid,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockDividendPaid,Depreciation,DepreciationAndAmortization,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnSaleOfPPE,InterestPaidCFF,InterestReceivedCFI,InvestingCashFlow,NetIncome,NetIncomeFromContinuingOperations,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherInvestingChanges,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,OperatingCashFlow,OtherNonCashItems,PensionAndEmployeeBenefitExpense,ProvisionandWriteOffofAssets,PurchaseOfPPE,SaleOfPPE,TaxesRefundPaid
POPR.MI,2019-12-31,12M,EUR,,,-429000.0,,,,,,,,,,,,,,,-4000.0,,,,,,,-8000.0,,,,,,,,,4000.0,
POPR.MI,2020-12-31,12M,EUR,439000.0,-632000.0,,,-7000.0,-127000.0,-1233000.0,682000.0,-2352000.0,-3030000.0,-7000.0,0.0,2392000.0,2392000.0,432000.0,-1103000.0,749000.0,0.0,-216000.0,95000.0,-285000.0,1268000.0,1923000.0,-393000.0,-393000.0,-35000.0,-632000.0,,1381000.0,121000.0,-379000.0,130000.0,-632000.0,0.0,-106000.0
POPR.MI,2021-12-31,12M,EUR,432000.0,-497000.0,,-1494000.0,258000.0,-141000.0,-2607000.0,1476000.0,-1805000.0,-3077000.0,258000.0,-1494000.0,2865000.0,2865000.0,690000.0,-2670000.0,1767000.0,-673000.0,-401000.0,27000.0,664000.0,1934000.0,3038000.0,0.0,0.0,-1000.0,253000.0,0.0,2264000.0,328000.0,-313000.0,-39000.0,-497000.0,750000.0,-115000.0
POPR.MI,2022-12-31,12M,EUR,690000.0,-504000.0,,-595000.0,-188000.0,-578000.0,-970000.0,-871000.0,-1378000.0,-3797000.0,-188000.0,-595000.0,2337000.0,2337000.0,502000.0,-1781000.0,1687000.0,,-375000.0,13000.0,-598000.0,2409000.0,3238000.0,0.0,,-360000.0,-504000.0,0.0,2191000.0,466000.0,-9000.0,-45000.0,-504000.0,0.0,-215000.0
POPR.MI,2023-12-31,12M,EUR,502000.0,-486000.0,,-900000.0,-69000.0,302000.0,-200000.0,-159000.0,-2022000.0,-2079000.0,-69000.0,-900000.0,2308000.0,2308000.0,433000.0,-2147000.0,1920000.0,,-352000.0,7000.0,-328000.0,1493000.0,2078000.0,0.0,,111000.0,-486000.0,0.0,2406000.0,496000.0,-242000.0,-20000.0,-486000.0,,-135000.0
POPR.MI,2024-03-31,TTM,EUR,,,,,,,,,,,,,,,,,,,,,,1561000.0,,,,,,,,,,,,,
