asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashFinancial,CommonStock,CommonStockEquity,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherIntangibleAssets,OtherNonCurrentAssets,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RawMaterials,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,TreasuryStock,WorkInProcess,WorkingCapital
2022-12-31,3M,EUR,72713000.0,205636000.0,-174643000.0,55607000.0,-4773000.0,,174738000.0,45381000.0,100167000.0,101641000.0,244758000.0,101641000.0,100167000.0,1426754000.0,579250000.0,5693000.0,127830000.0,133523000.0,283567000.0,4468000.0,215404000.0,13618000.0,301586000.0,607525000.0,210409000.0,395202000.0,688000.0,58015000.0,1528762000.0,4954000.0,390142000.0,257191000.0,45381000.0,102008000.0,147389000.0,257191000.0,23697000.0,197481000.0,183316000.0,367000.0,220559000.0,819229000.0,11898000.0,9500000.0,6806000.0,1732000.0,42282930.0,,9788000.0,305939000.0,2143000.0,40091000.0,66514000.0,22613000.0,143117000.0,125677000.0,3846000.0,131207000.0,40998000.0,1264758000.0,42500000.0,1426754000.0,819229000.0,43694000.0,2086651000.0,1528762000.0,147389000.0,1610070000.0,476581000.0,1507401000.0,193014000.0,12873000.0,5622000.0,217070.0,5166000.0,3399000.0,295683000.0
2023-06-30,3M,EUR,64144000.0,214073000.0,,55607000.0,-5976000.0,31238000.0,164632000.0,61528000.0,100167000.0,92969000.0,221000000.0,92969000.0,100167000.0,1414944000.0,581147000.0,6340000.0,120005000.0,126345000.0,255157000.0,4479000.0,225850000.0,,309298000.0,609896000.0,220049000.0,,,54954000.0,1664841000.0,11139000.0,390482000.0,215164000.0,55188000.0,129892000.0,185080000.0,215164000.0,23466000.0,,180954000.0,156928000.0,250266000.0,805048000.0,11899000.0,9830000.0,7497000.0,1815000.0,42282930.0,35850000.0,9923000.0,300598000.0,1881000.0,24288000.0,,3195000.0,128031000.0,100730000.0,,,,1235632000.0,42500000.0,1414944000.0,805048000.0,20837000.0,2084790000.0,1544836000.0,311425000.0,1595898000.0,488892000.0,1503643000.0,233735000.0,12298000.0,7862000.0,217070.0,5166000.0,,325990000.0
2023-12-31,3M,EUR,70727000.0,256531000.0,-197859000.0,55607000.0,-5776000.0,74643000.0,182621000.0,58878000.0,100167000.0,121915000.0,292796000.0,121915000.0,100167000.0,1499291000.0,726487000.0,,,,310464000.0,3795000.0,241820000.0,15074000.0,287980000.0,617173000.0,262307000.0,474325000.0,205000.0,49406000.0,1617663000.0,15913000.0,424441000.0,152445000.0,58878000.0,118372000.0,177250000.0,152445000.0,23019000.0,219963000.0,192624000.0,,276466000.0,882118000.0,11582000.0,18894000.0,8533000.0,2558000.0,42282930.0,,9992000.0,329193000.0,1562000.0,33062000.0,82445000.0,17822000.0,170881000.0,115117000.0,3576000.0,171917000.0,32683000.0,1305985000.0,42500000.0,1499291000.0,882118000.0,31508000.0,2239655000.0,1617663000.0,177250000.0,1691915000.0,547740000.0,1513168000.0,237276000.0,11328000.0,9580000.0,217070.0,5166000.0,1649000.0,416023000.0
