symbol,asOfDate,periodType,currencyCode,AmortizationCashFlow,BeginningCashPosition,CashDividendsPaid,ChangeInCashSupplementalAsReported,ChangeInOtherCurrentAssets,ChangeInWorkingCapital,ChangesInCash,DeferredTax,Depreciation,DepreciationAndAmortization,EndCashPosition,FinancingCashFlow,FreeCashFlow,InvestingCashFlow,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPEPurchaseAndSale,OperatingCashFlow,OtherNonCashItems,ProvisionandWriteOffofAssets,PurchaseOfIntangibles,PurchaseOfPPE,SaleOfPPE
AUTME.MI,2019-12-31,TTM,EUR,,,-6520000.0,,,,,,,,,,,,,,,,,,,,,,,
AUTME.MI,2020-06-30,TTM,EUR,,,,,,,,,,,,,,,,,,,330000.0,,,,,,,
AUTME.MI,2022-06-30,TTM,EUR,,7918000.0,-7826000.0,144035000.0,-15188000.0,-15188000.0,144035000.0,,486000.0,486000.0,151953000.0,157484000.0,-16504000.0,3694000.0,24960000.0,24960000.0,,165310000.0,,3704000.0,-17143000.0,,-9283000.0,,,
AUTME.MI,2023-12-31,TTM,EUR,17000.0,25663000.0,-15190000.0,3566000.0,-3764000.0,-3764000.0,3566000.0,178000.0,17000.0,17000.0,29229000.0,11367000.0,-7801000.0,0.0,1451000.0,1451000.0,0.0,26557000.0,,0.0,-7801000.0,-6532000.0,705000.0,0.0,0.0,0.0
