asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BasicAverageShares,BasicEPS,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,CurrentAssets,CurrentLiabilities,CurrentProvisions,DilutedAverageShares,DilutedEPS,DividendsPayable,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,LongTermEquityInvestment,LongTermProvisions,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherIntangibleAssets,OtherNonCurrentAssets,OtherPayable,OtherReceivables,OtherShortTermInvestments,Payables,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkingCapital
2022-12-31,3M,EUR,22005000.0,2182000.0,-254000.0,-5948000.0,29000.0,,,9056000.0,25663000.0,78693000.0,17253000.0,8410000.0,9056000.0,63238000.0,90944000.0,24982000.0,653000.0,,,1070000.0,17000.0,8130000.0,571000.0,0.0,63238000.0,345000.0,29000.0,0.0,0.0,4721000.0,317000.0,63221000.0,1505000.0,4375000.0,9823000.0,1254000.0,17000.0,101000.0,418000.0,93000.0,53030000.0,22005000.0,15839000.0,4375000.0,63238000.0,63221000.0,246000.0,92941000.0,63238000.0,63238000.0,29703000.0,1997000.0,4721000.0,0.0,65962000.0
2023-06-30,3M,EUR,12126000.0,697000.0,,-5974000.0,27000.0,,,9056000.0,390000.0,53327000.0,389000.0,1000.0,9056000.0,47073000.0,64789000.0,15215000.0,593000.0,,,1134000.0,8000.0,6671000.0,,0.0,47073000.0,345000.0,27000.0,0.0,0.0,4721000.0,,47065000.0,1840000.0,4375000.0,9376000.0,349000.0,8000.0,,422000.0,227000.0,52937000.0,14263000.0,-852000.0,4375000.0,47073000.0,47065000.0,1162000.0,67009000.0,47073000.0,47073000.0,19936000.0,2220000.0,4721000.0,581000.0,49574000.0
2023-12-31,3M,EUR,2407000.0,232000.0,,-890000.0,1000.0,,,9056000.0,29229000.0,55670000.0,440000.0,28789000.0,9056000.0,49377000.0,57594000.0,5357000.0,1251000.0,,,1133000.0,0.0,1122000.0,,,49377000.0,345000.0,1000.0,,,4816000.0,,49377000.0,1326000.0,4375000.0,1292000.0,167000.0,,284000.0,99000.0,,26441000.0,3922000.0,1451000.0,4375000.0,49377000.0,49377000.0,400000.0,59550000.0,49377000.0,49377000.0,10173000.0,1956000.0,4816000.0,283000.0,52237000.0
2024-03-31,3M,EUR,,,,,,4375000.0,0.0224,,,,,,,,,,,4375000.0,0.0224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
