symbol,asOfDate,periodType,currencyCode,AmortizationCashFlow,BeginningCashPosition,CapitalExpenditure,CashDividendsPaid,ChangeInCashSupplementalAsReported,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockPayments,Depreciation,DepreciationAndAmortization,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,InvestingCashFlow,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetIssuancePaymentsOfDebt,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPEPurchaseAndSale,OperatingCashFlow,OtherCashAdjustmentOutsideChangeinCash,OtherNonCashItems,PurchaseOfPPE,RepurchaseOfCapitalStock,SaleOfPPE
INW.MI,2022-12-31,3M,EUR,,,-107607355.0,-1000662.0,,,,,,,422.0,,,,,,,,422.0,,,,,,-107607355.0,,,,-107607355.0,422.0,
INW.MI,2023-03-31,3M,EUR,27477000.0,72852000.0,-40004000.0,-3346000.0,-20614000.0,10974000.0,-25010000.0,-32480000.0,-46516000.0,-20614000.0,,61137000.0,88614000.0,52238000.0,-107971000.0,87247000.0,2637000.0,-39894000.0,,82889000.0,82889000.0,-104625000.0,-104625000.0,110000.0,-40004000.0,127251000.0,,-373000.0,-40004000.0,,95592000.0
INW.MI,2023-06-30,3M,EUR,27764000.0,52238000.0,-163801000.0,-329457000.0,51366000.0,11210000.0,-8092000.0,39446000.0,42497000.0,51366000.0,,63741000.0,91505000.0,103627000.0,-102962000.0,57440000.0,1386000.0,-66913000.0,,80834000.0,80834000.0,,,,-60041000.0,221241000.0,,5019000.0,-163801000.0,,103760000.0
INW.MI,2023-09-30,3M,EUR,28063000.0,103627000.0,,-2342000.0,-44354000.0,-9064000.0,42123000.0,15940000.0,48958000.0,-44354000.0,-55868000.0,64168000.0,92231000.0,59273000.0,-196925000.0,348788000.0,2396000.0,-74648000.0,-55868000.0,85149000.0,85149000.0,,-138715000.0,2913000.0,-77783000.0,227219000.0,0.0,-1515000.0,121569000.0,-55868000.0,
INW.MI,2023-12-31,3M,EUR,28289000.0,59273000.0,-121635000.0,-1026000.0,35805000.0,34447000.0,28546000.0,-7000000.0,56057000.0,35805000.0,-71734000.0,64840000.0,93129000.0,95078000.0,-111274000.0,113850000.0,-1387000.0,-88406000.0,-71734000.0,90625000.0,90625000.0,-38514000.0,,33451000.0,,235485000.0,0.0,-2939000.0,,-71734000.0,
INW.MI,2024-03-31,3M,EUR,28145000.0,95078000.0,-100087000.0,,-50299000.0,27385000.0,2630000.0,-28671000.0,1335000.0,-50299000.0,-24895000.0,66084000.0,94229000.0,44779000.0,-138804000.0,88367000.0,1049000.0,-99949000.0,-24895000.0,89733000.0,89733000.0,,-113909000.0,138000.0,-100087000.0,188454000.0,,2108000.0,-100087000.0,-24895000.0,
INW.MI,2024-03-31,TTM,EUR,112261000.0,52238000.0,-359546000.0,,-7482000.0,63978000.0,65207000.0,19715000.0,148847000.0,-7482000.0,,258833000.0,371094000.0,44756000.0,-549965000.0,512853000.0,3444000.0,-329916000.0,,346341000.0,346341000.0,,,29630000.0,-359546000.0,872399000.0,,2673000.0,-359546000.0,,
