asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BasicAverageShares,BasicEPS,BeginningCashPosition,CapitalExpenditure,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashDividendsPaid,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockDividendPaid,CommonStockEquity,CommonStockIssuance,CommonStockPayments,ConstructionInProgress,CostOfRevenue,CurrentAssets,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,DeferredTax,Depreciation,DepreciationAndAmortization,DerivativeProductLiabilities,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,EndCashPosition,EnterpriseValue,FinancingCashFlow,FinishedGoods,FreeCashFlow,GeneralAndAdministrativeExpense,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InterestPaidCFO,Inventory,InvestedCapital,InvestingCashFlow,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,IssuanceOfCapitalStock,IssuanceOfDebt,LiabilitiesHeldforSaleNonCurrent,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtIssuance,LongTermDebtPayments,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,MinorityInterest,MinorityInterests,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPE,NetPPEPurchaseAndSale,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCashAdjustmentOutsideChangeinCash,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherNonCashItems,OtherNonCurrentLiabilities,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,OtherunderPreferredStockDividend,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,PretaxIncome,Properties,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfPPE,RawMaterials,ReconciledCostOfRevenue,ReconciledDepreciation,RepaymentOfDebt,RepurchaseOfCapitalStock,RetainedEarnings,SaleOfBusiness,SaleOfIntangibles,SaleOfPPE,SellingGeneralAndAdministration,ShareIssued,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOperatingIncomeAsReported,TotalRevenue,TotalTaxPayable,TreasurySharesNumber,TreasuryStock,WorkingCapital
2022-12-31,3M,EUR,133880000.0,119107000.0,-301553000.0,77438000.0,-11644000.0,4903000.0,,,65280000.0,-4906000.0,69163000.0,68830000.0,69047000.0,-389000.0,3549000.0,573000.0,-838000.0,-15177000.0,22159000.0,6717000.0,3547000.0,69163000.0,-389000.0,201090000.0,-2850000.0,0.0,4246000.0,272395000.0,266378000.0,36169000.0,36169000.0,199993000.0,1203000.0,7182000.0,7182000.0,0.0,,,2925000.0,3765000.0,10947000.0,68830000.0,,-8335000.0,34608000.0,11079000.0,-41442000.0,48245000.0,58265000.0,130751000.0,465521000.0,29598000.0,-244000.0,-244000.0,46000.0,46000.0,-1690000.0,47357000.0,338355000.0,-4103000.0,4903000.0,20120000.0,-2850000.0,5015000.0,0.0,101096000.0,101096000.0,5015000.0,-7881000.0,20120000.0,5759000.0,288931000.0,,393000.0,118000.0,-813000.0,-2850000.0,68435000.0,2925000.0,2925000.0,2807000.0,0.0,2925000.0,2925000.0,2807000.0,2807000.0,-911000.0,-670000.0,-2866000.0,-2866000.0,-670000.0,-2230000.0,1340000.0,163968000.0,-3719000.0,142825000.0,8323000.0,4593000.0,8297000.0,10947000.0,2925000.0,15985000.0,21691000.0,7907000.0,301993000.0,17204986.0,3000.0,-1000.0,,1000.0,10020000.0,53000.0,1145000.0,736000.0,13613000.0,20033000.0,43568000.0,8304000.0,217000.0,0.0,158642000.0,3474000.0,5635000.0,4009000.0,128776000.0,1209000.0,-1220000.0,-942000.0,-3964000.0,12696000.0,272395000.0,7182000.0,-7881000.0,0.0,63381000.0,407000.0,31000.0,245000.0,-39224000.0,17682500.0,201090000.0,142825000.0,0.0,1203000.0,0.300075,16929000.0,-2587000.0,521957000.0,302186000.0,137265000.0,201483000.0,294086000.0,320474000.0,255579000.0,120481000.0,5632000.0,301993000.0,4729000.0,477514.0,4788000.0,66385000.0
2023-03-31,3M,EUR,156049000.0,144372000.0,,77438000.0,,,17204986.0,0.72386,68830000.0,-74064000.0,69163000.0,76895000.0,76895000.0,,8066000.0,-6458000.0,-3651000.0,-1431000.0,2870000.0,-8670000.0,8066000.0,69163000.0,0.0,211392000.0,1490000.0,0.0,,306961000.0,316027000.0,,,244786000.0,2379000.0,7674000.0,7674000.0,,17204986.0,0.72386,12454000.0,18076000.0,25750000.0,76895000.0,299108912.0,75724000.0,,-59478000.0,24107000.0,130243000.0,140558000.0,,,40380000.0,2737000.0,2737000.0,186000.0,186000.0,-890000.0,56679000.0,211392000.0,-82244000.0,6834000.0,,1490000.0,57780000.0,0.0,,,57780000.0,-5722000.0,18745000.0,5935000.0,,230890912.0,4541000.0,-506000.0,-8207000.0,1490000.0,,12454000.0,12454000.0,12960000.0,0.0,12454000.0,12454000.0,12960000.0,12960000.0,-69915000.0,-2551000.0,52058000.0,52058000.0,-2551000.0,22176000.0,-92000.0,174617000.0,-4030000.0,70834000.0,8229000.0,4701000.0,8123000.0,25750000.0,12454000.0,14586000.0,22716000.0,17664000.0,347341000.0,17204986.0,-1000.0,,31009000.0,,10315000.0,,1998000.0,679000.0,-1391000.0,,,19284000.0,,0.0,163377000.0,,,15339000.0,,330000.0,-225000.0,-69919000.0,-4145000.0,,306961000.0,7674000.0,-5722000.0,0.0,73709000.0,877000.0,4000.0,115000.0,24107000.0,17682500.0,211392000.0,70834000.0,0.0,2379000.0,0.155095,18797000.0,-1194000.0,665011000.0,211392000.0,,215933000.0,329677000.0,449078000.0,348983000.0,204292000.0,17663000.0,347341000.0,7328000.0,477514.0,4788000.0,71241000.0
2023-06-30,3M,EUR,176141000.0,160869000.0,-322081000.0,77438000.0,-12722000.0,5532000.0,,,76895000.0,,69163000.0,90837000.0,91028000.0,,13941000.0,3511000.0,-1732000.0,20091000.0,-16892000.0,4978000.0,13941000.0,69163000.0,-6022000.0,227998000.0,-478000.0,0.0,6427000.0,366624000.0,341002000.0,53596000.0,53596000.0,266704000.0,2233000.0,490000.0,490000.0,0.0,,,19393000.0,23849000.0,24339000.0,90837000.0,285344923.0,-38245000.0,39978000.0,93679000.0,-14188000.0,128164000.0,138422000.0,173591000.0,496705000.0,49482000.0,2190000.0,2190000.0,316000.0,316000.0,-2155000.0,53691000.0,456174000.0,26474000.0,5532000.0,20927000.0,-478000.0,-1536000.0,0.0,174580000.0,174580000.0,-1536000.0,-1366000.0,20927000.0,4562000.0,302875000.0,217126923.0,1376000.0,-33000.0,-42201000.0,-478000.0,137339000.0,19393000.0,19393000.0,19426000.0,0.0,19393000.0,19393000.0,19426000.0,19426000.0,69092000.0,-1874000.0,-2902000.0,-2902000.0,-1874000.0,-28843000.0,530000.0,174624000.0,-947000.0,89576000.0,8009000.0,4742000.0,7925000.0,24339000.0,19393000.0,25712000.0,27740000.0,21742000.0,416106000.0,17204986.0,,1000.0,,1000.0,10258000.0,2020000.0,1545000.0,628000.0,9773000.0,22877000.0,47128000.0,11182000.0,191000.0,0.0,206141000.0,5536000.0,7372000.0,21659000.0,140275000.0,644000.0,-851000.0,69093000.0,-1126000.0,11693000.0,366624000.0,490000.0,-1366000.0,0.0,88602000.0,-357000.0,-1000.0,179000.0,-13030000.0,17682500.0,227998000.0,89576000.0,0.0,2233000.0,0.103098,16859000.0,-1090000.0,688515000.0,402578000.0,228176000.0,229374000.0,394364000.0,459141000.0,347514000.0,192437000.0,23389000.0,416106000.0,7123000.0,477514.0,4788000.0,74298000.0
2023-09-30,3M,EUR,169538000.0,166601000.0,,77438000.0,,,,,90837000.0,-4570000.0,69163000.0,101397000.0,101397000.0,0.0,10561000.0,586000.0,3514000.0,-6602000.0,-6376000.0,-8878000.0,10561000.0,69163000.0,0.0,242880000.0,-1012000.0,-1060000.0,,352705000.0,353171000.0,,,263629000.0,2497000.0,4423000.0,4423000.0,,,,15199000.0,21793000.0,26216000.0,101397000.0,382539171.0,1717000.0,,9442000.0,63790000.0,127447000.0,137554000.0,,,46593000.0,3841000.0,3841000.0,406000.0,406000.0,-1053000.0,53105000.0,242880000.0,-5168000.0,7039000.0,,-1012000.0,2994000.0,0.0,,,2994000.0,-2237000.0,20114000.0,4596000.0,,245391171.0,1665000.0,-255000.0,-792000.0,-2072000.0,,15199000.0,15199000.0,15455000.0,0.0,15199000.0,15199000.0,15455000.0,15455000.0,-263000.0,-3435000.0,757000.0,757000.0,-3435000.0,3032000.0,8000.0,176697000.0,-4121000.0,105326000.0,7780000.0,4897000.0,7969000.0,26216000.0,15199000.0,14012000.0,24981000.0,21612000.0,399298000.0,17131244.0,,1000.0,30119000.0,1000.0,10107000.0,,1850000.0,578000.0,-6654000.0,,,17773000.0,,0.0,178184000.0,,,17952000.0,,745000.0,1076000.0,-264000.0,-4306000.0,,352705000.0,4423000.0,-2237000.0,-1060000.0,103621000.0,-520000.0,1000.0,185000.0,62632000.0,17682500.0,242880000.0,105326000.0,0.0,2497000.0,0.139093,14294000.0,-1386000.0,702356000.0,242880000.0,,244545000.0,377686000.0,457811000.0,349184000.0,194182000.0,19966000.0,399298000.0,8646000.0,551256.0,5848000.0,89542000.0
2023-12-31,3M,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424269996.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287121996.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,3M,EUR,149664000.0,146574000.0,,,,,16929363.0,0.272367,90062000.0,-3628000.0,69163000.0,88040000.0,88040000.0,,-2023000.0,890000.0,-7660000.0,-10309000.0,-2524000.0,-19603000.0,-2023000.0,69163000.0,0.0,243498000.0,,0.0,,306382000.0,320126000.0,,,240973000.0,1487000.0,4073000.0,4073000.0,,16929363.0,0.272367,4611000.0,9477000.0,13550000.0,88040000.0,379576478.0,10126000.0,,-11912000.0,23961000.0,127447000.0,137976000.0,,,31512000.0,3024000.0,3024000.0,467000.0,467000.0,-245000.0,52228000.0,243498000.0,-3865000.0,5543000.0,,,8439000.0,0.0,,,8439000.0,-1251000.0,20449000.0,4447000.0,,242428478.0,2142000.0,-356000.0,-559000.0,0.0,,4611000.0,4611000.0,4967000.0,0.0,4611000.0,4611000.0,4967000.0,4967000.0,-458000.0,-2557000.0,7188000.0,7188000.0,-2557000.0,2938000.0,279000.0,185841000.0,-3127000.0,105522000.0,7243000.0,4434000.0,9137000.0,13550000.0,4611000.0,-8284000.0,22831000.0,8681000.0,337894000.0,16929363.0,1000.0,,26875000.0,,10529000.0,,2034000.0,509000.0,-1130000.0,,,18738000.0,,0.0,157393000.0,,,6453000.0,,338000.0,0.0,-458000.0,-3170000.0,,306382000.0,4073000.0,-1251000.0,0.0,4611000.0,0.0,0.0,43000.0,23961000.0,16929363.0,243498000.0,105522000.0,0.0,1487000.0,0.230435,14546000.0,-1333000.0,677179000.0,243498000.0,,245640000.0,329213000.0,431539000.0,357052000.0,190566000.0,8681000.0,337894000.0,7729000.0,,,79153000.0
