symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AvailableForSaleSecurities,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesAssets,CurrentLiabilities,FinishedGoods,GoodwillAndOtherIntangibleAssets,GrossPPE,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinSubsidiariesatCost,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,NetDebt,NetPPE,NetTangibleAssets,NonCurrentPensionAndOtherPostretirementBenefitPlans,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RawMaterials,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkInProcess,WorkingCapital
ESPE.MI,2021-12-31,12M,EUR,5259000.0,9609000.0,220000.0,500000.0,1564000.0,1564000.0,500000.0,5151000.0,0.0,20870000.0,5222000.0,5222000.0,1404000.0,16463000.0,488000.0,1119000.0,662000.0,7561000.0,11038000.0,220000.0,0.0,20000.0,665000.0,665000.0,20000.0,19000.0,314000.0,4323000.0,662000.0,4032000.0,593000.0,11849500.0,742000.0,-76000.0,1119000.0,,,509000.0,277000.0,-237000.0,,6022000.0,0.0,71000.0,6208000.0,73000.0,11849500.0,5151000.0,4032000.0,227000.0,22891000.0,5816000.0,5887000.0,5151000.0,17740000.0,2021000.0,1277000.0,254000.0,865000.0,4407000.0
ESPE.MI,2022-12-31,12M,EUR,11370000.0,13880000.0,480000.0,500000.0,1268000.0,1597000.0,500000.0,5380000.0,0.0,39271000.0,5357000.0,5357000.0,1335000.0,34635000.0,583000.0,1414000.0,728000.0,17478000.0,11808000.0,480000.0,1000.0,11000.0,1071000.0,1071000.0,12000.0,118000.0,293000.0,5160000.0,728000.0,3966000.0,699000.0,11849500.0,326000.0,169000.0,1414000.0,-1000.0,1000.0,406000.0,365000.0,-383000.0,329000.0,12036000.0,2587000.0,70000.0,8384000.0,224000.0,11849500.0,5380000.0,3966000.0,2451000.0,41904000.0,6451000.0,6428000.0,5380000.0,36524000.0,2633000.0,1889000.0,260000.0,8511000.0,4636000.0
