asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,Amortization,AmortizationCashFlow,BasicAverageShares,BasicEPS,BeginningCashPosition,CapitalExpenditure,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStock,CommonStockDividendPaid,CommonStockEquity,CommonStockIssuance,CostOfRevenue,CurrentAssets,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesAssets,CurrentLiabilities,DeferredTax,Depreciation,DepreciationAndAmortization,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,EndCashPosition,EnterpriseValue,FinancingCashFlow,FixedAssetsRevaluationReserve,FreeCashFlow,GainLossOnInvestmentSecurities,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,InterestPaidCFO,Inventory,InvestedCapital,InvestingCashFlow,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinAssociatesatCost,InvestmentsinSubsidiariesatCost,IssuanceOfCapitalStock,IssuanceOfDebt,LandAndImprovements,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermDebtIssuance,LongTermDebtPayments,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MarketCap,MinorityInterest,MinorityInterests,NetCommonStockIssuance,NetDebt,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeFromContinuingOperations,NetIncomeIncludingNoncontrollingInterests,NetIntangiblesPurchaseAndSale,NetInterestIncome,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetNonOperatingInterestIncomeExpense,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPE,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,NetTangibleAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NormalizedEBITDA,NormalizedIncome,OperatingCashFlow,OperatingExpense,OperatingIncome,OperatingRevenue,OrdinarySharesNumber,OtherCurrentLiabilities,OtherIntangibleAssets,OtherNonCashItems,OtherNonCurrentLiabilities,OtherOperatingExpenses,OtherPayable,OtherProperties,OtherReceivables,OtherunderPreferredStockDividend,Payables,PrepaidAssets,PretaxIncome,Properties,ProvisionandWriteOffofAssets,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,RepaymentOfDebt,RestructuringAndMergernAcquisition,RetainedEarnings,SaleOfIntangibles,SaleOfInvestment,SaleOfPPE,ShareIssued,SpecialIncomeCharges,StockholdersEquity,TangibleBookValue,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TaxesReceivable,TaxesRefundPaid,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalExpenses,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalOtherFinanceCost,TotalRevenue,TotalTaxPayable,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,TradeandOtherPayablesNonCurrent,WorkingCapital,WriteOff
2021-12-31,12M,EUR,1036000.0,1532000.0,755000.0,-20000.0,304000.0,,2335880.0,0.005137,,,12000.0,48000.0,48000.0,,,,,,,,,,,12000.0,,1127000.0,,842000.0,2208000.0,76000.0,76000.0,,1663000.0,,,,308000.0,4000.0,2335880.0,0.005137,12000.0,44000.0,352000.0,,,,,,,802000.0,1390000.0,1552000.0,12000.0,1113000.0,29000.0,29000.0,,,,6000.0,2209000.0,,,0.0,257000.0,,,0.0,1006000.0,1006000.0,,,257000.0,,0.0,,,,,1034000.0,12000.0,12000.0,12000.0,12000.0,12000.0,,12000.0,,-32000.0,,,,-32000.0,,,12000.0,,,-263000.0,0.0,146000.0,352000.0,12000.0,,1067000.0,46000.0,1955000.0,2335880.0,107000.0,588000.0,,-1000.0,14000.0,124000.0,12000.0,236000.0,0.0,1327000.0,222000.0,15000.0,0.0,,,,,842000.0,308000.0,408000.0,537000.0,,,358000.0,,,,2335880.0,,1127000.0,-263000.0,0.0,3000.0,0.2,164000.0,,3941000.0,2133000.0,1082000.0,1127000.0,1909000.0,2814000.0,1734000.0,1151000.0,3000.0,1955000.0,167000.0,,,,545000.0,
2022-12-31,12M,EUR,986710.0,1740005.0,755375.0,-20000.0,356921.0,3914.0,2335880.0,-0.078512,48000.0,-2292915.0,11633.0,52451.0,52451.0,23640.0,28811.0,213422.0,52451.0,6000.0,215538.0,991840.0,-1809729.0,-388929.0,52451.0,11633.0,0.0,943683.0,1127077.0,1234181.0,2382002.0,179812.0,179812.0,18072.0,2011960.0,27090.0,356921.0,360835.0,360835.0,3914.0,2335880.0,-0.078512,-183394.0,-118652.0,242183.0,52451.0,,2499272.0,0.0,-2315574.0,,235854.0,1868058.0,1760000.0,64022.0,1403259.0,37652.0,37652.0,0.0,0.0,-37652.0,0.0,2315878.0,-2424162.0,0.0,11100.0,29300.0,1127077.0,1192452.0,48541.0,1192383.0,1192383.0,1192452.0,0.0,40400.0,35000.0,5191.0,,0.0,0.0,1127077.0,1319744.0,-183394.0,-183394.0,-183394.0,-183394.0,-183394.0,-183394.0,-183394.0,-2224979.0,-37652.0,-131247.0,1372195.0,1192452.0,-37652.0,-1000.0,1000.0,64022.0,-67936.0,179743.0,-924375.0,35056.0,153773.0,277962.0,-156201.96,-22659.0,1486132.0,-82873.0,2637440.0,2335880.0,230000.0,1632204.0,37652.0,-1000.0,150879.0,254975.0,10290.0,434200.0,0.0,1618726.0,101000.0,-156304.0,0.0,35779.0,-2224979.0,-131247.0,-67936.0,1234181.0,360835.0,470179.0,470179.0,0.0,35779.0,174453.0,0.0,13000.0,5000.0,2335880.0,-35779.0,943683.0,-924375.0,-8586.96,27090.0,0.24,137274.0,-27090.0,4445329.0,2136066.0,1372195.0,943683.0,2720313.0,3501646.0,2063327.0,1489686.0,3000.0,2637440.0,377041.0,-35779.0,-35779.0,108474.0,370042.0,0.0
2023-12-31,12M,EUR,1276545.0,2125403.0,2815632.0,,550351.0,9743.0,2335880.0,-0.017287,52451.0,-1578381.0,58397.0,797820.0,797820.0,775523.0,22297.0,-86969.0,745369.0,,115401.0,289835.0,-476955.0,-158688.0,745369.0,58397.0,,3081136.0,2090257.0,2379908.0,4220060.0,391915.0,391915.0,28165.0,2882745.0,85480.0,550351.0,560094.0,560094.0,9743.0,2335880.0,-0.017287,-40380.0,72865.0,632959.0,797820.0,17218984.0,1971517.0,96053.0,-1186586.0,-24805.0,209648.0,2959229.0,,82362.0,2490528.0,21500.0,21500.0,3.0,3.0,-21497.0,,4334591.0,-1617943.0,65000.0,0.0,28900.0,2090257.0,168515.0,46052.0,861540.0,861540.0,168515.0,-272482.0,93900.0,,3829.0,15883984.0,19765.0,-6265.0,2090257.0,455635.0,-40380.0,-40380.0,-34115.0,-40380.0,-40380.0,-34115.0,-34115.0,-1569784.0,-21497.0,-39562.0,-118740.0,-103967.0,-21497.0,,,82362.0,-8597.0,-14773.0,121907.0,26893.0,174579.0,722850.0,27937.16,391795.0,2327775.0,162753.0,4870436.0,2335880.0,,2749581.0,21497.0,,157795.0,655383.0,32481.0,982408.0,0.0,2364377.0,,51365.0,0.0,,-1569784.0,-53500.0,-8597.0,2379908.0,560094.0,1276883.0,1276883.0,-272482.0,34968.0,108601.0,,13938.0,,2335880.0,-89891.0,3081136.0,121907.0,-21573.84,85480.0,0.24,286264.0,-103737.0,7432460.0,3942676.0,1253455.0,3100901.0,4707683.0,4331559.0,3212400.0,1448814.0,,4870436.0,432449.0,-89891.0,-89891.0,385802.0,1337315.0,54923.0
