symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,ChangeInAccruedExpense,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,CommonStockDividendPaid,CommonStockIssuance,DeferredTax,Depreciation,DepreciationAndAmortization,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnSaleOfBusiness,InterestPaidCFO,InvestingCashFlow,IssuanceOfCapitalStock,IssuanceOfDebt,LongTermDebtIssuance,LongTermDebtPayments,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherInvestingChanges,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,OperatingCashFlow,OtherCashAdjustmentOutsideChangeinCash,OtherNonCashItems,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,RepaymentOfDebt,SaleOfBusiness,SaleOfIntangibles,SaleOfInvestment,SaleOfPPE,TaxesRefundPaid
MARE.MI,2021-12-31,12M,EUR,3000000.0,-7561000.0,1092000.0,3185000.0,17000.0,5676000.0,53000.0,-7773000.0,-936000.0,3185000.0,0.0,409000.0,66000.0,3434000.0,3434000.0,6185000.0,8065000.0,-1444000.0,0.0,-201000.0,-10997000.0,409000.0,4900000.0,4900000.0,-1270000.0,0.0,409000.0,2109000.0,2503000.0,-6307000.0,-3435000.0,7656000.0,3630000.0,-1000.0,-1254000.0,4026000.0,6117000.0,,146000.0,369000.0,0.0,-6307000.0,-3435000.0,-1254000.0,-1270000.0,0.0,0.0,0.0,0.0,-66000.0
MARE.MI,2022-12-31,12M,EUR,6185000.0,-4036000.0,752000.0,-3148000.0,-121000.0,-2829000.0,-57000.0,-4716000.0,-6969000.0,-3148000.0,0.0,0.0,-345000.0,4451000.0,4451000.0,3036000.0,4836000.0,-7665000.0,-1487000.0,-396000.0,-4355000.0,0.0,7660000.0,7660000.0,-3479000.0,-283000.0,0.0,3742000.0,3746000.0,-3426000.0,-436000.0,4836000.0,4181000.0,,-210000.0,655000.0,-3629000.0,-1000.0,-3639000.0,2196000.0,-583000.0,-3813000.0,-629000.0,-223000.0,-3479000.0,300000.0,387000.0,193000.0,13000.0,-425000.0
MARE.MI,2023-06-30,TTM,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,3925000.0,,,,,,,,,,,,,,,,,,,,,,
